 	les	jeunes	de	tombo	ont	commandé	un	ballon	</S>
a30	0.0739242	0.0931659	0.193129	0.234838	0.228041	0.119174	0.0323458	0.0173084	0.00807326
a87	0.0305856	0.015774	0.0370194	0.0966762	0.190275	0.329692	0.171804	0.0919217	0.0362516
a99	0.0908571	0.0406585	0.0492768	0.0709408	0.109096	0.249173	0.178567	0.118451	0.09298
a13	0.132125	0.0959186	0.116471	0.112502	0.140482	0.178445	0.115459	0.0728759	0.0357214
a75	0.23604	0.170969	0.110849	0.0673305	0.0704331	0.0831725	0.0782472	0.0928169	0.0901423
a47	0.434452	0.191561	0.107492	0.051902	0.0504644	0.0364243	0.0287593	0.0392252	0.0597198
a85	0.345543	0.24433	0.154598	0.0701368	0.0575686	0.0365931	0.0248312	0.0294964	0.036902
a61	0.255062	0.284641	0.221606	0.0964106	0.0744305	0.0344205	0.0132781	0.0105264	0.00962384
a85	0.245836	0.284995	0.219167	0.0974261	0.0742674	0.037623	0.0159802	0.0133387	0.0113663
a66	0.234683	0.267531	0.241306	0.110316	0.0718013	0.0327399	0.0135883	0.0125972	0.0154373
a30	0.139475	0.227238	0.216085	0.158569	0.103508	0.0573167	0.0293276	0.0338727	0.0346081
a38	0.0709398	0.152306	0.173627	0.185737	0.135182	0.0935511	0.060179	0.0634181	0.0650599
a56	0.0516208	0.136616	0.186953	0.222323	0.154482	0.0770416	0.0471871	0.0572697	0.0665067
a70	0.0769285	0.174882	0.231074	0.22409	0.142744	0.0590229	0.02688	0.0291369	0.035243
a98	0.0469387	0.100652	0.160919	0.22959	0.17793	0.119584	0.0594697	0.0524889	0.0524286
a85	0.0530245	0.109374	0.162916	0.205881	0.163588	0.124624	0.0654615	0.0562749	0.0588568
a37	0.0589409	0.120308	0.1767	0.184892	0.138866	0.0928462	0.0603818	0.0683998	0.0986646
a34	0.0412018	0.0903168	0.138881	0.232352	0.181641	0.121279	0.0643125	0.062288	0.0677281
a66	0.0263931	0.0589971	0.0953984	0.21734	0.176249	0.127909	0.103879	0.10123	0.0926047
a9	0.013579	0.0240003	0.0363677	0.126449	0.129665	0.14093	0.176425	0.186564	0.16602
a10	0.00924704	0.0141285	0.0283349	0.0983523	0.123705	0.131187	0.16052	0.200357	0.234169
a24	0.00750528	0.0104309	0.0308074	0.099007	0.120844	0.172645	0.154731	0.173895	0.230135
a83	0.00534229	0.00724737	0.0176613	0.0585056	0.0797127	0.136513	0.182076	0.205192	0.30775
a75	0.00371676	0.00559279	0.0101882	0.0266478	0.0354612	0.0871649	0.187656	0.253283	0.390289
a56	0.00876326	0.0117602	0.0127468	0.0277737	0.0299768	0.0576809	0.135906	0.269662	0.44573
a11	0.00607977	0.0117742	0.0152551	0.0310682	0.0281583	0.0470531	0.10964	0.250184	0.500787
a75	0.00441342	0.0078558	0.00950494	0.0242728	0.0239159	0.0381468	0.0983242	0.250872	0.542694
a56	0.00621771	0.0104222	0.0108529	0.0311857	0.0344653	0.0583376	0.135285	0.257813	0.455421
a70	0.00500268	0.0088002	0.0101954	0.0248915	0.0247366	0.0407395	0.0993141	0.237369	0.548951
a98	0.00159586	0.00287919	0.00365255	0.0102775	0.0117273	0.023713	0.07575	0.229687	0.640718
a85	0.00141456	0.00221164	0.00309526	0.0101697	0.0133225	0.0305304	0.113387	0.27536	0.550509
a66	0.00149231	0.0028954	0.00421497	0.012922	0.0162034	0.0382992	0.115175	0.244816	0.563982
a62	0.000560437	0.000742436	0.00104973	0.0038984	0.00527008	0.016797	0.0635815	0.213685	0.694416
a83	0.000774462	0.00104551	0.00155923	0.00582987	0.00754176	0.0218483	0.0757585	0.217954	0.667689
a75	0.000555519	0.000707536	0.00112047	0.0045734	0.00640053	0.0215278	0.0815578	0.213227	0.67033
a36	0.000528486	0.000636266	0.00103759	0.00368418	0.00530909	0.0172778	0.0656583	0.21535	0.690518
a57	0.000182738	0.000191087	0.000323665	0.00134244	0.00227044	0.0111324	0.0651654	0.21641	0.702982
a87	0.00171464	0.00092921	0.00105173	0.0032647	0.00574145	0.0393565	0.115728	0.250512	0.581702
a23	0.00378551	0.00225538	0.00397616	0.0111333	0.0266076	0.123805	0.229252	0.29517	0.304015
a97	0.00847026	0.00250837	0.00292355	0.00779726	0.0193508	0.0714784	0.183048	0.283076	0.421348
a87	0.00620261	0.00291174	0.00530959	0.0106993	0.0209773	0.0682502	0.162522	0.292298	0.430829
a23	0.0165061	0.00928009	0.0143107	0.0212089	0.0321522	0.0689415	0.136783	0.258604	0.442213
a99	0.00864732	0.00306115	0.00329182	0.00664637	0.0126586	0.0430897	0.134892	0.255543	0.53217
a87	0.00663911	0.00255667	0.00448765	0.0109332	0.0230496	0.0697955	0.174074	0.260642	0.447822
</S>	0.00620194	0.00306047	0.00438973	0.00838443	0.0151062	0.0530455	0.136967	0.247762	0.525082
