 	le	tisserin	construit	son	nid	pendant	la	saison	sèche	</S>
a66	0.143769	0.117205	0.158115	0.176109	0.1547	0.124232	0.0541678	0.0361816	0.0214354	0.0140848
a97	0.158408	0.0573124	0.0654698	0.0848053	0.0960975	0.120835	0.112605	0.115123	0.106975	0.0823688
a99	0.314855	0.175301	0.0965812	0.0851487	0.0599116	0.0463041	0.0463678	0.0495627	0.0571429	0.0688252
a97	0.29147	0.301672	0.124304	0.0899249	0.0466435	0.0351648	0.0284521	0.0275534	0.0301112	0.0247037
a87	0.269452	0.24866	0.113412	0.0983812	0.0607737	0.049359	0.0416225	0.0403544	0.0441346	0.0338506
a23	0.265747	0.231791	0.100717	0.0907923	0.0607973	0.0537819	0.0484627	0.0499967	0.0563692	0.0415454
a53	0.305348	0.225865	0.0756436	0.0656021	0.0611223	0.060328	0.0545115	0.0561078	0.0587941	0.036677
a79	0.433907	0.18237	0.0670986	0.052508	0.0414174	0.0349511	0.0382805	0.0468615	0.0491551	0.0534517
a44	0.340047	0.207317	0.102577	0.0798116	0.0583904	0.0427842	0.037838	0.0413066	0.0419114	0.0480164
a79	0.183943	0.22767	0.134996	0.113794	0.0783298	0.0545111	0.0500402	0.0511626	0.0501046	0.0554495
a98	0.104118	0.187151	0.147757	0.132586	0.0934724	0.0634822	0.0594882	0.0631501	0.0657882	0.083006
a47	0.0782915	0.145677	0.169655	0.174439	0.122719	0.0817138	0.0579485	0.0538304	0.0539747	0.0617507
a36	0.0744453	0.13988	0.156895	0.159857	0.103742	0.069208	0.060443	0.0634177	0.0716601	0.100452
a26	0.0860295	0.142872	0.16903	0.187103	0.115021	0.0642191	0.0483719	0.0480373	0.0553495	0.0839668
a90	0.0465425	0.0903995	0.166859	0.191944	0.136679	0.0782039	0.0598992	0.0568753	0.0675739	0.105024
a56	0.0557354	0.100911	0.162057	0.194724	0.13694	0.0811124	0.0495376	0.046231	0.0612901	0.11146
a93	0.0410137	0.0884311	0.174264	0.20591	0.157168	0.10185	0.056192	0.0480586	0.0524659	0.0746478
a98	0.0201378	0.0472129	0.150017	0.226787	0.186024	0.11877	0.0623983	0.0500658	0.0552562	0.0833307
a92	0.00959717	0.0183332	0.0687974	0.136803	0.126355	0.108339	0.0996956	0.0989057	0.141312	0.191861
a44	0.00847113	0.0165279	0.0606759	0.129365	0.132161	0.122293	0.104035	0.100374	0.137143	0.188954
a43	0.00679235	0.0119593	0.0557295	0.149142	0.177345	0.155262	0.107149	0.0844729	0.100381	0.151767
a56	0.00699441	0.0101977	0.0404235	0.122014	0.174313	0.157941	0.112645	0.0914136	0.108508	0.17555
a96	0.00686804	0.0103919	0.0358908	0.0950304	0.138589	0.147233	0.136933	0.123465	0.130302	0.175296
a70	0.00566336	0.0083372	0.0253158	0.0576704	0.0907564	0.111981	0.138392	0.157719	0.17903	0.225135
a93	0.00411555	0.0058044	0.0175947	0.0463701	0.0796419	0.0935216	0.117445	0.135837	0.207421	0.292248
a70	0.00331033	0.00417506	0.0129846	0.0341864	0.0613704	0.0800545	0.112034	0.140912	0.222781	0.328191
a24	0.00187409	0.00233411	0.00726204	0.0185753	0.0318535	0.0433678	0.0822244	0.13228	0.256764	0.423465
a62	0.000861333	0.000969795	0.00274761	0.00650987	0.0111733	0.0174142	0.0490713	0.0987872	0.26148	0.550985
a88	0.00111153	0.00110299	0.00299331	0.00677394	0.0122174	0.0184994	0.0513569	0.0921822	0.258913	0.55485
a93	0.00203451	0.00156675	0.00457873	0.0104684	0.0197298	0.0265084	0.0582028	0.0960196	0.258607	0.522284
a56	0.000281089	0.000304872	0.000907299	0.00316577	0.00681029	0.0119164	0.0390842	0.0826455	0.256613	0.598272
a5	0.000214594	0.000236113	0.0008517	0.0026654	0.00576592	0.0100988	0.0331448	0.0735984	0.256046	0.617379
a23	0.000238152	0.000221347	0.00073047	0.00223664	0.00466685	0.00798248	0.0267225	0.060915	0.237773	0.658514
a27	0.000718157	0.000384451	0.00103124	0.0026127	0.00545222	0.00978404	0.03513	0.0725861	0.233491	0.63881
a38	0.0374351	0.0141107	0.0201902	0.0213024	0.0324137	0.0410718	0.071165	0.113382	0.227571	0.421358
a3	0.0504781	0.015896	0.0203918	0.0229713	0.0318957	0.0441276	0.0715735	0.108273	0.219266	0.415126
a99	0.133407	0.0370206	0.0309535	0.0264542	0.0299363	0.0425708	0.0620581	0.100457	0.204047	0.333096
a97	0.129202	0.0493441	0.0415772	0.0353688	0.0371354	0.056484	0.0702502	0.10683	0.188991	0.284817
a87	0.0896113	0.0441039	0.0519077	0.0653958	0.0763142	0.0966544	0.0906056	0.111261	0.151436	0.22271
a23	0.0728925	0.0383811	0.0535558	0.0691485	0.074335	0.0856926	0.0832444	0.105381	0.153908	0.263461
a87	0.0278543	0.0123551	0.0153338	0.0192945	0.0194071	0.0250005	0.0484145	0.0829142	0.210477	0.538949
</S>	0.0134813	0.00673439	0.00988248	0.013753	0.0125801	0.0159708	0.0351936	0.0667857	0.191149	0.634469
