 	l'	écureuil	volant	vit	en	forêt	</S>
a85	0.338456	0.13641	0.15834	0.164376	0.0998626	0.0611303	0.0414255
a66	0.456152	0.230783	0.16917	0.0873766	0.0301312	0.0156813	0.0107064
a99	0.360771	0.21826	0.137056	0.0861228	0.0617294	0.0615333	0.0745274
a97	0.570211	0.171151	0.118492	0.0687759	0.0290418	0.0204859	0.021842
a99	0.463326	0.187455	0.16041	0.110489	0.0398597	0.0214197	0.0170396
a3	0.537272	0.178807	0.139948	0.083108	0.0301633	0.0168101	0.0138914
a83	0.506344	0.179136	0.149224	0.0936101	0.0354027	0.0198595	0.016424
a62	0.370625	0.142267	0.145973	0.153477	0.0860876	0.0508643	0.0507067
a21	0.408119	0.208756	0.142081	0.111039	0.0589006	0.035701	0.0354045
a12	0.285934	0.241234	0.161177	0.12503	0.0799189	0.0548715	0.0518344
a96	0.231154	0.247383	0.182739	0.133957	0.0881464	0.0602084	0.0564122
a34	0.179834	0.239701	0.192357	0.139126	0.0976124	0.0768124	0.0745572
a47	0.149865	0.259304	0.204686	0.133379	0.0938448	0.0802377	0.0786836
a31	0.140792	0.272771	0.219565	0.129183	0.08388	0.0746551	0.0791546
a88	0.0876952	0.19004	0.204535	0.159319	0.131555	0.115089	0.111766
a24	0.0386769	0.111541	0.152187	0.143782	0.183971	0.190979	0.178863
a31	0.0171841	0.0544896	0.0902166	0.107752	0.19792	0.263539	0.2689
a0	0.0176987	0.0479353	0.082062	0.104636	0.196583	0.270071	0.281015
a75	0.0117108	0.0214604	0.0476551	0.0798927	0.187267	0.307406	0.344608
a6	0.00410485	0.0099825	0.0190461	0.0367607	0.150616	0.340989	0.438501
a36	0.00267512	0.00500046	0.0108219	0.0211658	0.100935	0.31642	0.542982
a90	0.0113835	0.0115097	0.0179927	0.023238	0.090691	0.26479	0.580396
a69	0.000978939	0.00222578	0.00486879	0.0114905	0.0800143	0.28809	0.612331
a58	0.000985707	0.0020327	0.00414335	0.00756128	0.0587317	0.285462	0.641083
a57	0.00297676	0.00490276	0.0087681	0.0120626	0.0593461	0.277968	0.633976
a82	0.0688414	0.0523772	0.0560534	0.0567806	0.115662	0.243802	0.406483
a3	0.183836	0.0782033	0.0705924	0.0736527	0.115727	0.198613	0.279374
a99	0.18458	0.0775937	0.0588314	0.0612825	0.124539	0.223981	0.269193
a3	0.0847034	0.0472647	0.0513093	0.0693771	0.152109	0.268464	0.326773
a97	0.0764428	0.0554055	0.0846529	0.100414	0.145332	0.222848	0.314904
a99	0.075019	0.0544288	0.0826689	0.0962647	0.141331	0.22558	0.324708
a3	0.0311275	0.0273273	0.0522587	0.0676851	0.136045	0.256408	0.429149
</S>	0.0751619	0.0582854	0.0758581	0.0901253	0.128658	0.211957	0.359955
