 	elle	ressentait	une	douleur	dans	le	bas-ventre	</S>
a23	0.300094	0.183052	0.12491	0.106472	0.0708367	0.0811827	0.0697094	0.0637431
a79	0.315813	0.159824	0.135824	0.110748	0.0855327	0.0744237	0.0590145	0.0588204
a4	0.334412	0.218886	0.127389	0.0729137	0.0537209	0.0488082	0.0656347	0.0782354
a57	0.503289	0.235669	0.126453	0.0396219	0.0240132	0.0175838	0.0261469	0.0272235
a30	0.355405	0.232689	0.220498	0.088772	0.0300846	0.0179531	0.0246773	0.0299204
a4	0.135449	0.156145	0.199281	0.167799	0.0903076	0.0719682	0.0779256	0.101124
a13	0.102797	0.110506	0.176166	0.157828	0.102903	0.0883933	0.117851	0.143556
a90	0.0829701	0.0893349	0.15505	0.169357	0.123597	0.107042	0.128031	0.144618
a79	0.0700711	0.0866571	0.130658	0.139253	0.146206	0.129313	0.147489	0.150353
a44	0.0687646	0.0843543	0.118576	0.128101	0.142924	0.140548	0.158423	0.158308
a57	0.0547478	0.0639935	0.105767	0.151868	0.165526	0.146317	0.161788	0.149992
a38	0.0623013	0.0833269	0.121577	0.157048	0.171408	0.139646	0.145428	0.119265
a11	0.0296665	0.0535732	0.0757848	0.10742	0.162055	0.171721	0.201675	0.198105
a53	0.0176369	0.0297272	0.040806	0.0734464	0.143909	0.197733	0.26733	0.229412
a90	0.0115138	0.0235625	0.0339583	0.0667016	0.146519	0.213039	0.277023	0.227683
a94	0.0124196	0.0274991	0.0403561	0.0749089	0.14199	0.197222	0.266429	0.239174
a4	0.00653997	0.0141915	0.0193596	0.0361109	0.0982116	0.195787	0.327403	0.302396
a94	0.00574987	0.0120339	0.0160783	0.0304577	0.0826219	0.191732	0.325563	0.335763
a26	0.00185326	0.00385118	0.00562955	0.0130335	0.0531842	0.165373	0.341837	0.415238
a9	0.00126244	0.00193648	0.00250801	0.00654429	0.0422723	0.147695	0.345031	0.45275
a87	0.0134146	0.0154109	0.0154534	0.0171592	0.0615974	0.1671	0.284422	0.425443
a23	0.211687	0.123225	0.105063	0.0676323	0.0760945	0.122073	0.144217	0.150008
a10	0.11879	0.0852564	0.0787329	0.0574334	0.0848902	0.142017	0.199946	0.232933
</S>	0.0440335	0.0462165	0.0496078	0.0431589	0.0778358	0.15229	0.255318	0.331539
