 	ils	viennent	d'	enterrer	la	dépouille	de	leur	oncle	au	village	</S>
a87	0.180406	0.122617	0.0793511	0.0818788	0.156688	0.246981	0.064074	0.022598	0.014644	0.0104216	0.00967766	0.0106636
a10	0.172494	0.115854	0.0845309	0.0716635	0.128724	0.193007	0.0975019	0.0381085	0.0260607	0.0201251	0.0222832	0.0296473
a87	0.124506	0.0837479	0.0684683	0.0794302	0.108977	0.153415	0.0967214	0.0493203	0.0412981	0.0405286	0.059019	0.0945681
a99	0.117688	0.0705599	0.0626455	0.0904536	0.115348	0.178746	0.121035	0.0651775	0.0493861	0.0385848	0.0391893	0.0511869
a20	0.056154	0.0469808	0.0651759	0.115316	0.168658	0.203608	0.132354	0.0595168	0.0451261	0.0341166	0.0320896	0.0409052
a73	0.131548	0.149201	0.126598	0.0805228	0.101259	0.126488	0.0654808	0.0386212	0.0373152	0.0417173	0.0461956	0.0550532
a69	0.129704	0.161442	0.139279	0.118022	0.123395	0.141512	0.0632678	0.0328423	0.0255834	0.0222982	0.0198263	0.0228287
a4	0.0938405	0.145982	0.132562	0.127938	0.124067	0.131186	0.0610491	0.0374946	0.0306032	0.0307985	0.0365279	0.0479507
a93	0.0710972	0.108413	0.130532	0.135191	0.12554	0.143508	0.0721643	0.0461949	0.0361187	0.033136	0.0407172	0.0573872
a13	0.0746588	0.102846	0.130515	0.139497	0.117432	0.122353	0.0801482	0.0500755	0.03693	0.0338847	0.0439748	0.0676855
a99	0.0728315	0.0898782	0.121378	0.147595	0.121419	0.13364	0.0896302	0.0524881	0.0392559	0.0336082	0.0409446	0.0573315
a38	0.0687263	0.0830275	0.10539	0.125912	0.110229	0.133848	0.102386	0.0668256	0.0513721	0.0420981	0.0487114	0.0614745
a70	0.0667112	0.0747006	0.0997831	0.128613	0.113823	0.142726	0.118291	0.077956	0.0541608	0.0375317	0.0388622	0.0468421
a62	0.0841229	0.0932906	0.12089	0.130468	0.112679	0.126729	0.0987604	0.0663267	0.0492925	0.0344706	0.0366094	0.0463607
a12	0.0667202	0.0751751	0.104794	0.152406	0.124283	0.129451	0.112812	0.0800953	0.0557015	0.0331297	0.0298603	0.0355708
a70	0.0625576	0.0760672	0.10431	0.14956	0.121527	0.123784	0.111567	0.0840952	0.0631258	0.0390065	0.0306991	0.0337017
a62	0.0364473	0.0493557	0.0720061	0.143147	0.121526	0.133656	0.128686	0.102819	0.0816287	0.0496247	0.038843	0.0422611
a47	0.0668745	0.0753321	0.0864386	0.135356	0.116421	0.118336	0.107248	0.0872795	0.0748138	0.0521485	0.0407437	0.0390078
a34	0.0299459	0.0452467	0.069464	0.141827	0.12033	0.13074	0.121477	0.102514	0.087354	0.0601372	0.0463145	0.0446489
a25	0.0434182	0.0531642	0.0685912	0.138751	0.108944	0.101183	0.113523	0.103305	0.0991985	0.0720862	0.0511642	0.0466729
a56	0.0186495	0.0322281	0.0441118	0.116688	0.107731	0.120545	0.130195	0.11764	0.104707	0.0785178	0.0627698	0.0662164
a4	0.0450761	0.0589794	0.0613455	0.112783	0.0889797	0.0868679	0.0960666	0.0955731	0.0986988	0.0861928	0.0807088	0.088728
a90	0.0237672	0.0334902	0.0372174	0.0735771	0.0638821	0.072827	0.0941148	0.117303	0.133332	0.116941	0.109712	0.123836
a56	0.0134105	0.0232879	0.0300522	0.0683512	0.0557157	0.0599651	0.0747487	0.0929766	0.119668	0.136411	0.150108	0.175305
a75	0.0221422	0.0284987	0.0323192	0.066981	0.049578	0.0499994	0.0669912	0.0906598	0.125632	0.148241	0.152856	0.166102
a56	0.0186219	0.0249875	0.0309492	0.0467767	0.0413619	0.0408205	0.0464162	0.063148	0.0963021	0.123821	0.197187	0.269608
a25	0.00999963	0.0115541	0.0140341	0.0357304	0.0282964	0.0302117	0.0468401	0.0728772	0.127198	0.173693	0.206848	0.242718
a4	0.00675899	0.0102042	0.0135636	0.030606	0.0251074	0.0255404	0.0364819	0.0540404	0.0920828	0.151816	0.238794	0.315004
a93	0.00482401	0.00664989	0.00904788	0.0256329	0.0208274	0.0215785	0.0354407	0.0593651	0.119748	0.182753	0.233251	0.280881
a13	0.00227356	0.00303485	0.00466373	0.0167167	0.0132944	0.0144751	0.026985	0.0521995	0.115259	0.193239	0.262589	0.295269
a57	0.00074523	0.000940081	0.00152436	0.00721849	0.00596728	0.00602596	0.0143313	0.0281171	0.0675381	0.136182	0.283325	0.448085
a4	0.000685067	0.0009319	0.00176944	0.0077273	0.00604344	0.00555128	0.0124677	0.0241263	0.0548547	0.115431	0.281793	0.488619
a13	0.00021552	0.000298986	0.000537805	0.00284513	0.00277915	0.00336045	0.00905901	0.0177673	0.0506623	0.118617	0.290635	0.503222
a3	0.000684636	0.000600343	0.00104921	0.00352771	0.00410474	0.00403632	0.0119523	0.0187093	0.0463549	0.109378	0.297657	0.501946
a10	0.0175412	0.0105521	0.0116256	0.0236874	0.0280254	0.0263931	0.0462618	0.063935	0.125182	0.183877	0.233831	0.229088
a87	0.0537855	0.0258565	0.0205371	0.0284993	0.0362397	0.0318073	0.0630471	0.103985	0.144406	0.160093	0.170682	0.161062
a23	0.0537556	0.0313938	0.0307017	0.051178	0.0720023	0.074111	0.122116	0.147008	0.135057	0.111799	0.0936985	0.0771785
a99	0.0151831	0.00599084	0.00458914	0.00616076	0.0107613	0.010563	0.0437131	0.0744634	0.106072	0.15945	0.254167	0.308887
a97	0.0089448	0.00461804	0.00512435	0.0098709	0.0162923	0.0169215	0.0569	0.0721805	0.0971365	0.147626	0.246017	0.318368
</S>	0.00302443	0.0025144	0.00419968	0.0104022	0.0148153	0.0141762	0.0438267	0.0505674	0.0659431	0.111947	0.265389	0.413194
