 	le	chef	du	village	a	convoqué	l'	assemblée	des	anciens	</S>
a23	0.165362	0.195469	0.129194	0.0835009	0.059673	0.0516321	0.0889353	0.0656546	0.0555387	0.0460132	0.059026
a87	0.291045	0.186939	0.122523	0.110546	0.0941125	0.0709478	0.0539902	0.019057	0.0134513	0.0147059	0.0226822
a23	0.190805	0.159708	0.153735	0.157088	0.11391	0.0765521	0.0523956	0.0173336	0.0182544	0.0245679	0.0356489
a79	0.210525	0.201154	0.171006	0.125369	0.0696236	0.0291738	0.0176599	0.00790089	0.0179945	0.043572	0.106022
a58	0.270974	0.280304	0.204013	0.119826	0.0573753	0.0202693	0.0156876	0.00851376	0.00756998	0.00638917	0.00907753
a57	0.217119	0.225151	0.220343	0.156573	0.0996122	0.0401636	0.0236243	0.00625298	0.00406757	0.00287027	0.00422348
a82	0.146646	0.165437	0.180577	0.167857	0.152895	0.0968371	0.0565534	0.0146622	0.00751721	0.00492969	0.00608804
a53	0.0830323	0.118278	0.139716	0.142237	0.144048	0.135059	0.111796	0.0478713	0.0322898	0.0225944	0.0230775
a69	0.0781693	0.102285	0.133914	0.15388	0.161093	0.139758	0.0946975	0.0434943	0.0287166	0.0256724	0.0383208
a94	0.0884972	0.102253	0.140421	0.167593	0.163667	0.129398	0.0788845	0.0472706	0.0272258	0.0233631	0.0314273
a38	0.094617	0.0955659	0.140423	0.172502	0.165297	0.13824	0.0908471	0.0422717	0.0220867	0.0165512	0.0215985
a75	0.0743556	0.0736482	0.115892	0.166877	0.172545	0.160575	0.119341	0.051236	0.0224602	0.017592	0.0254774
a73	0.0767753	0.0762657	0.113423	0.152205	0.148502	0.133191	0.101874	0.0694803	0.0478723	0.0363079	0.0441019
a84	0.0550778	0.0552867	0.0843881	0.133706	0.15135	0.169231	0.136839	0.0718697	0.0394469	0.0379941	0.0648107
a53	0.0317171	0.0302897	0.0535407	0.0870897	0.130115	0.214551	0.212389	0.105715	0.0461186	0.0351897	0.0532845
a69	0.0374957	0.0321735	0.0472882	0.0621007	0.0782441	0.109833	0.11458	0.108341	0.117789	0.117627	0.174526
a20	0.042974	0.035711	0.050471	0.0690668	0.0904697	0.136895	0.132055	0.0947042	0.0927053	0.113341	0.141608
a58	0.0523677	0.0413443	0.0518926	0.0638264	0.0715423	0.116024	0.136163	0.119941	0.0971701	0.114923	0.134805
a84	0.0429999	0.0368354	0.0472042	0.0611195	0.0713001	0.128172	0.147417	0.116786	0.0899686	0.105192	0.153005
a40	0.024143	0.018762	0.0254076	0.0333276	0.0527256	0.131146	0.172558	0.147451	0.129009	0.117298	0.148172
a73	0.0460611	0.0310046	0.0355149	0.0366706	0.0388056	0.0636472	0.0834718	0.0774198	0.103297	0.172013	0.312094
a94	0.0220539	0.014805	0.0182351	0.0186901	0.0232238	0.0582313	0.0925327	0.130293	0.133792	0.20451	0.283633
a31	0.0408548	0.0304494	0.0369578	0.0399281	0.0430116	0.0640581	0.101334	0.130797	0.152509	0.151494	0.208607
a88	0.0490664	0.0349377	0.0370487	0.0341708	0.0338729	0.0526281	0.0782089	0.120484	0.15949	0.191549	0.208543
a71	0.0398482	0.0290532	0.0316458	0.0301776	0.0287366	0.0409305	0.0550772	0.0996017	0.170083	0.224518	0.250328
a38	0.0393486	0.0338668	0.0371853	0.0381248	0.0402775	0.0614062	0.0773084	0.0953568	0.159126	0.199579	0.218421
a41	0.0381386	0.0250905	0.0259629	0.0251272	0.0261681	0.0373014	0.051745	0.0921639	0.183738	0.222283	0.272281
a73	0.010815	0.00602496	0.00606192	0.00500309	0.005582	0.0125401	0.0247877	0.0645076	0.134375	0.259195	0.471108
a2	0.00814644	0.0039632	0.00389462	0.00342433	0.00438492	0.009311	0.0160519	0.0451663	0.121076	0.270021	0.514561
a11	0.00671293	0.00348707	0.00320891	0.00262203	0.00278973	0.00548034	0.0122477	0.0553942	0.119707	0.288807	0.499543
a90	0.0336321	0.0146788	0.0114326	0.00929782	0.00959088	0.0142758	0.0206627	0.0475707	0.0783315	0.178569	0.581958
a54	0.0180523	0.00937129	0.00791796	0.00599646	0.00492849	0.0050824	0.00647402	0.0142168	0.0501802	0.197204	0.680576
a41	0.0202437	0.0109635	0.00916433	0.00616606	0.00525559	0.00657396	0.00868632	0.0192117	0.0687622	0.219656	0.625317
a35	0.0149303	0.00819293	0.00743562	0.00546607	0.00604132	0.0115162	0.0201249	0.0623703	0.117458	0.266005	0.480459
a41	0.00739654	0.00426341	0.00418721	0.00351157	0.00427424	0.00897595	0.0128314	0.0362658	0.0910899	0.257925	0.569279
a18	0.00798838	0.0042398	0.0036878	0.00280666	0.00320335	0.00675079	0.00913777	0.024526	0.0692346	0.23871	0.629715
a38	0.0065182	0.00353946	0.0029693	0.00215683	0.00230531	0.00489198	0.00702126	0.0159284	0.0492804	0.219509	0.68588
