 	on	tisse	la	hotte	à	l'	aide	de	la	liane	lekaa	</S>
a87	0.163831	0.228768	0.166876	0.135203	0.10847	0.0818685	0.0428985	0.0260075	0.0145525	0.0127561	0.0108772	0.00789239
a23	0.125106	0.144654	0.123513	0.106276	0.0849462	0.0852286	0.0639215	0.0438689	0.0472937	0.0524599	0.0528058	0.0699268
a54	0.116383	0.122619	0.109463	0.0880926	0.087904	0.0822303	0.0877297	0.0732137	0.0580286	0.0560786	0.0568118	0.0614465
a47	0.121113	0.128465	0.117806	0.112966	0.127461	0.14533	0.120054	0.0464899	0.0224381	0.0167659	0.0197645	0.021347
a6	0.172582	0.125559	0.111888	0.0693181	0.0850186	0.0897905	0.096643	0.0753039	0.0497157	0.0363374	0.0430209	0.0448233
a36	0.04582	0.0395878	0.0538756	0.0417984	0.0691569	0.0875955	0.126136	0.145631	0.129702	0.116762	0.0950897	0.0488452
a56	0.0567596	0.0579222	0.0814626	0.0757761	0.0884226	0.0834078	0.0925008	0.0950335	0.0993744	0.0987523	0.108747	0.0618411
a75	0.0657424	0.0622591	0.0786453	0.0628892	0.0728912	0.0625475	0.0689487	0.081157	0.093826	0.131736	0.146073	0.0732851
a25	0.0422013	0.0580914	0.0735066	0.0590815	0.06209	0.0458503	0.0384269	0.0513715	0.0724092	0.127861	0.192674	0.176436
a56	0.0275393	0.0414357	0.0601435	0.048352	0.042502	0.0287031	0.026884	0.0477064	0.0615848	0.0978101	0.230895	0.286444
a92	0.0233123	0.0315935	0.0373124	0.0332575	0.0256364	0.0151614	0.0121228	0.0265285	0.0518026	0.12771	0.299297	0.316266
a37	0.00913541	0.0128926	0.0136029	0.0127582	0.00741209	0.00532385	0.00544749	0.0160548	0.036292	0.108424	0.270374	0.502283
a36	0.0043928	0.00481313	0.00462082	0.00369356	0.00211791	0.0013878	0.00139563	0.00465527	0.0157776	0.0747016	0.288226	0.594218
a6	0.00870921	0.00830026	0.00843016	0.0092469	0.0040316	0.002339	0.00159542	0.0045418	0.0154244	0.0629143	0.278881	0.595585
a36	0.00406819	0.00379519	0.00397697	0.0040558	0.00158736	0.00116155	0.00118983	0.00404792	0.0168592	0.0719986	0.275201	0.612058
a2	0.0112609	0.0117591	0.0137304	0.0169998	0.0064798	0.00468467	0.00388142	0.0125264	0.0423456	0.109008	0.284867	0.482457
a57	0.0674045	0.100159	0.0933835	0.0686724	0.0293857	0.0271517	0.0203937	0.0290993	0.045625	0.0787757	0.181371	0.258579
a87	0.159248	0.182333	0.198437	0.155622	0.0814342	0.057546	0.0309855	0.0317675	0.0309189	0.0290786	0.0224002	0.0202287
a23	0.142533	0.134381	0.154084	0.141793	0.0880317	0.0581716	0.0374802	0.0511721	0.065331	0.0739423	0.0353341	0.0177466
a87	0.0775245	0.0629809	0.05665	0.0511063	0.0450702	0.0470184	0.0379733	0.0560931	0.101341	0.196169	0.138836	0.129237
a23	0.00785665	0.00661279	0.00687039	0.00701492	0.00524383	0.00601992	0.00931715	0.0243984	0.103998	0.294276	0.229503	0.298889
a97	0.00967629	0.00776372	0.00906031	0.0113045	0.0103804	0.0177143	0.0295679	0.0633017	0.151584	0.286809	0.185598	0.217239
</S>	0.00330966	0.00396825	0.00538253	0.00829349	0.00631455	0.0087044	0.0130263	0.0256362	0.0838524	0.196471	0.284698	0.360343
