 	ce	chanteur	est	un	bon	accompagnateur	</S>
a66	0.597068	0.15536	0.0780329	0.0647773	0.0497911	0.0352319	0.0197392
a97	0.303661	0.111061	0.11075	0.0924451	0.0817646	0.119206	0.181112
a99	0.331902	0.221986	0.143457	0.0758171	0.0419835	0.0730885	0.111766
a97	0.342993	0.259376	0.120556	0.0657858	0.0489368	0.0744757	0.0878763
a99	0.323777	0.223896	0.123346	0.0782065	0.0627235	0.0926679	0.0953828
a62	0.322608	0.206213	0.114302	0.0785245	0.0680976	0.101931	0.108324
a21	0.576781	0.241418	0.0738965	0.0416515	0.0279628	0.0233347	0.0149553
a61	0.544039	0.287063	0.092171	0.0381045	0.0157704	0.0135313	0.00932101
a34	0.537394	0.279164	0.104138	0.042133	0.0147878	0.0135683	0.0088144
a56	0.50388	0.275918	0.125616	0.0503243	0.0167515	0.0160853	0.0114242
a44	0.31954	0.281401	0.174846	0.0984671	0.0432946	0.0478335	0.0346177
a90	0.211293	0.257655	0.1884	0.131204	0.0673981	0.0816425	0.0624073
a98	0.173729	0.217221	0.179428	0.155942	0.0936423	0.106613	0.0734244
a79	0.110389	0.193868	0.186614	0.177507	0.126884	0.125804	0.0789338
a56	0.0632564	0.131597	0.160787	0.196651	0.157048	0.172089	0.118571
a93	0.0464039	0.0905298	0.133277	0.180381	0.164653	0.224799	0.159956
a13	0.0263157	0.0596601	0.103214	0.169388	0.188751	0.264834	0.187838
a62	0.00564333	0.013271	0.0289407	0.0676588	0.14195	0.315589	0.426947
a21	0.00675019	0.0113056	0.0222059	0.0538349	0.162003	0.312736	0.431164
a47	0.00164555	0.00467278	0.0117371	0.0361888	0.113126	0.359164	0.473466
a34	0.000869043	0.00245255	0.00598106	0.0207193	0.080319	0.297976	0.591684
a56	0.000379819	0.00104106	0.00266664	0.0102102	0.051823	0.258764	0.675115
a37	0.000359725	0.000857628	0.00246465	0.0100836	0.0559396	0.284094	0.646201
a5	0.000354517	0.000635354	0.00197051	0.00848011	0.0455347	0.269196	0.673829
a18	0.000587885	0.00119164	0.00312537	0.0112955	0.0505566	0.226441	0.706802
a25	0.00181372	0.00135241	0.00480496	0.0167098	0.0616514	0.238799	0.674869
a3	0.0245072	0.0155988	0.0326488	0.0587606	0.104373	0.228269	0.535843
a38	0.0530439	0.0255232	0.0472652	0.0715974	0.100776	0.264183	0.437612
a97	0.00542831	0.00311322	0.0062467	0.0130252	0.0310393	0.22343	0.717717
</S>	0.00443219	0.00372752	0.00817703	0.0174428	0.0348441	0.263854	0.667522
