 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
a23	0.22087	0.169229	0.0948848	0.0884448	0.129006	0.0952238	0.0726085	0.0522219	0.0272843	0.0195902	0.0158324	0.0148046
a85	0.227816	0.16765	0.113555	0.0836089	0.115832	0.0969679	0.0618115	0.0402381	0.0252775	0.021201	0.0199175	0.0261249
a87	0.166558	0.165998	0.171688	0.149801	0.151583	0.0820655	0.0354262	0.018465	0.0110295	0.0116596	0.0142913	0.0214339
a23	0.176544	0.178309	0.192846	0.150831	0.122457	0.073646	0.0293793	0.0150279	0.00968562	0.00993629	0.0144424	0.0268957
a38	0.245476	0.220333	0.188742	0.11935	0.0926624	0.0477104	0.0221187	0.0144305	0.0100917	0.0100163	0.0108717	0.0181966
a98	0.259483	0.228866	0.198787	0.121058	0.100271	0.0480113	0.0166771	0.00793757	0.00466566	0.00449054	0.00444657	0.00530613
a71	0.184271	0.179175	0.192227	0.126821	0.118412	0.0829216	0.0442788	0.0242463	0.0133841	0.0118116	0.0108355	0.0116155
a53	0.179047	0.181578	0.206358	0.135531	0.125133	0.0877188	0.0383027	0.0161422	0.00825223	0.00709193	0.00694208	0.00790262
a98	0.151167	0.152928	0.178426	0.125741	0.121022	0.0969808	0.057221	0.03243	0.02001	0.0189477	0.0202481	0.0248783
a66	0.133602	0.146126	0.165517	0.147922	0.139922	0.107731	0.0587996	0.0320384	0.0187555	0.0156823	0.015949	0.017955
a76	0.113739	0.126946	0.164643	0.15765	0.143972	0.120501	0.0683385	0.0337714	0.0173661	0.014379	0.0169211	0.0217721
a73	0.0950382	0.107589	0.139131	0.167249	0.156804	0.115227	0.0631463	0.0406127	0.0294431	0.0262826	0.0281292	0.0313469
a94	0.103127	0.115971	0.145282	0.168519	0.15134	0.111753	0.0618046	0.0390649	0.0272996	0.0236546	0.0249297	0.0272552
a84	0.0658414	0.0730548	0.115498	0.160641	0.156672	0.143414	0.0927624	0.059705	0.0363674	0.0291287	0.0308133	0.0361017
a11	0.0432751	0.0484826	0.0806399	0.129741	0.112897	0.128826	0.116606	0.0995724	0.0638421	0.0510572	0.0536448	0.0714165
a94	0.0503091	0.05214	0.0746211	0.129894	0.113354	0.1294	0.112258	0.0893194	0.0560488	0.0512325	0.0601741	0.0812496
a21	0.0549168	0.0561163	0.0715542	0.1105	0.100809	0.103653	0.0896128	0.0825225	0.0664079	0.0715755	0.0870182	0.105314
a47	0.0607341	0.0567135	0.0596264	0.0814749	0.0699247	0.0743637	0.0919718	0.112641	0.110553	0.104269	0.091662	0.0860659
a88	0.0611254	0.059124	0.0585546	0.0728302	0.0619404	0.0646289	0.0783422	0.0999055	0.108807	0.118988	0.112984	0.10277
a71	0.0558279	0.0534044	0.0502406	0.0645398	0.0563503	0.061085	0.0720493	0.0903996	0.105782	0.139176	0.139594	0.111551
a25	0.0621878	0.055949	0.0478942	0.0574005	0.0455484	0.0518756	0.0625157	0.0799348	0.0959559	0.14005	0.158358	0.142331
a87	0.0461486	0.0367977	0.03061	0.0414283	0.0277801	0.0301653	0.0390689	0.0573615	0.0777901	0.134443	0.210313	0.268094
a23	0.0146894	0.00985496	0.00791456	0.00865417	0.0067817	0.00875853	0.0191685	0.049086	0.0976227	0.190908	0.258042	0.328519
a53	0.0138967	0.00934725	0.00725761	0.00768621	0.00708689	0.010477	0.0260089	0.0681302	0.132154	0.1981	0.222457	0.297399
a94	0.042736	0.0332122	0.0285239	0.0349538	0.0226787	0.0171916	0.0193666	0.0287038	0.0522135	0.10034	0.21106	0.40902
a41	0.0146906	0.0119378	0.0125146	0.0163228	0.0136686	0.0160327	0.0237046	0.0425607	0.0853392	0.1767	0.264197	0.322331
a31	0.0147286	0.0120087	0.0124368	0.0164466	0.0123772	0.0141432	0.0215417	0.0398298	0.0814465	0.180439	0.269637	0.324965
a32	0.0150941	0.0131312	0.0119091	0.0152441	0.0114951	0.0117933	0.0167068	0.0311416	0.0698287	0.176076	0.291457	0.336123
a24	0.0108232	0.00915474	0.0077503	0.00861069	0.00665543	0.00726152	0.0101966	0.0209389	0.0550729	0.163304	0.318356	0.381876
a41	0.00752853	0.00649014	0.00546218	0.00650214	0.00462962	0.0055893	0.00842933	0.0179755	0.0475746	0.139292	0.307774	0.442753
a66	0.00634666	0.0050128	0.0039548	0.00495874	0.00287958	0.00295001	0.00473712	0.0124821	0.0435603	0.145681	0.331992	0.435444
a76	0.00415715	0.00323976	0.00266292	0.00376786	0.0024124	0.0031686	0.00519632	0.0118394	0.0351867	0.120895	0.321295	0.486179
a41	0.00957376	0.00678622	0.00547526	0.00642118	0.00378878	0.00363072	0.0058486	0.0133972	0.0409657	0.12844	0.326704	0.448969
a26	0.00378299	0.00271307	0.00238636	0.00330965	0.00194756	0.00238386	0.00506354	0.0150445	0.0536565	0.166548	0.329286	0.413878
a62	0.00141982	0.00105674	0.000983125	0.00131491	0.000827952	0.00123223	0.00268939	0.00813129	0.032226	0.117596	0.313648	0.518874
a98	0.00305214	0.00218782	0.00175539	0.00231041	0.00120559	0.00145781	0.00257899	0.00632419	0.0242193	0.101688	0.313202	0.540018
a83	0.00300379	0.00234135	0.00204465	0.00254481	0.00174298	0.00237954	0.00483097	0.0136825	0.0471756	0.141544	0.321858	0.456851
a9	0.00396196	0.00284308	0.00232246	0.00292649	0.00174202	0.00219992	0.0041002	0.00995418	0.0320725	0.119041	0.325657	0.49318
a87	0.00369278	0.00242471	0.00175083	0.002154	0.00130333	0.0017169	0.00397675	0.0105365	0.0298775	0.0898326	0.276779	0.575955
</S>	0.0025171	0.00180899	0.00148067	0.00168093	0.00128992	0.00164583	0.00407636	0.0102779	0.0266066	0.0776681	0.263032	0.607916
