 	le	cabri	qui	sera	offert	aux	beaux-parents	est	attaché	</S>
a66	0.226565	0.178024	0.210215	0.14655	0.104554	0.0684572	0.0238188	0.015665	0.0143044	0.0118451
a87	0.242466	0.145441	0.115454	0.128421	0.126261	0.0749886	0.0383151	0.037032	0.048591	0.0430299
a23	0.509695	0.199343	0.0833655	0.0453803	0.0379531	0.0258125	0.0164874	0.0171646	0.0279303	0.036868
a99	0.447101	0.178066	0.104742	0.0715083	0.0377284	0.0256782	0.0210124	0.0253019	0.0389374	0.0499242
a53	0.282742	0.167783	0.152593	0.0763457	0.0578137	0.0484401	0.0378599	0.0467037	0.0630006	0.066718
a44	0.346215	0.216679	0.123807	0.0504156	0.0549712	0.0459572	0.0322364	0.0405275	0.0514198	0.0377711
a56	0.202589	0.178717	0.150467	0.101452	0.0765262	0.0669904	0.0462999	0.0550863	0.0640808	0.0577916
a32	0.15891	0.148798	0.153548	0.141595	0.0974935	0.0803834	0.0518501	0.0534847	0.0616421	0.0522956
a24	0.0899192	0.103398	0.147551	0.189329	0.124534	0.0951368	0.0597293	0.0592137	0.0686156	0.0625737
a88	0.0590982	0.0702684	0.125998	0.207624	0.142358	0.100558	0.0657245	0.0676254	0.0865761	0.0741705
a9	0.0546492	0.0664003	0.121442	0.200975	0.140708	0.101927	0.0670198	0.0679147	0.0944675	0.0844963
a50	0.0398353	0.0474222	0.101044	0.1718	0.116265	0.102917	0.0758784	0.0857463	0.140228	0.118864
a62	0.023026	0.0278727	0.088922	0.241839	0.1514	0.127404	0.0819516	0.0759636	0.101037	0.0805835
a21	0.0243444	0.0306729	0.0913601	0.236143	0.168084	0.136635	0.0893255	0.0735875	0.0864004	0.0634465
a92	0.0190441	0.0216128	0.0552661	0.214179	0.210975	0.151564	0.0997915	0.0752591	0.081393	0.0709155
a37	0.0130578	0.0158865	0.0452749	0.172583	0.190431	0.138077	0.112979	0.100357	0.104964	0.106391
a98	0.0158309	0.0193191	0.0520191	0.184868	0.185983	0.158664	0.120214	0.0924323	0.0913164	0.0793527
a85	0.00910998	0.0125874	0.0354859	0.124788	0.149129	0.131277	0.142972	0.134417	0.133952	0.126282
a47	0.00487786	0.0072387	0.0224528	0.093534	0.125068	0.117178	0.153661	0.155702	0.162529	0.157757
a36	0.0111511	0.01513	0.0369905	0.102845	0.122226	0.120388	0.139308	0.136372	0.138272	0.177317
a56	0.0121956	0.0148169	0.0383183	0.10433	0.119103	0.139271	0.137677	0.124667	0.121779	0.187841
a90	0.00662625	0.00816507	0.0228846	0.0712722	0.0878396	0.114523	0.144413	0.142002	0.160221	0.242053
a92	0.00270879	0.00330829	0.00954021	0.0316624	0.0605443	0.08929	0.154832	0.172055	0.198669	0.27739
a5	0.00223889	0.00278272	0.00864421	0.0288772	0.0560594	0.0816772	0.152435	0.169691	0.20117	0.296425
a23	0.00229086	0.00299377	0.00760456	0.0222249	0.0330854	0.0494147	0.121709	0.167623	0.230697	0.362357
a40	0.00117536	0.00141263	0.00375004	0.0117581	0.0193852	0.0317768	0.0964672	0.152296	0.250456	0.431523
a6	0.00128766	0.00138042	0.00386575	0.014161	0.0300387	0.0470031	0.116649	0.156243	0.232736	0.396634
a36	0.00140459	0.00155673	0.00410972	0.0135449	0.0280536	0.0428244	0.103736	0.150158	0.237209	0.417403
a93	0.00186679	0.00195011	0.00328938	0.00695203	0.00869308	0.0151633	0.0482907	0.110257	0.287818	0.515719
a4	0.000909083	0.000959243	0.00173935	0.00460725	0.00647845	0.0117892	0.0437819	0.111033	0.29522	0.523483
a57	0.000821467	0.000865037	0.00167146	0.00440093	0.00611035	0.00998105	0.0349222	0.0924603	0.292311	0.556456
a53	0.00324935	0.00305985	0.00329902	0.00507098	0.00795234	0.0140094	0.0504301	0.136337	0.309339	0.467253
a90	0.000597632	0.000566127	0.00105913	0.00278575	0.00479374	0.00839283	0.0269373	0.079455	0.304094	0.571319
a98	0.000364439	0.000427689	0.000988337	0.00336899	0.00557402	0.00916473	0.0291032	0.0763358	0.25615	0.618522
a79	0.00015282	0.00013875	0.000245541	0.00107264	0.00215176	0.00368086	0.0159215	0.0512272	0.260761	0.664648
a7	0.000425361	0.000358447	0.000515705	0.00164889	0.00322601	0.00520176	0.0204925	0.0633242	0.269441	0.635366
a4	0.00177641	0.0016821	0.00160635	0.00257632	0.00545252	0.00942454	0.0386811	0.12073	0.321861	0.496209
a58	0.00100048	0.00102489	0.00181448	0.00365571	0.00654177	0.0105042	0.0339984	0.0897257	0.287585	0.564149
a84	0.0043514	0.00441389	0.00536768	0.00764334	0.0134464	0.0229933	0.0744576	0.1697	0.308469	0.389157
a87	0.0920836	0.0660836	0.0342358	0.0244476	0.0427981	0.0609161	0.121239	0.168074	0.198444	0.191677
a23	0.247385	0.136604	0.0605001	0.0438276	0.0554116	0.0599231	0.0810889	0.0933074	0.108206	0.113747
a99	0.0702608	0.0307268	0.0102188	0.00918749	0.0244063	0.0293754	0.08383	0.145501	0.260015	0.336478
a97	0.0388754	0.0153194	0.00740679	0.0136613	0.0304323	0.0319188	0.0670343	0.110563	0.255011	0.429778
</S>	0.0115811	0.00561043	0.0053698	0.0133859	0.0228787	0.0223077	0.0560378	0.100371	0.253364	0.509094
