 	qui	est	ce	qui	a	arraché	le	safoutier	qui	était	là	</S>
a66	0.185827	0.109251	0.0721943	0.0653151	0.0694234	0.110628	0.100859	0.0806226	0.0623251	0.0572857	0.0487939	0.0374746
a87	0.201962	0.143799	0.122768	0.0987268	0.0770843	0.072023	0.0622276	0.0468926	0.0404936	0.0412445	0.0445801	0.0481981
a97	0.363424	0.220096	0.14134	0.0871178	0.0460861	0.037393	0.0256254	0.0174205	0.0152334	0.0140514	0.0149189	0.0172942
a87	0.32985	0.20562	0.141824	0.0836015	0.0434731	0.03696	0.0323288	0.0263669	0.0264369	0.0241769	0.0238563	0.0255062
a23	0.314219	0.204891	0.14621	0.0911173	0.047887	0.0421255	0.0360321	0.0277694	0.0259192	0.0225533	0.0211349	0.0201413
a97	0.400726	0.168318	0.0954139	0.0637386	0.0461352	0.0455937	0.0432516	0.0377691	0.0297579	0.0231089	0.0204411	0.0257456
a87	0.281567	0.16519	0.116719	0.0851751	0.0649739	0.0689475	0.0560212	0.0498904	0.0394504	0.0272718	0.0212402	0.0235525
a23	0.354965	0.180812	0.116559	0.078198	0.0526769	0.0514586	0.0431839	0.0377366	0.0293549	0.0209097	0.0164775	0.0176672
a79	0.372432	0.163917	0.0953943	0.0698945	0.0512171	0.052084	0.0450888	0.041722	0.0331313	0.0240992	0.0214169	0.0296026
a4	0.299958	0.171664	0.0984857	0.07766	0.0530574	0.0629501	0.0517741	0.0544357	0.042758	0.0312334	0.024963	0.0310607
a11	0.296834	0.230433	0.149971	0.103804	0.0579565	0.0484413	0.0288792	0.0251297	0.0190321	0.0148357	0.0114264	0.0132572
a54	0.216079	0.208438	0.16162	0.121407	0.0746309	0.0561627	0.0370243	0.033626	0.0254249	0.0226644	0.0195033	0.0234195
a73	0.135837	0.154748	0.142556	0.125818	0.0992981	0.0829109	0.0618328	0.0537771	0.043036	0.0373094	0.0301049	0.0327715
a44	0.105	0.129955	0.131712	0.124354	0.107783	0.0876788	0.0651979	0.0583898	0.0506779	0.0486341	0.0428359	0.0477813
a11	0.0454072	0.0713449	0.104431	0.119544	0.125331	0.0982207	0.0814646	0.0750224	0.0653813	0.0693376	0.0681362	0.0763783
a34	0.0246556	0.039351	0.0694049	0.0971244	0.1256	0.100332	0.0848001	0.0807455	0.0748398	0.0861502	0.0996798	0.117316
a44	0.0253503	0.0442208	0.0743199	0.10543	0.135802	0.112028	0.0907207	0.0814412	0.0710965	0.0766895	0.0833056	0.0995955
a54	0.0185747	0.0297535	0.0509246	0.0803147	0.131483	0.122056	0.105827	0.0921814	0.0784068	0.0856896	0.0948723	0.109917
a37	0.0199677	0.0321659	0.0499662	0.0756333	0.121368	0.135338	0.128318	0.115059	0.0945862	0.0901198	0.072747	0.0647316
a75	0.0132016	0.0185951	0.028547	0.0475987	0.0924128	0.109161	0.117922	0.112143	0.0976445	0.109784	0.119454	0.133536
a96	0.0182905	0.0265883	0.0378837	0.0563979	0.0948502	0.112216	0.123533	0.120552	0.114537	0.116551	0.0990509	0.0795493
a70	0.0103242	0.012258	0.0168152	0.0280228	0.0560191	0.0755518	0.110265	0.124008	0.121165	0.135432	0.150001	0.160137
a66	0.00592865	0.00670048	0.00934512	0.015388	0.0310476	0.0450646	0.0855524	0.111655	0.123924	0.153477	0.192141	0.219777
a97	0.00213047	0.00203543	0.00238661	0.0039738	0.00863179	0.0159974	0.0405635	0.0708216	0.100694	0.157958	0.265263	0.329544
a82	0.00336241	0.00227455	0.00199737	0.0028869	0.00502844	0.0082454	0.0236816	0.0558774	0.0985303	0.18101	0.296994	0.320112
a3	0.0372045	0.0189687	0.0135658	0.0145564	0.0170916	0.0218	0.0449096	0.0749669	0.112139	0.174463	0.244651	0.225683
a87	0.121907	0.0681817	0.0497912	0.0478343	0.0460355	0.0519917	0.091482	0.101453	0.109653	0.115202	0.113379	0.0830882
a23	0.151152	0.104703	0.0798864	0.072565	0.0593912	0.063092	0.100656	0.0937329	0.0912043	0.0756297	0.0634875	0.0444995
a87	0.233494	0.122312	0.070222	0.0575497	0.0434059	0.0493205	0.0594402	0.0660435	0.0676835	0.0656606	0.0784425	0.0864255
