 	il	a	acheté	un	mouton	</S>
a23	0.416831	0.275448	0.135433	0.0720281	0.0633829	0.0368774
a30	0.329621	0.252745	0.159818	0.0945158	0.0819058	0.0813943
a53	0.209117	0.193766	0.197519	0.135708	0.138864	0.125026
a20	0.490383	0.277741	0.1331	0.053635	0.0252869	0.019854
a30	0.386857	0.296985	0.226326	0.0626409	0.0187373	0.00845413
a57	0.412667	0.310028	0.19634	0.0525593	0.0192728	0.00913266
a87	0.310441	0.263179	0.242342	0.0974941	0.0529744	0.0335697
a23	0.151569	0.143232	0.182253	0.159344	0.188556	0.175046
a40	0.176771	0.158238	0.205581	0.155697	0.158166	0.145546
a30	0.330398	0.295795	0.231588	0.0822691	0.0387964	0.0211536
a32	0.29292	0.268098	0.233717	0.12998	0.0509993	0.0242857
a76	0.19396	0.209501	0.237321	0.199902	0.105596	0.0537197
a35	0.143333	0.176699	0.221259	0.242239	0.1404	0.0760706
a24	0.124362	0.146144	0.174071	0.235836	0.207974	0.111612
a41	0.0701983	0.0844632	0.11305	0.21689	0.301888	0.21351
a98	0.0499284	0.0551926	0.0724972	0.17097	0.337823	0.313589
a66	0.0444421	0.0458065	0.0558481	0.130327	0.350276	0.3733
a90	0.0185786	0.0180297	0.0277612	0.0880814	0.376046	0.471503
a76	0.019769	0.0137148	0.015048	0.0482582	0.289992	0.613218
a94	0.0248767	0.0187893	0.0171506	0.0498481	0.284244	0.605092
a38	0.0145458	0.00984462	0.00973394	0.0355717	0.213939	0.716365
a4	0.0134474	0.00943391	0.0094646	0.0388574	0.212319	0.716478
a58	0.007253	0.00468263	0.00453303	0.0207432	0.152255	0.810533
a57	0.0114368	0.00886954	0.00882078	0.0291126	0.14017	0.80159
a87	0.0314353	0.0275638	0.0314739	0.0603431	0.169632	0.679552
</S>	0.0193219	0.0250511	0.0303311	0.047332	0.218662	0.659302
