 	accroche	le	sac	sur	cette	pointe	</S>
a87	0.319387	0.274353	0.149221	0.103648	0.0624505	0.0454841	0.045456
a23	0.19341	0.156751	0.167653	0.136576	0.105595	0.102497	0.137517
a38	0.318593	0.198863	0.106749	0.082598	0.0678136	0.0799425	0.145441
a53	0.375799	0.302349	0.114347	0.065976	0.0464264	0.0438561	0.0512458
a54	0.483763	0.27116	0.0883567	0.0391389	0.0322844	0.0353123	0.0499846
a6	0.352318	0.243872	0.114426	0.0681036	0.0643722	0.0685594	0.0883485
a5	0.324477	0.280777	0.139269	0.0628233	0.055116	0.0576199	0.0799173
a61	0.320724	0.296011	0.162821	0.0703365	0.0542697	0.0458415	0.0499965
a0	0.312286	0.309528	0.176309	0.0680995	0.0494006	0.0410862	0.0432909
a75	0.294527	0.244005	0.202199	0.0945036	0.0635271	0.0489902	0.0522485
a5	0.20065	0.174836	0.167513	0.13411	0.108245	0.0959908	0.118655
a27	0.276255	0.202552	0.185378	0.101815	0.0773574	0.0724564	0.0841861
a75	0.187188	0.113041	0.136854	0.153324	0.129124	0.117902	0.162568
a92	0.119725	0.0888187	0.0951209	0.12907	0.15045	0.17012	0.246695
a96	0.0992519	0.0891189	0.10789	0.157066	0.163646	0.159391	0.223636
a90	0.153953	0.101354	0.11509	0.151604	0.149499	0.132055	0.196445
a25	0.0964274	0.0756802	0.0871375	0.170508	0.183881	0.160518	0.225848
a92	0.0489989	0.0441187	0.053922	0.136361	0.201817	0.216465	0.298317
a44	0.0433752	0.0371914	0.0435291	0.103435	0.185654	0.250754	0.336061
a11	0.0333524	0.0280858	0.0385077	0.0881136	0.163598	0.25096	0.397382
a21	0.00489953	0.00466114	0.0107563	0.0355508	0.0846169	0.222907	0.636608
a75	0.018413	0.0151017	0.0200339	0.0573512	0.130436	0.265046	0.493619
a93	0.016274	0.0148848	0.0185308	0.052697	0.11328	0.262278	0.522055
a4	0.00757117	0.0073142	0.0123917	0.0396823	0.0980235	0.255221	0.579796
a13	0.00511849	0.00513252	0.0102986	0.0321858	0.0864124	0.25054	0.610313
a9	0.00596879	0.00546239	0.0101081	0.0302272	0.0819579	0.248122	0.618154
a87	0.0220276	0.0232488	0.0294151	0.070439	0.136419	0.272845	0.445605
a10	0.153924	0.119605	0.102585	0.128743	0.140015	0.155066	0.200062
a87	0.11392	0.0923022	0.0862181	0.151198	0.170511	0.179015	0.206835
a23	0.127963	0.110608	0.115612	0.161592	0.151909	0.151504	0.180812
a87	0.0494878	0.0428674	0.0595098	0.127661	0.168122	0.22677	0.325582
</S>	0.0305153	0.0289591	0.0498033	0.0992189	0.143016	0.253311	0.395177
