 	ces	ananas	sont	déjà	pourris	</S>
a23	0.376811	0.166667	0.159649	0.186694	0.0827718	0.0274063
a87	0.351131	0.238251	0.27086	0.127049	0.00914189	0.00356718
a23	0.351791	0.222547	0.174017	0.156323	0.0515418	0.0437802
a87	0.396467	0.238793	0.170286	0.121612	0.0396795	0.0331614
a23	0.344707	0.196084	0.179676	0.169989	0.0606726	0.0488723
a83	0.293153	0.198126	0.200416	0.190964	0.0825072	0.0348331
a9	0.362748	0.278564	0.228134	0.0821611	0.0250939	0.0232986
a38	0.190691	0.201693	0.178475	0.172939	0.133285	0.122917
a93	0.118077	0.148542	0.134217	0.161819	0.192917	0.244427
a4	0.13326	0.198851	0.191729	0.163192	0.138707	0.17426
a70	0.103943	0.185032	0.180954	0.141787	0.153588	0.234695
a31	0.111191	0.186912	0.166604	0.161301	0.162354	0.211638
a61	0.0827099	0.12404	0.101687	0.138041	0.216644	0.336879
a62	0.0844958	0.112582	0.0827336	0.133438	0.262186	0.324565
a83	0.0539063	0.0634895	0.0395105	0.0975085	0.356393	0.389192
a90	0.0244046	0.0274937	0.0207008	0.064553	0.354524	0.508324
a4	0.0143001	0.0176579	0.0157855	0.0540862	0.348953	0.549218
a58	0.00396865	0.00530904	0.00562313	0.0329572	0.315642	0.6365
a82	0.000461677	0.00049029	0.000621306	0.00901171	0.142502	0.846913
a10	0.00573984	0.00372991	0.00350136	0.0156874	0.120929	0.850412
a87	0.0528652	0.0359941	0.0272612	0.0529379	0.182464	0.648478
a23	0.160313	0.12134	0.0832282	0.147667	0.241526	0.245926
a87	0.0894924	0.0501052	0.0230445	0.0586258	0.248979	0.529753
a23	0.0904754	0.0527232	0.0281206	0.0798387	0.242556	0.506286
a87	0.104644	0.0682167	0.0354667	0.0941818	0.248889	0.448602
</S>	0.0528111	0.0372001	0.0216018	0.0708542	0.256305	0.561228
