 	cette	rivière	a	débordé	</S>
a66	0.390856	0.244393	0.132178	0.160805	0.071768
a87	0.39723	0.289039	0.187336	0.0992601	0.0271345
a23	0.449505	0.343376	0.155201	0.0357756	0.0161424
a18	0.404871	0.307891	0.152343	0.0705072	0.0643869
a54	0.321465	0.262364	0.154963	0.0990192	0.162188
a47	0.265249	0.260897	0.265543	0.117707	0.090605
a6	0.13609	0.191556	0.360845	0.1838	0.127709
a5	0.202774	0.260314	0.333777	0.111509	0.0916259
a12	0.17489	0.243943	0.309884	0.17744	0.0938427
a21	0.12476	0.211899	0.26956	0.266461	0.127319
a12	0.09138	0.130596	0.16906	0.409731	0.199232
a18	0.0708852	0.123363	0.174243	0.387814	0.243695
a24	0.0456473	0.0653864	0.0967576	0.33457	0.457638
a12	0.010255	0.0124812	0.0220605	0.208275	0.746928
a96	0.0132095	0.0196525	0.0368367	0.254473	0.675829
a62	0.00623811	0.00953213	0.0204662	0.191581	0.772183
a0	0.00430056	0.00658882	0.0169199	0.174871	0.797319
a75	0.00158345	0.00214351	0.00600784	0.0888827	0.901383
a25	0.00127095	0.00161002	0.00486462	0.048458	0.943796
a92	0.000514113	0.000587294	0.00180986	0.030209	0.96688
a56	0.000987643	0.0011194	0.00297815	0.0369496	0.957965
a90	0.00203963	0.0026226	0.00822616	0.0621641	0.924948
a69	0.00113714	0.0014732	0.00532118	0.0457413	0.946327
a4	0.000899577	0.00107557	0.00353127	0.0410565	0.953437
a58	0.00113682	0.0013218	0.00476337	0.0516142	0.941164
a82	0.00286328	0.00363272	0.014048	0.0735283	0.905928
a87	0.093227	0.0706813	0.0952141	0.174184	0.566694
a23	0.395425	0.22532	0.147123	0.0977473	0.134385
a87	0.224492	0.133791	0.109561	0.0984616	0.433695
</S>	0.0287269	0.0224552	0.0280953	0.0729288	0.847794
