 	il	n'	y	a	plus	de	forêts	dans	le	secteur	de	tombo	à	cause	des	feux	de	brousse	</S>
a84	0.0361844	0.0387555	0.0469944	0.0885099	0.120717	0.13616	0.117308	0.118541	0.157412	0.0770255	0.0281261	0.0127057	0.00755224	0.00447395	0.00320837	0.00242949	0.00126329	0.00129222	0.00134129
a10	0.102546	0.0799715	0.0907976	0.102011	0.0960734	0.0917942	0.0791273	0.071302	0.0674553	0.0563834	0.0173328	0.0138074	0.0137904	0.0106606	0.0132292	0.0168335	0.0199572	0.0266913	0.0302355
a87	0.112263	0.102903	0.116725	0.109991	0.0854969	0.0783883	0.062835	0.0537212	0.0585365	0.0514944	0.0205604	0.0148335	0.0136676	0.0107696	0.0118387	0.010347	0.0171078	0.0289673	0.0395534
a23	0.100533	0.101135	0.1127	0.100128	0.0678389	0.0576422	0.0460242	0.0428722	0.048654	0.0536337	0.0298899	0.0296731	0.0273549	0.0212306	0.0225365	0.0201361	0.0259107	0.0395287	0.052577
a62	0.0929641	0.108906	0.131831	0.113261	0.0667478	0.0568448	0.0439323	0.0458586	0.0571128	0.0481536	0.0264177	0.0290159	0.0241482	0.0205739	0.0230083	0.0219867	0.0174299	0.0276503	0.0441568
a88	0.102498	0.103639	0.120061	0.15665	0.115547	0.0969824	0.0679007	0.0581074	0.0615313	0.0331625	0.0151745	0.013972	0.0128012	0.0107152	0.00846173	0.00556971	0.00372857	0.00533203	0.00816559
a71	0.156815	0.156231	0.161822	0.155915	0.0871255	0.0621393	0.0367738	0.0334941	0.0379133	0.0298651	0.0154306	0.0127824	0.0140792	0.0148281	0.0103675	0.00669625	0.00211065	0.0021855	0.00342531
a62	0.167673	0.161865	0.146012	0.133746	0.0701405	0.0511264	0.0319258	0.0310986	0.0342805	0.0297757	0.0167218	0.0136372	0.0162019	0.0217078	0.0208391	0.019703	0.010358	0.0102254	0.012963
a21	0.144831	0.1363	0.140759	0.143141	0.0811526	0.0614104	0.0389627	0.0364493	0.0448673	0.0396686	0.0213936	0.0144268	0.0161404	0.0220857	0.0193748	0.0159803	0.00811178	0.00679447	0.00815013
a5	0.109446	0.102592	0.106662	0.110702	0.0753915	0.0611226	0.0497379	0.0532823	0.0709701	0.0697819	0.0400845	0.021689	0.0210306	0.0304371	0.0252918	0.0178787	0.00926749	0.00991704	0.0147159
a21	0.116736	0.0985094	0.104951	0.11057	0.073621	0.062117	0.0501368	0.0530351	0.0685459	0.0643747	0.0373258	0.0226957	0.0217089	0.0288476	0.0253698	0.0203674	0.0122513	0.0126047	0.0162316
