 	à	ekyémbe	on	cultive	des	bananes	plantains	</S>
a23	0.481609	0.274132	0.111502	0.0632945	0.0348132	0.0131525	0.00946499	0.0120315
a87	0.744385	0.178049	0.0394909	0.0138364	0.00749626	0.00520091	0.00461038	0.0069315
a99	0.235407	0.201512	0.136703	0.109243	0.0594773	0.0533054	0.0670776	0.137275
a23	0.357638	0.296583	0.121697	0.0545749	0.0270627	0.0237381	0.0313356	0.0873698
a50	0.560198	0.226173	0.0564978	0.023422	0.0218456	0.0232119	0.0282423	0.0604094
a62	0.484461	0.296942	0.139038	0.0273446	0.0130758	0.0103876	0.00983191	0.0189189
a88	0.486775	0.294452	0.131999	0.0342989	0.0154586	0.0113957	0.00991496	0.0157056
a62	0.292632	0.252718	0.250791	0.0963151	0.0397691	0.0224416	0.0182498	0.027084
a34	0.175137	0.223425	0.311912	0.141546	0.0567021	0.0302289	0.0258634	0.0351847
a56	0.112782	0.186996	0.298975	0.167927	0.0778544	0.0460418	0.0453502	0.0640731
a37	0.0910952	0.16929	0.286701	0.177018	0.0845432	0.0524411	0.0601336	0.0787781
a98	0.0849501	0.154418	0.272333	0.172935	0.0934362	0.061677	0.0706992	0.0895516
a85	0.0452321	0.0743754	0.216593	0.172627	0.113752	0.0908741	0.131222	0.155324
a6	0.0325826	0.0371943	0.100312	0.114398	0.105802	0.126933	0.225171	0.257607
a0	0.0100044	0.00876939	0.0287839	0.0675791	0.0905982	0.146638	0.286823	0.360804
a21	0.00904838	0.00914186	0.0191954	0.0601263	0.119205	0.183248	0.274298	0.325737
a85	0.0156733	0.014629	0.0302395	0.0815392	0.139761	0.202946	0.258302	0.25691
a47	0.0095688	0.00810036	0.0206919	0.0540612	0.0989654	0.173349	0.281019	0.354244
a36	0.00267834	0.0020754	0.00589279	0.0262948	0.0686458	0.183447	0.321914	0.389052
a7	0.00503744	0.003013	0.00545267	0.0201392	0.0490898	0.143752	0.323498	0.450018
a44	0.000781696	0.000461111	0.00160556	0.00937432	0.0257014	0.131354	0.31565	0.515071
a58	0.000384094	0.000258529	0.00122941	0.0066992	0.0202876	0.133556	0.349176	0.488409
a57	0.000777712	0.000318691	0.000917645	0.0055038	0.0248471	0.154406	0.290843	0.522386
a82	0.010787	0.00546954	0.00538967	0.0111279	0.042759	0.179505	0.284502	0.46046
a87	0.163539	0.114787	0.068723	0.0578015	0.071688	0.101957	0.166484	0.25502
a23	0.351956	0.202682	0.0976585	0.0749606	0.0642454	0.0554844	0.0727688	0.0802435
a99	0.027463	0.0127872	0.0115264	0.0417447	0.0906866	0.224872	0.301792	0.289128
a3	0.00652614	0.00494936	0.00902225	0.0310046	0.0554558	0.179389	0.344396	0.369257
</S>	0.0104983	0.00775141	0.0120215	0.0248052	0.0401911	0.145972	0.327649	0.431112
