 	le	chien	a	volé	un	morceau	de	viande	dans	la	cuisine	</S>
a66	0.30743	0.155733	0.0982198	0.0679797	0.0692877	0.0837543	0.0723805	0.0490831	0.0338103	0.0236704	0.0203013	0.0183506
a87	0.256556	0.132944	0.074939	0.0750982	0.0926681	0.109083	0.085485	0.0492012	0.0319476	0.0263935	0.0297874	0.0358965
a23	0.333553	0.186819	0.127111	0.115606	0.0854627	0.067602	0.0354463	0.0159358	0.00926722	0.00721533	0.00743983	0.00854104
a40	0.252771	0.100506	0.0776411	0.106344	0.0972825	0.0968609	0.0738073	0.0500716	0.0394695	0.0321953	0.0331108	0.0399399
a37	0.332943	0.159042	0.110635	0.0820004	0.0717515	0.0657215	0.0498723	0.0344204	0.0266436	0.0224848	0.0219216	0.0225631
a12	0.2598	0.175951	0.139113	0.113706	0.0816175	0.0622584	0.0495065	0.038628	0.0270471	0.018864	0.0164034	0.0171045
a5	0.115584	0.160615	0.179391	0.198284	0.10894	0.0662736	0.0456756	0.0385798	0.0282213	0.02063	0.0186941	0.0191111
a6	0.0586133	0.0950878	0.123977	0.213915	0.136829	0.0870065	0.0636107	0.0556379	0.0476016	0.0396538	0.0386137	0.0394543
a36	0.0478697	0.086155	0.120811	0.209704	0.130011	0.0765627	0.0570798	0.0544123	0.0527659	0.0516535	0.054871	0.0581045
a37	0.0492145	0.0686226	0.0876599	0.156133	0.105811	0.0683812	0.0572847	0.0579287	0.0638096	0.0748855	0.0944584	0.115811
a18	0.0376764	0.0552207	0.0705655	0.144942	0.11816	0.0807797	0.0647859	0.0619823	0.0674237	0.078689	0.0980932	0.121681
a62	0.0265838	0.0406672	0.0556045	0.14609	0.15837	0.113164	0.0770995	0.0580492	0.0554154	0.06268	0.0834425	0.122834
a70	0.019848	0.0314671	0.0427047	0.12833	0.180837	0.160855	0.110851	0.0729003	0.0590164	0.0544801	0.062371	0.0763396
a4	0.0130378	0.019265	0.027133	0.0906034	0.149909	0.159811	0.128351	0.0926941	0.0765539	0.0666604	0.077155	0.0988263
a11	0.0145816	0.0205579	0.0276625	0.0724435	0.120334	0.14884	0.133434	0.106457	0.0941034	0.0788962	0.0840708	0.0986187
a0	0.00858857	0.0117321	0.0164928	0.0530945	0.095854	0.130892	0.128098	0.108751	0.101767	0.0897468	0.107408	0.147574
a24	0.0147656	0.0170138	0.0212341	0.0480873	0.0745085	0.103886	0.109457	0.100566	0.101266	0.0975821	0.125522	0.186111
a83	0.00947819	0.00962006	0.0108187	0.0235205	0.0427083	0.0713469	0.0879534	0.0925186	0.107569	0.117601	0.163256	0.263609
a70	0.00463042	0.0047951	0.00594467	0.0149069	0.0309787	0.054351	0.0711716	0.085937	0.112536	0.13653	0.193006	0.285213
a44	0.00317613	0.00360512	0.00464957	0.011962	0.0234951	0.0411363	0.0544821	0.0712473	0.108346	0.148518	0.218249	0.311133
a54	0.00214388	0.00256421	0.00351775	0.00899923	0.0190962	0.0334753	0.0456428	0.0633872	0.100469	0.154795	0.232714	0.333196
a6	0.0048199	0.00597209	0.00797565	0.0162967	0.0270549	0.0368271	0.0407733	0.0563247	0.0936595	0.145027	0.222747	0.342522
a37	0.00353201	0.00395088	0.00466249	0.00817278	0.0150731	0.0242315	0.0326997	0.0526097	0.100951	0.162298	0.236058	0.35576
a6	0.000878047	0.00111461	0.00143448	0.00244237	0.00518735	0.00926075	0.0150085	0.0300305	0.069934	0.15184	0.260209	0.45266
a37	0.00135967	0.00162821	0.00190394	0.0030464	0.00578877	0.00959599	0.0141453	0.0286978	0.0708293	0.151441	0.255625	0.455939
a44	0.000361669	0.000509554	0.000674868	0.00116971	0.00294025	0.00581714	0.0101741	0.021907	0.0566316	0.138865	0.256541	0.504408
