 	son	père	l'	a	réprimandé	car	il	prend	ses	études	à	la	blague	</S>
a66	0.0952435	0.0779725	0.0896024	0.129729	0.131949	0.159282	0.100832	0.108233	0.0449277	0.0295808	0.0125599	0.00697134	0.00620071	0.00691587
a87	0.289845	0.0996968	0.0863112	0.0575447	0.106403	0.127925	0.0645738	0.0507163	0.0223488	0.0264425	0.0181902	0.0149568	0.0146502	0.0203954
a23	0.2131	0.108131	0.0856154	0.0852195	0.174026	0.112466	0.0516483	0.0471259	0.0308981	0.0351373	0.0187053	0.0123422	0.00962166	0.0159643
a40	0.125009	0.091473	0.0914365	0.105061	0.234561	0.0941503	0.0416856	0.0569711	0.0394157	0.0461056	0.0264075	0.0145937	0.0115356	0.0215943
a47	0.134752	0.11861	0.117367	0.0878246	0.080702	0.060427	0.0301084	0.0357251	0.0255212	0.0423217	0.0516486	0.0554652	0.0633047	0.0962221
a36	0.103355	0.137337	0.172003	0.134065	0.194227	0.0793656	0.0293165	0.0324811	0.0160604	0.0193806	0.0172463	0.0158167	0.0178752	0.0314707
a75	0.0689563	0.109011	0.152892	0.155817	0.232539	0.0999739	0.0330415	0.0310242	0.0181678	0.0199147	0.0197179	0.0164459	0.0166327	0.0258662
a5	0.0790821	0.105122	0.150724	0.162919	0.262827	0.10342	0.0294745	0.0233902	0.0137181	0.0135106	0.0138369	0.0118799	0.0123625	0.0177341
a12	0.0905577	0.0975251	0.120892	0.141674	0.302232	0.106288	0.0308668	0.0245048	0.0150431	0.0126469	0.0115197	0.0107138	0.0127864	0.0227504
a96	0.0827793	0.0893893	0.114249	0.151677	0.307422	0.112492	0.0340561	0.027899	0.018018	0.0144369	0.0116764	0.00986602	0.00995078	0.0160877
a62	0.0505057	0.0637371	0.10076	0.161477	0.277879	0.136097	0.0473249	0.0393108	0.0262945	0.0206097	0.0166608	0.0160127	0.016839	0.0264917
a75	0.0350831	0.0501876	0.0874429	0.1593	0.239398	0.150026	0.0667827	0.0557576	0.0390489	0.0285309	0.0217886	0.0193581	0.019396	0.0278988
a79	0.0259732	0.0385038	0.0743893	0.121265	0.197985	0.117486	0.0571323	0.0653389	0.0579366	0.0459852	0.0398325	0.040308	0.045759	0.0721056
a98	0.0246299	0.0374351	0.0764888	0.129372	0.180564	0.115438	0.0541009	0.0601741	0.0539961	0.0431749	0.0394492	0.0444148	0.0557584	0.0850033
a6	0.018646	0.0281154	0.0630072	0.136739	0.145037	0.125561	0.0710696	0.0710275	0.0652953	0.0493974	0.041029	0.0457023	0.058367	0.0810068
a36	0.0106683	0.0165399	0.0329788	0.0793398	0.0836342	0.101778	0.0728025	0.0872201	0.0964603	0.0764063	0.0642341	0.0723334	0.0885278	0.117076
a56	0.00885878	0.0125043	0.0215281	0.0548531	0.0676593	0.11398	0.0933506	0.10538	0.100678	0.0683846	0.0504094	0.0606428	0.0955051	0.146266
a75	0.00749437	0.0110579	0.0195156	0.0460645	0.0689333	0.111973	0.0978153	0.1148	0.105023	0.071158	0.0496053	0.0584677	0.092747	0.145345
