 	elle	fait	une	bobine	de	coton	</S>
a85	0.319954	0.136818	0.0702486	0.0534512	0.0654188	0.118239	0.235871
a87	0.350864	0.200169	0.10711	0.0560267	0.0508233	0.0882862	0.146721
a23	0.472029	0.188134	0.0819469	0.0465302	0.0412086	0.0686465	0.101505
a87	0.368569	0.162985	0.0645182	0.0321418	0.0402115	0.100185	0.231389
a23	0.258446	0.193643	0.114036	0.0480481	0.052451	0.0976422	0.235734
a79	0.230132	0.141499	0.0814718	0.0342635	0.0462517	0.118089	0.348293
a20	0.397495	0.226887	0.127577	0.0443258	0.0424245	0.0539207	0.10737
a79	0.422064	0.300514	0.158448	0.0478629	0.0356361	0.0181747	0.0173005
a44	0.317711	0.286903	0.216865	0.0925933	0.0489858	0.0204686	0.0164732
a26	0.280362	0.280509	0.225812	0.105676	0.0632633	0.0275924	0.0167846
a11	0.265928	0.263694	0.22782	0.119608	0.0752797	0.0304735	0.0171977
a31	0.232818	0.236403	0.233833	0.139707	0.099157	0.0388919	0.0191902
a98	0.18983	0.186822	0.206454	0.159459	0.147761	0.0772401	0.0324331
a24	0.172692	0.157474	0.188032	0.181026	0.152388	0.0923236	0.0560632
a32	0.120974	0.112256	0.147502	0.185941	0.205709	0.145884	0.0817337
a25	0.111724	0.0957157	0.131054	0.191606	0.212698	0.157005	0.100198
a76	0.0559314	0.0490477	0.0820252	0.167895	0.218041	0.242842	0.184218
a25	0.0462064	0.04258	0.0642802	0.1548	0.20798	0.245744	0.238409
a90	0.0229	0.0276354	0.0585587	0.178745	0.231321	0.252437	0.228403
a58	0.0384822	0.0346709	0.052327	0.135816	0.208708	0.287546	0.24245
a82	0.0215458	0.0205297	0.0353039	0.0979567	0.171653	0.309868	0.343143
a38	0.0145675	0.0111035	0.0169402	0.0521219	0.13501	0.339007	0.43125
a25	0.0160999	0.012604	0.0208413	0.0619987	0.134022	0.316107	0.438326
a69	0.0100436	0.00934716	0.0173566	0.0530967	0.108757	0.29213	0.509269
a58	0.0128878	0.00990478	0.0207273	0.0641205	0.124709	0.257741	0.50991
a82	0.00722869	0.00491853	0.00894939	0.0202539	0.052895	0.20195	0.703804
a87	0.00199594	0.0013309	0.00176702	0.00379938	0.0192405	0.152323	0.819543
</S>	0.00249677	0.00156221	0.0027534	0.00776313	0.0427231	0.261621	0.68108
