 	je	n'	ai	plus	mangé	du	poisson	d'	eau	douce	depuis	que	mon	époux	est	mort	</S>
a87	0.144784	0.107586	0.0861279	0.0817939	0.0734366	0.0842914	0.09401	0.0783333	0.0765931	0.0424385	0.0260696	0.0211333	0.024145	0.0240228	0.0134151	0.0111113	0.0107086
a10	0.205751	0.097229	0.0657155	0.0454982	0.0351626	0.0277567	0.0268353	0.0232215	0.0227645	0.0189307	0.0234446	0.0291627	0.0323492	0.0380852	0.0663864	0.102629	0.139078
a87	0.181811	0.106589	0.0795233	0.0654026	0.0522908	0.0614752	0.0735356	0.0645382	0.0594397	0.0435145	0.0307643	0.0218808	0.0190155	0.0173257	0.0234261	0.0360826	0.0633853
a23	0.197643	0.137832	0.110876	0.0866088	0.0531662	0.051229	0.051868	0.0457058	0.0424702	0.0315875	0.0231793	0.019895	0.0197744	0.0187728	0.025258	0.0355085	0.0486257
a83	0.15744	0.112675	0.105021	0.086327	0.05784	0.0499494	0.0423702	0.0375365	0.0385442	0.03208	0.0295725	0.0293797	0.0348149	0.0334783	0.0389909	0.052731	0.0612494
a75	0.201125	0.184281	0.157411	0.121566	0.0714653	0.0453664	0.0318929	0.0197465	0.0198769	0.0124945	0.00943982	0.00961918	0.0130769	0.0101958	0.0142366	0.0291931	0.049014
a47	0.216305	0.206981	0.16774	0.114382	0.0882429	0.0413314	0.0263958	0.0153292	0.0137401	0.0115689	0.0107251	0.00956075	0.0115256	0.0117669	0.0107768	0.0172664	0.0263622
a6	0.14177	0.158659	0.149593	0.113105	0.0919151	0.0502393	0.0338813	0.022496	0.02143	0.023383	0.0254276	0.0238484	0.0262348	0.0304872	0.0235232	0.0285325	0.0354743
a92	0.0887436	0.107489	0.115837	0.099054	0.0895159	0.0628896	0.0519398	0.0412699	0.0410048	0.0452513	0.0501905	0.040973	0.0385557	0.0441235	0.0273932	0.0279455	0.0278233
a85	0.0913823	0.0921092	0.0938637	0.0801041	0.0831295	0.0636649	0.0561231	0.048378	0.051758	0.0624311	0.0733924	0.0515369	0.0417711	0.0410117	0.0232652	0.0226547	0.023424
a37	0.0546922	0.0631115	0.0790271	0.0843067	0.0874733	0.0744112	0.0661747	0.0569981	0.0587211	0.0674529	0.0775492	0.0616921	0.0510148	0.0451435	0.0257682	0.0228803	0.0235829
a85	0.0507477	0.0582384	0.0718992	0.0966932	0.101445	0.0954565	0.0879874	0.0725233	0.0689018	0.0715078	0.0694252	0.045721	0.0346891	0.0290714	0.0167966	0.0142344	0.0146624
a6	0.0346039	0.0402182	0.052207	0.079403	0.0858484	0.085763	0.0788051	0.0677748	0.0699145	0.0772829	0.0858513	0.0665541	0.0543669	0.0487686	0.0267639	0.0214457	0.0244286
a0	0.0215676	0.0239789	0.0293995	0.0476966	0.0579761	0.071582	0.0745351	0.0709509	0.0791453	0.0905291	0.106304	0.0838326	0.071492	0.0671519	0.0389121	0.0301813	0.0347654
a12	0.0184345	0.0203046	0.0236767	0.0362758	0.043583	0.0677066	0.0895056	0.0918152	0.0977702	0.107332	0.104283	0.072676	0.060008	0.0544082	0.0360783	0.0334144	0.042728
a18	0.0178988	0.0188978	0.0211856	0.0287471	0.0357002	0.0538649	0.0777055	0.0841274	0.092238	0.114851	0.130805	0.0993372	0.0766131	0.0657336	0.0320387	0.0237399	0.0265153
a62	0.00570839	0.00561515	0.00674305	0.0109014	0.0153833	0.031085	0.0570305	0.0972991	0.123205	0.173274	0.148133	0.0886762	0.0648349	0.0591605	0.0323402	0.0340945	0.0465152
a61	0.00470932	0.00459995	0.00570009	0.00970483	0.0149133	0.0285946	0.0479955	0.0790905	0.104765	0.16293	0.152781	0.0957803	0.0711965	0.0711827	0.0433257	0.0456809	0.0570504
a66	0.00634692	0.00610049	0.00714522	0.0118462	0.0163632	0.0269981	0.0419063	0.0633448	0.0898679	0.153012	0.166493	0.117388	0.0893673	0.0818904	0.0392542	0.0357404	0.0469365
a44	0.00216844	0.00195066	0.00229434	0.00405169	0.00663167	0.0153593	0.0276088	0.0510489	0.0787143	0.150652	0.182872	0.125674	0.0938605	0.100708	0.0516564	0.0483333	0.0564149
a90	0.00403971	0.00362069	0.00420465	0.00733163	0.0111495	0.023523	0.039125	0.0601477	0.079649	0.110538	0.126813	0.101968	0.0933768	0.105747	0.0732255	0.0720449	0.0834972
a56	0.00318867	0.00304099	0.00350992	0.00602418	0.0092937	0.018315	0.0302151	0.0464417	0.0668846	0.103547	0.137846	0.116008	0.105633	0.115217	0.082835	0.072648	0.0793521
a34	0.00288392	0.00253042	0.00278055	0.00485379	0.00777656	0.0165513	0.0281419	0.0427974	0.0620154	0.0972754	0.138276	0.120483	0.110022	0.128284	0.0824926	0.0727093	0.0801266
a70	0.00554039	0.00482392	0.00521829	0.00864581	0.013885	0.0260473	0.0409285	0.0548632	0.0742539	0.101384	0.141036	0.117576	0.104582	0.112881	0.0729832	0.0595173	0.0558345
a66	0.0018972	0.00162356	0.00170586	0.00269882	0.0038592	0.00879981	0.0159516	0.0271318	0.0415515	0.0733579	0.12118	0.119839	0.111934	0.165971	0.105305	0.0933732	0.10382
a9	0.00170471	0.00139379	0.00149445	0.00215613	0.00315058	0.0074148	0.0150878	0.0310105	0.0473309	0.0851483	0.13212	0.118322	0.103139	0.159253	0.0984779	0.0876585	0.105138
a87	0.00442105	0.00305347	0.00281805	0.00343801	0.00467957	0.00784846	0.0137284	0.0246559	0.0384632	0.0792072	0.150406	0.129592	0.103789	0.167925	0.0911533	0.0773993	0.0974224
a23	0.0137314	0.00788257	0.00626972	0.0063391	0.00829242	0.0109437	0.0177402	0.0318035	0.0499559	0.0773891	0.106345	0.11475	0.127181	0.181381	0.0896687	0.0664821	0.0838449
a11	0.00583052	0.00340579	0.00264195	0.0025463	0.00345228	0.00464997	0.00817196	0.0134439	0.0218803	0.0297216	0.0357352	0.0469068	0.0635813	0.0829388	0.121581	0.18498	0.368532
a54	0.000441125	0.000357428	0.00037994	0.000435138	0.000925176	0.00182136	0.00372571	0.0073855	0.0128001	0.0240186	0.0375852	0.0438472	0.0466851	0.0779556	0.118377	0.212676	0.410584
a47	0.000599986	0.000633734	0.000757177	0.00102936	0.00196231	0.00388244	0.00811687	0.0176993	0.0329381	0.0551508	0.0943076	0.0924912	0.0878462	0.121847	0.112317	0.141519	0.226902
a79	0.00154321	0.0015818	0.00178802	0.00248101	0.00431663	0.00716613	0.0120606	0.0231275	0.0425458	0.0695302	0.111391	0.10761	0.108097	0.136616	0.106744	0.111774	0.151628
a90	0.00217819	0.00226655	0.00260653	0.00392744	0.00696231	0.0115838	0.0195501	0.0354156	0.0602186	0.0831902	0.110535	0.0970005	0.0967349	0.117776	0.0921793	0.104243	0.153632
a98	0.00257791	0.0025415	0.0028471	0.00450448	0.00720066	0.0108243	0.0170109	0.0286538	0.0501446	0.0786526	0.109092	0.105912	0.112581	0.137167	0.097591	0.0995634	0.133136
a47	0.00577197	0.00650002	0.00764617	0.0107589	0.0168039	0.02302	0.0279823	0.0364993	0.0545315	0.0754733	0.0990541	0.0953428	0.0924529	0.105394	0.0845689	0.0936554	0.164545
a92	0.0023476	0.0021749	0.0021419	0.00275829	0.00431025	0.00742626	0.0132097	0.0257698	0.048376	0.072738	0.105417	0.101872	0.104567	0.114227	0.0928256	0.113933	0.185905
a37	0.00447215	0.0036451	0.00357783	0.00499314	0.00677278	0.0106351	0.0162052	0.0274003	0.0460898	0.0721552	0.103317	0.102452	0.109178	0.135271	0.0978153	0.106358	0.149663
a96	0.00185199	0.00165554	0.00182687	0.00293044	0.00460948	0.00776714	0.0123159	0.0205577	0.0364858	0.0692375	0.115719	0.107016	0.10604	0.123475	0.108548	0.125716	0.154248
a70	0.00101177	0.000908584	0.000947731	0.00147107	0.00230465	0.00444908	0.00799081	0.0144597	0.0264996	0.0575597	0.116514	0.114233	0.105242	0.124829	0.114998	0.136558	0.170023
a93	0.000439851	0.000376908	0.000362794	0.000563493	0.000813195	0.00157697	0.00310862	0.0058584	0.010989	0.0265516	0.0621453	0.0692919	0.0693447	0.105142	0.143088	0.207824	0.292522
a70	0.000374164	0.000322246	0.000324359	0.000499185	0.000723961	0.00150266	0.0030422	0.0063749	0.0125851	0.0329953	0.0775791	0.0929636	0.0965667	0.137728	0.147724	0.176601	0.212094
a13	0.000484125	0.000426032	0.000419867	0.000632611	0.000864112	0.00172399	0.00342365	0.00681872	0.0122315	0.0263595	0.0603742	0.0714036	0.077419	0.115055	0.141185	0.206852	0.274328
a9	0.000171978	0.000134012	0.00012238	0.00016644	0.000223864	0.000471499	0.000959449	0.00194644	0.00346746	0.00823823	0.0237691	0.0332969	0.0390302	0.0911937	0.156291	0.258476	0.382041
a99	0.00152566	0.000988139	0.000865309	0.00100439	0.00143372	0.00254397	0.00475591	0.00767856	0.0112197	0.0169122	0.0335234	0.045104	0.0522469	0.119764	0.185167	0.247221	0.268046
