 	il	lui	donna	une	bourrade	amicale	</S>
a23	0.647196	0.231111	0.0544065	0.0123018	0.0141223	0.0208556	0.0200068
a54	0.351776	0.154441	0.064112	0.0461113	0.0638447	0.141973	0.177742
a85	0.222946	0.160219	0.173118	0.164914	0.116623	0.0807837	0.0813962
a36	0.228713	0.400877	0.298745	0.0432663	0.0146134	0.00810838	0.00567617
a0	0.174445	0.321815	0.335786	0.064363	0.0310261	0.0371152	0.0354493
a61	0.317535	0.354524	0.212204	0.0384427	0.0201391	0.0272879	0.0298668
a75	0.242514	0.297127	0.275359	0.06957	0.0309694	0.0400458	0.0444146
a98	0.189827	0.190201	0.195141	0.108051	0.0853321	0.109173	0.122276
a85	0.140098	0.14849	0.212549	0.13306	0.098198	0.124626	0.142979
a47	0.125082	0.124512	0.203844	0.149301	0.102564	0.134886	0.159812
a37	0.0443313	0.0299797	0.048836	0.084012	0.144025	0.309906	0.33891
a90	0.022609	0.0161977	0.021981	0.0371296	0.100111	0.327469	0.474503
a56	0.00490496	0.00597904	0.0172356	0.0411205	0.115414	0.358239	0.457107
a96	0.00310117	0.00318839	0.00705784	0.0198757	0.0694937	0.339515	0.557768
a66	0.00189341	0.00214593	0.00460648	0.0124259	0.0475003	0.347774	0.583654
a4	0.00189903	0.00153633	0.0031852	0.0118589	0.0568799	0.323405	0.601236
a57	0.00498608	0.00526404	0.0108642	0.02549	0.0595907	0.312157	0.581648
a82	0.00281514	0.00278305	0.00665805	0.0221109	0.0673395	0.311904	0.586389
a87	0.0655737	0.0255277	0.0373682	0.0714634	0.143079	0.289599	0.367389
a23	0.294456	0.265123	0.112899	0.0694977	0.0894635	0.0978042	0.070757
a87	0.215657	0.200191	0.10288	0.0914388	0.139337	0.138048	0.112448
</S>	0.0595907	0.0514629	0.0422352	0.0752738	0.215392	0.284809	0.271237
