 	c'	est	l'	oncle	d'	adoua	qui	a	érigé	les	murs	de	cette	maison	en	terre	battue	</S>
a66	0.0881295	0.0831074	0.0858416	0.096634	0.104355	0.0893821	0.0825411	0.150729	0.0799883	0.0476936	0.0268704	0.0150057	0.0133518	0.00854635	0.00518815	0.00637109	0.00765588	0.00860968
a87	0.241108	0.169858	0.114681	0.0739339	0.0487847	0.0449706	0.0502113	0.108422	0.0412005	0.021967	0.0107648	0.00998678	0.010966	0.00936735	0.00624502	0.00912954	0.0126484	0.0157552
a23	0.220316	0.163533	0.131106	0.0862116	0.0679912	0.0583258	0.0702513	0.0809346	0.0319772	0.0156316	0.00675427	0.00518976	0.00661325	0.00872933	0.00773585	0.00980565	0.0137056	0.0151879
a79	0.17783	0.132388	0.120353	0.0811611	0.0631096	0.0769815	0.103494	0.0773019	0.0229401	0.00768268	0.00438871	0.00491806	0.00606302	0.00744968	0.0113544	0.0188217	0.0370239	0.0467384
a69	0.179213	0.0793747	0.0568005	0.0562751	0.0651234	0.0860696	0.10785	0.10845	0.0707058	0.0332526	0.0136815	0.0146918	0.0133609	0.0111936	0.0112728	0.0197528	0.0339813	0.038951
a58	0.126371	0.0915529	0.0799028	0.0735795	0.0987308	0.0959524	0.0942187	0.100326	0.0941883	0.0542087	0.0174667	0.0141096	0.00958873	0.00680427	0.00714707	0.0101309	0.0128364	0.0128852
a54	0.105715	0.097623	0.107496	0.0986094	0.13646	0.0802711	0.0769836	0.0772273	0.0786813	0.0546992	0.0240676	0.0165542	0.00895766	0.00660808	0.00622931	0.00669969	0.00781249	0.00930427
a98	0.0739772	0.0686932	0.0662849	0.0554144	0.0988363	0.0572356	0.0757886	0.094281	0.114713	0.0939011	0.0437099	0.0350028	0.019943	0.0142734	0.0150527	0.0193415	0.0239134	0.0296377
a92	0.0713208	0.065843	0.0587921	0.0438572	0.0741081	0.0403665	0.0583666	0.0762676	0.113737	0.145619	0.0894363	0.0671656	0.0309303	0.0141288	0.00990543	0.0113274	0.013203	0.0156259
a12	0.0691841	0.0726308	0.0679182	0.0590253	0.098782	0.0443387	0.0532332	0.0657163	0.0794539	0.142209	0.103218	0.0707644	0.0229896	0.0115516	0.007609	0.00817195	0.00974094	0.0134625
a96	0.0369166	0.0359788	0.0311014	0.0417643	0.0635646	0.0489919	0.0744129	0.0881862	0.100545	0.156001	0.125025	0.10448	0.0382831	0.016492	0.00858241	0.00849232	0.00961009	0.0115731
a21	0.0222292	0.0187917	0.015491	0.0257452	0.0384456	0.039328	0.100107	0.12628	0.126765	0.152355	0.127041	0.0936479	0.039883	0.0182691	0.0119595	0.0126834	0.0146982	0.0162813
