 	cet	enfant	m'	a	manqué	du	respect	</S>
a66	0.297047	0.216569	0.14138	0.136186	0.102192	0.0638629	0.0273875	0.0153752
a10	0.383209	0.208178	0.145567	0.134442	0.0762176	0.033607	0.0113951	0.00738375
a87	0.41473	0.232109	0.169459	0.104272	0.0391569	0.0161044	0.011225	0.0129443
a23	0.402466	0.243191	0.171158	0.103182	0.0404188	0.0168021	0.0112201	0.0115614
a54	0.363985	0.209562	0.179199	0.132002	0.0516814	0.0249407	0.0189115	0.0197188
a98	0.168946	0.180605	0.171515	0.168572	0.123316	0.0904999	0.0559929	0.0405533
a47	0.125261	0.153739	0.208895	0.281609	0.142915	0.0488535	0.0222549	0.016472
a98	0.0816924	0.125611	0.194396	0.249652	0.167471	0.0877906	0.0511772	0.0422101
a79	0.0652714	0.0998986	0.173855	0.232142	0.188815	0.112326	0.0708873	0.0568046
a25	0.0974947	0.117588	0.173414	0.217074	0.183769	0.0941619	0.0628407	0.0536569
a15	0.0567118	0.0977863	0.150989	0.186818	0.20663	0.135324	0.0869097	0.0788308
a20	0.0559778	0.0681152	0.102718	0.125524	0.160575	0.157104	0.158265	0.17172
a40	0.0355913	0.0501559	0.0864546	0.12368	0.200669	0.187759	0.157323	0.158368
a85	0.0307589	0.0393724	0.0582887	0.0925736	0.184623	0.205486	0.197867	0.19103
a5	0.014152	0.0220736	0.0401337	0.0709986	0.146459	0.193998	0.229404	0.282781
a37	0.0177515	0.0240285	0.0391173	0.0699895	0.14255	0.214376	0.218753	0.273434
a85	0.00914503	0.0100432	0.0137831	0.0275096	0.0872166	0.207459	0.288767	0.356077
a47	0.00379701	0.0044515	0.00629728	0.01276	0.0449596	0.143149	0.315568	0.469018
a7	0.00190275	0.0019674	0.00274886	0.00508681	0.0218664	0.122782	0.323302	0.520344
a79	0.00467509	0.00387608	0.00383937	0.00518184	0.0174318	0.0945577	0.300521	0.569918
a90	0.000967055	0.000755825	0.000892107	0.00144011	0.00601326	0.0480091	0.273041	0.668882
a69	0.00119158	0.000960987	0.000997897	0.00141432	0.0048751	0.0376254	0.242924	0.710011
a58	0.0014915	0.00119144	0.00122616	0.00156962	0.00494363	0.0387147	0.25301	0.697853
a82	0.00320859	0.00208477	0.00190237	0.00312739	0.0108157	0.0666696	0.296013	0.616179
a87	0.0494734	0.0376036	0.0331339	0.035524	0.047208	0.101507	0.246502	0.449048
a23	0.186671	0.100202	0.0748995	0.0622897	0.0591976	0.101486	0.167476	0.247779
a57	0.0808577	0.0374073	0.0271862	0.024337	0.0343399	0.106142	0.281881	0.407849
a87	0.0167257	0.00857216	0.00785757	0.00930634	0.0193781	0.0833828	0.282417	0.572361
a23	0.0191103	0.0112617	0.0111033	0.0123232	0.019914	0.0752427	0.25649	0.594555
a99	0.0184294	0.0140794	0.0154	0.018748	0.0332189	0.103621	0.288142	0.508361
a97	0.0188665	0.016287	0.0216327	0.0302754	0.0452636	0.107462	0.262452	0.497761
</S>	0.0212861	0.0149539	0.0178513	0.0215139	0.0300352	0.088706	0.254481	0.551172
