 	le	hibou	bouboule	</S>
a85	0.671722	0.173747	0.0935474	0.0609836
a87	0.452676	0.333094	0.107285	0.106945
a23	0.506703	0.339249	0.0895239	0.0645242
a24	0.633228	0.256713	0.057107	0.0529522
a31	0.817684	0.154923	0.0172052	0.010188
a43	0.694941	0.26076	0.0308187	0.0134808
a0	0.401145	0.397172	0.127215	0.0744679
a34	0.29689	0.359984	0.200969	0.142158
a70	0.390247	0.361564	0.164265	0.0839235
a44	0.32625	0.350851	0.197412	0.125487
a35	0.300285	0.341818	0.224987	0.13291
a94	0.201713	0.311354	0.288992	0.197941
a13	0.139308	0.263745	0.310001	0.286946
a18	0.0641519	0.17714	0.328684	0.430025
a94	0.0509998	0.127742	0.294455	0.526803
a76	0.0435675	0.0925029	0.312303	0.551626
a41	0.0277735	0.0619687	0.306938	0.60332
a61	0.0286629	0.0688895	0.313884	0.588564
a21	0.0179189	0.0458782	0.256692	0.679511
a41	0.0142106	0.0396963	0.246315	0.699778
a30	0.0196727	0.0412642	0.248664	0.690399
a2	0.0559559	0.0595577	0.215733	0.668753
a57	0.0592978	0.0828178	0.199821	0.658063
a87	0.0563266	0.0805575	0.277213	0.585903
a23	0.104631	0.0878008	0.26156	0.546008
a10	0.101407	0.114334	0.297154	0.487106
</S>	0.0241232	0.0929246	0.290075	0.592877
