 	nous	avons	nettoyé	le	champ	</S>
a66	0.598503	0.143729	0.0776063	0.0607732	0.0612212	0.0581676
a87	0.454638	0.325329	0.129403	0.0424046	0.025764	0.022462
a97	0.350001	0.255168	0.232828	0.0886388	0.042717	0.0306471
a23	0.423333	0.283364	0.157525	0.0669319	0.0408697	0.0279769
a50	0.433756	0.346794	0.160976	0.0313239	0.0147436	0.0124066
a0	0.568584	0.30727	0.0990858	0.0161975	0.00522485	0.00363862
a61	0.425339	0.364346	0.153963	0.0341484	0.0137657	0.0084382
a21	0.415016	0.389394	0.132929	0.0332051	0.0176064	0.0118499
a25	0.326803	0.384648	0.16374	0.0603434	0.0383503	0.0261151
a98	0.250525	0.248152	0.156082	0.13267	0.118713	0.093858
a92	0.14039	0.114499	0.175142	0.216318	0.201145	0.152506
a56	0.0507117	0.0490871	0.156681	0.242831	0.277602	0.223087
a43	0.0166572	0.0182895	0.0933225	0.199595	0.334116	0.338019
a56	0.00393341	0.00494203	0.0299542	0.113795	0.289886	0.55749
a11	0.00194034	0.00279511	0.0165619	0.0877512	0.270774	0.620177
a90	0.000479818	0.000787063	0.00440252	0.0340698	0.205923	0.754337
a93	0.000531121	0.000830343	0.00380763	0.0263166	0.171889	0.796625
a70	0.000513498	0.000888822	0.00467436	0.0302121	0.186067	0.777644
a36	0.000548282	0.000968636	0.00679194	0.043197	0.218921	0.729573
a26	0.002919	0.00427146	0.0210392	0.0727661	0.227144	0.67186
a57	0.0421369	0.0347999	0.0705483	0.114479	0.209065	0.528971
a97	0.139001	0.0850494	0.131786	0.158817	0.207114	0.278233
a99	0.199911	0.111772	0.140362	0.173888	0.190213	0.183853
a97	0.0996097	0.0660487	0.058877	0.12411	0.256494	0.394861
a3	0.036773	0.0244524	0.0327302	0.103454	0.309982	0.492608
</S>	0.0383327	0.0241333	0.0375173	0.12731	0.315307	0.4574
