 	sa	baguette	cassa	</S>
a87	0.359745	0.232551	0.173462	0.234242
a79	0.324209	0.256959	0.210667	0.208165
a12	0.540209	0.296316	0.0982699	0.0652053
a88	0.716521	0.217916	0.045044	0.0205191
a71	0.624399	0.259202	0.0769045	0.0394951
a25	0.516704	0.294652	0.114844	0.0738002
a32	0.347273	0.284053	0.174315	0.194359
a75	0.467365	0.312618	0.126473	0.0935438
a41	0.483305	0.294599	0.133841	0.0882556
a94	0.396742	0.310689	0.17253	0.120038
a75	0.34273	0.341254	0.177935	0.138081
a73	0.294572	0.29842	0.215291	0.191717
a76	0.183348	0.285353	0.278897	0.252402
a73	0.158324	0.231763	0.300511	0.309401
a41	0.112482	0.240994	0.318292	0.328232
a24	0.106104	0.1835	0.304714	0.405681
a94	0.0831536	0.132964	0.299652	0.484231
a71	0.102147	0.120673	0.234622	0.542559
a53	0.0647845	0.0809067	0.201503	0.652805
a76	0.0713808	0.0782375	0.200987	0.649395
a73	0.0472184	0.0566857	0.192829	0.703267
a41	0.0341883	0.0474149	0.170724	0.747673
a94	0.0750097	0.0707852	0.183858	0.670347
a38	0.0391303	0.0529654	0.171655	0.736249
a53	0.0454798	0.0514405	0.173838	0.729241
a94	0.0465256	0.0524127	0.16652	0.734542
a90	0.0375021	0.0359429	0.162848	0.763707
a4	0.0340399	0.0341072	0.148332	0.783521
a13	0.0524896	0.043946	0.166062	0.737502
a9	0.0550307	0.0488328	0.188212	0.707924
a87	0.0504887	0.0575879	0.227801	0.664122
</S>	0.0896519	0.0795479	0.224518	0.606282
