 	j'	ai	des	pal	pitations	au	coeur	</S>
a66	0.17733	0.200916	0.261874	0.213247	0.0786465	0.038688	0.0171029	0.0121944
a87	0.384536	0.230842	0.137635	0.114671	0.0756974	0.0338714	0.0131616	0.00958525
a23	0.375366	0.29635	0.15903	0.104882	0.0287258	0.0144601	0.0103726	0.0108141
a99	0.461566	0.281609	0.0987352	0.0672236	0.0232319	0.0177219	0.0208401	0.0290721
a53	0.323475	0.254603	0.139129	0.116636	0.0465005	0.035619	0.0366566	0.0473817
a90	0.336023	0.208617	0.125544	0.0985619	0.0958607	0.0632373	0.0394141	0.0327418
a93	0.244973	0.209593	0.150213	0.119023	0.11772	0.0807476	0.0456537	0.0320772
a4	0.161948	0.184462	0.153995	0.113014	0.138277	0.111074	0.0767231	0.0605063
a13	0.170877	0.1845	0.165069	0.144751	0.1048	0.0966662	0.0717012	0.0616357
a38	0.1279	0.174137	0.193714	0.169582	0.0973887	0.0876201	0.0721312	0.0775271
a21	0.0926281	0.138438	0.186977	0.174981	0.0980333	0.0990037	0.0949122	0.115027
a56	0.0522251	0.0719972	0.128594	0.181165	0.163893	0.153161	0.127203	0.121763
a96	0.0424762	0.0625776	0.142082	0.195057	0.171915	0.159696	0.118711	0.107484
a56	0.0442741	0.0580431	0.135537	0.204804	0.170072	0.148474	0.117563	0.121233
a44	0.0180872	0.0254723	0.0758976	0.140442	0.171453	0.218092	0.17994	0.170616
a56	0.0147232	0.0171669	0.0450133	0.092075	0.138456	0.23454	0.221978	0.236048
a93	0.00584391	0.00626751	0.0176161	0.0509122	0.12406	0.262479	0.260076	0.272746
a56	0.00761109	0.0069166	0.0141068	0.0330885	0.0705078	0.202179	0.289364	0.376227
a34	0.00380843	0.00318105	0.00617657	0.0154327	0.0423555	0.165348	0.298096	0.465603
a61	0.00102774	0.000858447	0.00172184	0.00558074	0.0243149	0.130816	0.295792	0.539888
a21	0.00089711	0.000652936	0.00108766	0.00277816	0.0113406	0.0802425	0.259927	0.643074
a75	0.000635502	0.000477848	0.000664451	0.00117503	0.00732566	0.0589834	0.236637	0.694101
a47	0.000391915	0.000277125	0.00044395	0.000715058	0.00652678	0.0570168	0.23212	0.702508
a36	0.00011189	7.90288e-05	0.000131682	0.000242537	0.00470792	0.0521815	0.233866	0.70868
a2	0.00379377	0.00201478	0.00214778	0.00223561	0.0214579	0.11774	0.293761	0.55685
a57	0.119403	0.0543924	0.0396371	0.0288671	0.0672911	0.139013	0.217351	0.334045
a87	0.269525	0.115848	0.0771272	0.0683546	0.062356	0.100611	0.131344	0.174833
a23	0.303041	0.122038	0.0811343	0.0959459	0.090458	0.106865	0.0965521	0.103967
a87	0.111606	0.061176	0.0467271	0.0461531	0.0758204	0.124079	0.208939	0.3255
</S>	0.0167578	0.00841322	0.0073762	0.00789056	0.0252154	0.0781954	0.237348	0.618804
