 	ouvre	la	maison	pour	que	j'	entre	</S>
a66	0.26362	0.157035	0.114752	0.13753	0.142113	0.096441	0.0525951	0.0359147
a87	0.169586	0.128941	0.158106	0.153633	0.136194	0.100836	0.0828589	0.0698443
a23	0.334256	0.220336	0.172219	0.0936382	0.0601245	0.0450954	0.0391076	0.0352237
a97	0.309168	0.222036	0.217779	0.094646	0.0523033	0.0357303	0.0330729	0.0352655
a87	0.286695	0.205645	0.207228	0.10653	0.0671726	0.0463862	0.0408308	0.0395119
a23	0.310329	0.205622	0.195767	0.103831	0.0653129	0.0431262	0.0401863	0.0358251
a4	0.336782	0.188382	0.147041	0.0931303	0.0684303	0.0549083	0.0491048	0.0622215
a96	0.386003	0.267321	0.145284	0.081017	0.0484042	0.032637	0.0211628	0.018171
a98	0.267442	0.237705	0.186094	0.113567	0.0692519	0.0549316	0.0346346	0.0363731
a92	0.20725	0.224792	0.186873	0.126474	0.0890609	0.0745826	0.0468439	0.0441231
a37	0.131464	0.175002	0.183883	0.144204	0.108191	0.101636	0.0773113	0.078309
a21	0.0762248	0.121436	0.172759	0.141273	0.118951	0.120052	0.110847	0.138458
a47	0.0473323	0.0751352	0.125818	0.145239	0.149071	0.154696	0.139634	0.163075
a34	0.0354969	0.0536298	0.0899594	0.124299	0.148543	0.158614	0.173561	0.215897
a98	0.0124995	0.0191319	0.0358966	0.0713769	0.132068	0.20274	0.243113	0.283173
a85	0.00818839	0.0124497	0.0222467	0.0474984	0.099882	0.176445	0.269041	0.36425
a92	0.00690418	0.0099009	0.0156129	0.0381954	0.0816097	0.160202	0.274313	0.413262
a37	0.00489016	0.00563076	0.00800934	0.0217264	0.0594514	0.13933	0.285421	0.475541
a61	0.00601525	0.00614835	0.00670136	0.01374	0.0321085	0.0885448	0.275274	0.571468
a66	0.00475267	0.00486535	0.00575253	0.0110361	0.0249997	0.0711473	0.269141	0.608306
a13	0.010548	0.00911122	0.00947753	0.016968	0.0327745	0.0722074	0.237787	0.611127
a93	0.0209914	0.0187329	0.0166864	0.0223448	0.0353937	0.064549	0.207186	0.614116
a4	0.00914956	0.00710728	0.00725878	0.0143723	0.0304143	0.0683449	0.236551	0.626802
a58	0.00948251	0.00739383	0.00752638	0.0156748	0.034248	0.0780234	0.261746	0.585906
a82	0.036544	0.0307813	0.0266952	0.0335915	0.051581	0.0871893	0.214229	0.519389
a87	0.17984	0.11678	0.0957919	0.0817573	0.0782472	0.08756	0.140547	0.219477
a3	0.200733	0.155201	0.125067	0.110223	0.100276	0.0917647	0.107528	0.109207
a99	0.131714	0.096568	0.0758711	0.0705218	0.0829982	0.116399	0.193287	0.232642
a87	0.077306	0.0605161	0.0610065	0.0670084	0.0887436	0.142365	0.219668	0.283387
a23	0.0894847	0.0745292	0.0757207	0.079412	0.0975638	0.130937	0.194034	0.258318
a87	0.0585141	0.0489933	0.0522907	0.0617493	0.081136	0.133834	0.241522	0.32196
</S>	0.0705131	0.0485983	0.0479805	0.0673246	0.0912015	0.140524	0.221295	0.312563
