 	il	a	cassé	sa	bride	</S>
a10	0.160724	0.219631	0.223285	0.154596	0.141896	0.0998679
a30	0.156712	0.137215	0.152483	0.164074	0.231867	0.157649
a53	0.205878	0.189894	0.16955	0.164035	0.142741	0.127903
a15	0.28051	0.240787	0.18395	0.130512	0.0914748	0.0727668
a73	0.312333	0.31192	0.234065	0.091145	0.0312255	0.0193106
a44	0.308292	0.35541	0.246474	0.0629715	0.0161663	0.0106862
a11	0.293005	0.301146	0.240434	0.0981908	0.0365416	0.0306822
a88	0.247805	0.25219	0.229565	0.14759	0.06991	0.05294
a9	0.148437	0.17636	0.233426	0.230863	0.131468	0.0794455
a11	0.112278	0.128805	0.163162	0.226338	0.209613	0.159803
a21	0.0733662	0.091162	0.142397	0.232637	0.248885	0.211553
a56	0.0544967	0.0711059	0.122691	0.265309	0.279481	0.206916
a75	0.0322623	0.0419242	0.078792	0.171531	0.321511	0.35398
a41	0.0234483	0.0339308	0.0718076	0.132778	0.306376	0.431659
a43	0.0107889	0.0137381	0.0287423	0.0674716	0.293019	0.58624
a11	0.00558715	0.00693979	0.0180865	0.0450203	0.2596	0.664767
a0	0.00424094	0.00609914	0.0171624	0.045981	0.274088	0.652428
a11	0.00797101	0.0117312	0.0226001	0.0516495	0.283035	0.623013
a66	0.0143163	0.0201952	0.0326064	0.0741413	0.293492	0.565249
a54	0.0456453	0.0472009	0.0612363	0.099081	0.29275	0.454086
a73	0.00721528	0.0110367	0.0260427	0.0525286	0.277115	0.626062
a2	0.00544864	0.00899573	0.0244013	0.0463229	0.258179	0.656652
a10	0.00963693	0.0129203	0.0263115	0.0548802	0.265479	0.630772
</S>	0.0197843	0.0216479	0.0354794	0.0603533	0.276663	0.586072
