 	les	poules	se	battaient	à	coups	de	bec	</S>
a23	0.558742	0.181871	0.0537067	0.035787	0.024878	0.0206218	0.0291448	0.049731	0.0455184
a87	0.41955	0.155651	0.0668057	0.0416658	0.0500521	0.0532195	0.0598516	0.0680937	0.0851106
a23	0.232109	0.138882	0.0633126	0.0399444	0.0612933	0.0820958	0.102956	0.109974	0.169434
a87	0.109643	0.0602374	0.0270351	0.0176519	0.0363829	0.0595308	0.104126	0.234495	0.350897
a23	0.110588	0.0833262	0.048631	0.0372565	0.0488923	0.0670465	0.0938724	0.193468	0.316919
a40	0.0595881	0.0437628	0.0306665	0.0272587	0.0432955	0.0486418	0.0819646	0.293409	0.371413
a27	0.449722	0.249427	0.100165	0.069457	0.042077	0.0287309	0.0188162	0.0250538	0.0165514
a11	0.326054	0.305503	0.181746	0.0912776	0.0492534	0.0217314	0.00908097	0.00877047	0.00658258
a76	0.23554	0.2699	0.211467	0.118992	0.0783548	0.0389569	0.0167019	0.0154113	0.0146765
a32	0.183321	0.234877	0.198993	0.123955	0.120413	0.0668702	0.0284107	0.0219577	0.021201
a76	0.169248	0.234604	0.209727	0.146277	0.113704	0.0622895	0.0271376	0.0194886	0.0175238
a94	0.131442	0.207226	0.192172	0.149024	0.137809	0.0865677	0.0418285	0.0279312	0.0259983
a58	0.0856919	0.15952	0.209655	0.176424	0.162928	0.100813	0.0441013	0.0305225	0.0303453
a20	0.056434	0.105949	0.199031	0.187566	0.176091	0.123626	0.0598674	0.0416446	0.049791
a73	0.0664427	0.101773	0.163564	0.150961	0.171294	0.121662	0.0684007	0.0749249	0.0809772
a94	0.0421824	0.0660098	0.135663	0.143098	0.212859	0.172441	0.0955305	0.0695967	0.0626196
a58	0.0458505	0.0652242	0.118782	0.133151	0.19208	0.171637	0.107252	0.0828593	0.0831651
a94	0.0385872	0.0450214	0.072191	0.0826095	0.133819	0.167985	0.151699	0.148763	0.159325
a90	0.0324711	0.0311109	0.0459329	0.0594076	0.101468	0.140984	0.164181	0.208604	0.215841
a94	0.0289918	0.0296183	0.0428136	0.0569685	0.0868806	0.112459	0.155321	0.230066	0.256881
a75	0.0152479	0.0124604	0.0210833	0.0295237	0.0494279	0.0697199	0.127353	0.298881	0.376303
a41	0.0134469	0.0117275	0.0232035	0.0343283	0.0545714	0.0790662	0.159674	0.289302	0.33468
a94	0.00712945	0.00697895	0.0184261	0.0308088	0.0527966	0.0845471	0.178386	0.312717	0.30821
a24	0.0081608	0.00629122	0.014326	0.0207349	0.0370736	0.051162	0.107315	0.332112	0.422824
a32	0.00365206	0.00218492	0.00531632	0.00833785	0.0150369	0.027888	0.0867084	0.311826	0.53905
a25	0.00313415	0.00200387	0.00580029	0.00918101	0.0172761	0.0301013	0.0875569	0.311492	0.533454
a38	0.00197775	0.00140559	0.00432286	0.00717002	0.0141499	0.0260995	0.0897388	0.283322	0.571813
a90	0.00184808	0.00101752	0.00303035	0.0051113	0.0110638	0.0251094	0.082446	0.263069	0.607305
a4	0.0020344	0.00139214	0.00292575	0.00430038	0.00717247	0.015572	0.0653538	0.277885	0.623365
a90	0.00193726	0.00110617	0.00209754	0.00316901	0.00626684	0.0152857	0.0637164	0.275457	0.630965
a94	0.00340592	0.00203909	0.00306768	0.00425388	0.00675494	0.0124952	0.0499281	0.269397	0.648658
a93	0.00205152	0.000984634	0.0017527	0.00277775	0.00557524	0.0154139	0.0695114	0.247017	0.654916
a53	0.00605973	0.00376362	0.00528716	0.00627961	0.0118579	0.0219642	0.0675304	0.261139	0.616118
a69	0.0034183	0.00172155	0.00245788	0.00335719	0.006606	0.0148314	0.0592542	0.261459	0.646895
a58	0.00188571	0.000990842	0.00163023	0.00244987	0.00517686	0.0118823	0.0518105	0.259587	0.664586
a82	0.00232996	0.00137943	0.00271281	0.00441015	0.0116202	0.024293	0.0774916	0.251153	0.62461
a87	0.00231468	0.00134842	0.00242285	0.00584296	0.0215158	0.0640972	0.141098	0.239551	0.521809
</S>	0.00438193	0.00376628	0.00366187	0.0041067	0.012578	0.0437932	0.121483	0.257994	0.548235
