 	redresse-toi	tu	es	bossu	</S>
a23	0.321567	0.249803	0.149767	0.142643	0.136221
a87	0.199341	0.161451	0.188293	0.214341	0.236575
a23	0.301876	0.213532	0.129818	0.152301	0.202473
a10	0.350151	0.243474	0.143552	0.126882	0.135941
a61	0.509732	0.281341	0.10691	0.052115	0.0499016
a41	0.645751	0.25474	0.0707494	0.0169057	0.0118539
a35	0.58304	0.28965	0.0841471	0.0257161	0.0174477
a54	0.567727	0.295362	0.0940908	0.0268962	0.0159241
a14	0.445165	0.289098	0.15426	0.068685	0.0427921
a35	0.451221	0.271852	0.146846	0.0754487	0.0546322
a38	0.340253	0.282061	0.185306	0.108969	0.0834105
a25	0.222496	0.251578	0.234184	0.16196	0.129782
a76	0.132029	0.206979	0.260077	0.221123	0.179792
a90	0.122302	0.184683	0.245028	0.240735	0.207251
a4	0.0867534	0.129283	0.189438	0.299931	0.294594
a57	0.0602821	0.102327	0.168904	0.307011	0.361476
a3	0.0079442	0.0204508	0.0874394	0.364315	0.51985
a87	0.00535344	0.011694	0.0486423	0.30225	0.63206
a23	0.0188779	0.0339016	0.0924994	0.290695	0.564026
a13	0.0390309	0.0562563	0.111904	0.292501	0.500308
a44	0.0329885	0.0622269	0.120589	0.288548	0.495648
a13	0.0382629	0.0661776	0.150912	0.301753	0.442894
a38	0.0144072	0.0311502	0.107791	0.33589	0.510762
a61	0.00908692	0.0208181	0.0765985	0.288474	0.605022
a21	0.00911429	0.0191609	0.0662633	0.273723	0.631738
a41	0.0122049	0.0212169	0.0606553	0.245941	0.659982
a56	0.00714868	0.0149178	0.0453337	0.207071	0.725528
a98	0.00846137	0.0173618	0.0607611	0.224681	0.688735
a53	0.00862419	0.0169443	0.0604864	0.228597	0.685349
a94	0.00652133	0.0133353	0.0558236	0.23349	0.69083
a34	0.0130325	0.0257418	0.0785349	0.253745	0.628946
a94	0.012104	0.0225947	0.0742613	0.240878	0.650162
a66	0.0263157	0.0434094	0.0964075	0.263649	0.570218
a25	0.0283443	0.0455969	0.0832597	0.266723	0.576076
a87	0.0370216	0.0454867	0.0621558	0.23172	0.623616
</S>	0.0860931	0.074043	0.0647094	0.191879	0.583276
