 	depuis	qu'	il	est	blessé	il	boite	</S>
a85	0.407051	0.139556	0.102831	0.099332	0.0937619	0.062567	0.0562763	0.0386249
a87	0.294892	0.158304	0.0902526	0.106506	0.100474	0.0821817	0.0880002	0.0793906
a23	0.157444	0.184051	0.138596	0.137704	0.102444	0.0750558	0.100106	0.104598
a90	0.255446	0.170219	0.0858976	0.0757469	0.0542094	0.060682	0.124639	0.173161
a41	0.569595	0.15713	0.0696318	0.0571662	0.0410267	0.0314002	0.038036	0.0360134
a12	0.395367	0.216708	0.110534	0.0921385	0.0658545	0.0366675	0.0415102	0.0412204
a18	0.457561	0.270921	0.118909	0.0703206	0.037696	0.0156124	0.0143327	0.0146476
a53	0.233612	0.257278	0.1831	0.121906	0.0837126	0.0399064	0.0398979	0.0405862
a20	0.109064	0.180026	0.201309	0.160356	0.127228	0.067436	0.0742836	0.0802974
a94	0.125719	0.189452	0.175606	0.142464	0.11926	0.0746751	0.0795725	0.093251
a32	0.117198	0.183625	0.190229	0.157668	0.131871	0.0732342	0.0688601	0.0773151
a62	0.111919	0.168212	0.195673	0.179424	0.160223	0.0754342	0.0528957	0.0562205
a47	0.0786112	0.113593	0.152148	0.179541	0.205615	0.128833	0.0787387	0.0629189
a24	0.0786138	0.0977983	0.149653	0.201488	0.225773	0.116747	0.0662762	0.0636516
a41	0.0762981	0.0797723	0.107574	0.161367	0.22548	0.156496	0.100413	0.0926008
a90	0.0689134	0.0685819	0.0929649	0.148858	0.23226	0.16444	0.099519	0.124463
a15	0.0412263	0.0371422	0.0602375	0.11004	0.217004	0.208621	0.154854	0.170876
a20	0.0241224	0.0193435	0.0342212	0.0751384	0.182611	0.253813	0.187874	0.222876
a84	0.0277293	0.0191524	0.0302112	0.057779	0.132895	0.218765	0.210803	0.302666
a82	0.0116177	0.0116923	0.0158956	0.0256039	0.0605615	0.15856	0.226586	0.489483
a57	0.00810919	0.00981199	0.0175183	0.0375802	0.0857914	0.18708	0.240161	0.413948
a87	0.0116224	0.0105642	0.0152309	0.0340278	0.0683715	0.172059	0.268674	0.41945
a23	0.0170185	0.0129898	0.0189307	0.0389529	0.0560796	0.182703	0.313778	0.359548
a40	0.0147611	0.016131	0.0236501	0.0655055	0.102057	0.229964	0.268301	0.279632
a20	0.0539536	0.0289112	0.0358714	0.0526031	0.0802257	0.142145	0.216431	0.389859
a79	0.040133	0.0398747	0.0593056	0.0710916	0.100825	0.165557	0.237743	0.28547
a44	0.021964	0.0227164	0.0335981	0.0520523	0.0901676	0.173901	0.263614	0.341987
a62	0.0228389	0.0213455	0.0277235	0.0423307	0.0756427	0.158935	0.257691	0.393493
a96	0.0250272	0.0221247	0.0250812	0.03596	0.0654423	0.147649	0.247631	0.431085
a98	0.0243337	0.0211873	0.024286	0.0341841	0.0591065	0.123557	0.222258	0.491087
a73	0.00764987	0.00639872	0.00866875	0.0153218	0.0356032	0.124223	0.258983	0.543152
a44	0.00252558	0.00235915	0.00388612	0.00824418	0.0236048	0.0997649	0.234903	0.624713
a11	0.00461789	0.00410441	0.0057867	0.0102605	0.0240065	0.0960717	0.229365	0.625787
a90	0.00350827	0.00315824	0.00446766	0.00809013	0.0179388	0.0774425	0.192709	0.692685
a94	0.0126262	0.00950224	0.0109867	0.0161064	0.0287051	0.0985468	0.219237	0.604289
a41	0.0069153	0.00530611	0.00577266	0.00993483	0.0179019	0.066053	0.174972	0.713144
a12	0.00243614	0.00210972	0.00236866	0.00479842	0.0129318	0.073534	0.210527	0.691294
a18	0.00643048	0.00499821	0.00543444	0.00917726	0.0182033	0.0779038	0.195055	0.682797
a53	0.00432104	0.00414953	0.00527047	0.0101242	0.020073	0.0824928	0.202439	0.67113
a4	0.011158	0.00769686	0.00699485	0.0117987	0.0211248	0.0825512	0.200923	0.657753
a57	0.0126532	0.00817871	0.00675904	0.011203	0.0189189	0.0731894	0.183749	0.685349
a3	0.00387913	0.0032638	0.0039192	0.00895266	0.0191361	0.0884093	0.222949	0.649491
a87	0.00430449	0.00309685	0.00374014	0.00804611	0.0154102	0.0715698	0.207328	0.686504
</S>	0.0103078	0.00699842	0.00785543	0.0181927	0.0386776	0.122779	0.244689	0.5505
