 	les	chefs	traditionnels	de	boundji	sont	en	train	de	chanter	l'	hymne	à	la	sagesse	traditionnnelle	</S>
a66	0.0208825	0.0178449	0.0291446	0.0523206	0.084308	0.0906595	0.122015	0.115189	0.141343	0.120579	0.123225	0.0526584	0.0175425	0.00740084	0.00269729	0.00119289	0.000996463
a82	0.0702218	0.0510086	0.0554679	0.0621104	0.0588795	0.0661517	0.0749224	0.084024	0.0951842	0.100394	0.109573	0.0733371	0.0420468	0.022636	0.011919	0.0106587	0.0114643
a97	0.0410556	0.0149284	0.0217601	0.0293597	0.0331842	0.0300653	0.0375944	0.0587018	0.099184	0.175832	0.185467	0.152297	0.061521	0.0292627	0.0175225	0.006579	0.00568506
a99	0.0915014	0.0350976	0.0502641	0.0555336	0.0589148	0.0452413	0.0410267	0.0525436	0.0801104	0.131865	0.140052	0.105773	0.043938	0.0278156	0.0243405	0.0090708	0.00691238
a97	0.0934408	0.0358902	0.0589848	0.0681157	0.0627985	0.0463513	0.0446314	0.0557619	0.0727681	0.11246	0.114949	0.100963	0.0536796	0.0375389	0.0293893	0.00787171	0.00440522
a87	0.06195	0.0320925	0.0493238	0.05988	0.0545657	0.042746	0.0425942	0.0593658	0.0787083	0.128623	0.135359	0.126996	0.058526	0.0344716	0.0233844	0.007221	0.00419278
a23	0.0499618	0.0304888	0.0415673	0.049719	0.0442827	0.0382661	0.0450558	0.0641253	0.0845417	0.13307	0.140829	0.141097	0.0667948	0.0347422	0.0223329	0.0081795	0.00494589
a99	0.0366301	0.0283155	0.0352055	0.0570661	0.056125	0.0484704	0.0643778	0.0851212	0.0911488	0.142667	0.135345	0.123691	0.0531902	0.0232751	0.0103498	0.00534782	0.00367359
a40	0.0441064	0.0393668	0.0359225	0.0522513	0.0601038	0.0632879	0.0793031	0.0933057	0.0940598	0.116214	0.0994034	0.096661	0.0678711	0.038183	0.0124817	0.0049574	0.00252143
a79	0.144135	0.0745566	0.0388135	0.0418608	0.0432992	0.0425719	0.0552902	0.049863	0.0669166	0.096204	0.0927589	0.0802914	0.0790782	0.0662029	0.0208853	0.00473174	0.00254099
a44	0.23699	0.103246	0.0503178	0.0483557	0.0487104	0.0461366	0.0480439	0.037607	0.0470536	0.061802	0.0545142	0.0458142	0.0492803	0.0562291	0.0415843	0.018503	0.00581162
a75	0.153493	0.0861878	0.0499158	0.0465991	0.0431509	0.0418665	0.041612	0.0334478	0.03957	0.0498241	0.0425734	0.0389383	0.0472832	0.0746829	0.0985299	0.0835219	0.0288036
a92	0.109478	0.0900319	0.0655989	0.0685079	0.0617416	0.0668793	0.0631564	0.0420053	0.0414702	0.0443541	0.0412329	0.034593	0.0336361	0.0448666	0.0701158	0.0883658	0.0339664
a85	0.0980732	0.0945969	0.0781327	0.0708114	0.0651335	0.0714734	0.0584754	0.035645	0.0326773	0.0313056	0.028983	0.0244502	0.025369	0.0380534	0.0720728	0.118905	0.0558423
a47	0.104145	0.1245	0.0985415	0.0609389	0.0471481	0.052316	0.0409806	0.0223771	0.0204774	0.0186455	0.0171567	0.0154746	0.019673	0.0367443	0.0846497	0.152483	0.0837485
a37	0.0918083	0.154603	0.145983	0.0818704	0.0693215	0.0688696	0.0397761	0.0230568	0.021553	0.0211838	0.0192716	0.0187967	0.0215912	0.0317303	0.0568126	0.08323	0.0505412
a56	0.0482188	0.0809053	0.0998371	0.0639912	0.0575584	0.059672	0.0366101	0.0223146	0.0200088	0.017363	0.0157937	0.0131218	0.0130926	0.0212697	0.0653393	0.205269	0.159634
a34	0.0453976	0.0692845	0.103589	0.072359	0.0616084	0.0698711	0.0495787	0.0297483	0.0271225	0.021109	0.0192908	0.015237	0.0149544	0.0203662	0.050752	0.169233	0.160499
a96	0.0351991	0.0541322	0.0840479	0.0629596	0.0511807	0.0649073	0.0536561	0.0342427	0.0304732	0.0218357	0.0183036	0.0158924	0.0176244	0.0232176	0.0525084	0.170797	0.209022
a90	0.0331819	0.0538222	0.0698112	0.0550405	0.0417085	0.0588139	0.0563713	0.0399929	0.0333362	0.0227674	0.0171561	0.0178947	0.0219806	0.0259059	0.0510396	0.153766	0.247411
a98	0.0197949	0.0324808	0.043392	0.034709	0.0287755	0.0412318	0.044045	0.0332041	0.0291118	0.0211002	0.0159931	0.0190586	0.0260608	0.0321228	0.063667	0.207083	0.30817
a85	0.023643	0.0486985	0.0712735	0.0570473	0.0396247	0.053592	0.0495688	0.0372459	0.0288495	0.0244401	0.0160655	0.0196551	0.0252166	0.0309055	0.0566099	0.139732	0.277832
a6	0.0170409	0.030867	0.0391694	0.0303927	0.0206658	0.0275807	0.0287835	0.0222231	0.0197662	0.0185409	0.0118849	0.0147959	0.0202326	0.0252054	0.0452158	0.152668	0.474967
a0	0.0277835	0.0435175	0.0615853	0.0512444	0.038232	0.0507159	0.0503039	0.0344473	0.0217147	0.0169511	0.0111092	0.0175987	0.0320506	0.0399999	0.0653912	0.132987	0.304368
a75	0.0172693	0.0232479	0.0211925	0.0112295	0.00633111	0.00885003	0.0108182	0.00939977	0.00718899	0.00580223	0.00369572	0.00751352	0.0250068	0.0444155	0.0797934	0.189094	0.529151
a47	0.00757433	0.0119076	0.0132265	0.00701228	0.00345448	0.00455852	0.00520265	0.00435466	0.0031728	0.00318304	0.00218753	0.00597794	0.0238556	0.0415389	0.0802637	0.18624	0.59629
a88	0.00390783	0.00624192	0.00698536	0.00425678	0.00247185	0.00332728	0.0040682	0.00362125	0.00273065	0.00236691	0.0014769	0.00345927	0.0167371	0.0310421	0.0688852	0.187915	0.650506
a75	0.00109189	0.00178938	0.00181091	0.00130911	0.000724223	0.00111143	0.00198564	0.00252642	0.00197252	0.00210886	0.00156159	0.00327206	0.0135367	0.0204315	0.0559917	0.183654	0.705122
a6	0.000546628	0.000917476	0.00123891	0.000768433	0.00042493	0.000614642	0.00097918	0.00107447	0.00103228	0.0010861	0.000788643	0.00210144	0.00924926	0.0172733	0.0481047	0.168187	0.745612
a7	0.00107035	0.0016332	0.00186694	0.00110204	0.000529917	0.000891799	0.00160269	0.00200957	0.00205927	0.00245001	0.00172176	0.00453008	0.0208544	0.0312898	0.0613218	0.166454	0.698612
a26	0.00100523	0.00131697	0.00147958	0.00161327	0.00130155	0.00212411	0.00405005	0.00694322	0.00502435	0.0051176	0.00343864	0.00617928	0.0207045	0.0312697	0.0584331	0.146821	0.703178
a82	0.0479552	0.0447863	0.0292067	0.0398017	0.0304878	0.0348229	0.0367116	0.0472029	0.0435322	0.0636636	0.0530402	0.0451043	0.0477418	0.0336829	0.0257674	0.0467343	0.329758
a87	0.0868763	0.0443149	0.042315	0.0602428	0.0534244	0.0517092	0.0527191	0.0735004	0.0771539	0.0908065	0.0788886	0.0570092	0.0676723	0.0419375	0.0246201	0.0239061	0.0729037
a23	0.0500765	0.0236978	0.0313732	0.0487588	0.044594	0.0516181	0.0653416	0.106098	0.107704	0.113007	0.0944756	0.0688083	0.0749975	0.046974	0.0284326	0.0205978	0.0234461
a99	0.025084	0.00839824	0.00637685	0.00696142	0.00520788	0.00596609	0.00813367	0.0122013	0.0133617	0.0149493	0.01252	0.0161352	0.0540042	0.0955958	0.152757	0.257363	0.304984
a97	0.0144024	0.00554538	0.00624472	0.00922423	0.00803467	0.00898252	0.0106393	0.0145848	0.0181805	0.0277753	0.026225	0.0328178	0.0562893	0.0785868	0.110004	0.200646	0.371818
</S>	0.00723824	0.00414353	0.00495238	0.00561689	0.00404546	0.00403755	0.00420251	0.00580169	0.00710463	0.0118853	0.0123214	0.0161041	0.0287586	0.0480257	0.103151	0.278378	0.454233
