 	le	ruisseau	vouma	me	fait	peur	car	il	est	plein	de	fougue	</S>
a30	0.215628	0.127189	0.0929853	0.109667	0.100665	0.106551	0.0948864	0.0544433	0.0350124	0.0215694	0.0158986	0.0137015	0.0118026
a10	0.229408	0.0898365	0.0680298	0.0555345	0.0614942	0.0581132	0.0508235	0.0276959	0.0273099	0.04363	0.0873606	0.0985836	0.10218
a87	0.16829	0.0948888	0.080082	0.0901837	0.0913376	0.0808397	0.0534598	0.0321872	0.0276956	0.031657	0.0520729	0.083138	0.114168
a30	0.273774	0.132925	0.0915523	0.0950421	0.0778557	0.0578798	0.0344104	0.0215328	0.0212567	0.0270893	0.0427461	0.0581521	0.0657829
a83	0.26734	0.12953	0.0893101	0.0801404	0.055178	0.0363414	0.0286177	0.020805	0.0233523	0.032242	0.0559633	0.0823324	0.0988472
a93	0.153713	0.132832	0.0936168	0.0862633	0.0647891	0.0447767	0.0386186	0.0300358	0.0326597	0.0413278	0.0722857	0.0966489	0.112433
a98	0.300332	0.290309	0.130342	0.0752878	0.0348935	0.0196107	0.016659	0.0121617	0.0112985	0.0132071	0.0251902	0.0305574	0.0401517
a85	0.261933	0.251669	0.136735	0.0976008	0.0585475	0.0428096	0.0326213	0.0207884	0.014744	0.0141998	0.0205687	0.0227263	0.0250556
a47	0.291363	0.251351	0.133659	0.0989788	0.0625747	0.0503223	0.0343645	0.0220756	0.0130609	0.00957738	0.0101695	0.0105888	0.0119139
a26	0.176766	0.199517	0.174887	0.153131	0.105471	0.0758651	0.038072	0.0171185	0.0108302	0.00903828	0.0109266	0.0127164	0.0156606
a57	0.121684	0.141022	0.153981	0.156807	0.134075	0.09368	0.0493985	0.0277288	0.0226409	0.0207388	0.0243178	0.0259873	0.0279398
a75	0.0475694	0.0551233	0.0866899	0.108121	0.141889	0.138185	0.104909	0.0558908	0.0464494	0.0417571	0.0467408	0.0571464	0.0695282
a5	0.0893233	0.102159	0.134064	0.146687	0.1302	0.126969	0.0798677	0.0553961	0.0350083	0.0235334	0.0208522	0.02445	0.0314899
a12	0.084885	0.0954832	0.142459	0.159637	0.133435	0.124485	0.081454	0.060892	0.038281	0.0238735	0.0162715	0.0175387	0.0213056
a96	0.0509934	0.0583263	0.107595	0.139254	0.139419	0.157271	0.109173	0.0834765	0.0531376	0.0329391	0.0206277	0.0221362	0.0256515
a75	0.0245378	0.0276785	0.0640995	0.106304	0.13171	0.177689	0.134195	0.107766	0.0721753	0.0466784	0.0310168	0.0346822	0.0414675
a79	0.0339809	0.03585	0.0546869	0.0879421	0.113215	0.144977	0.106454	0.103739	0.0861744	0.0702857	0.0474684	0.0502739	0.0649529
a44	0.021945	0.0241138	0.0400789	0.0700555	0.106614	0.165776	0.120771	0.114052	0.0923922	0.0729856	0.0479659	0.0542634	0.0689873
a90	0.0145475	0.0142948	0.0224192	0.03861	0.0731316	0.141199	0.135964	0.130671	0.105121	0.080631	0.0602179	0.0744998	0.108693
a25	0.0173738	0.0183254	0.0233614	0.0344872	0.0613035	0.122542	0.119369	0.128913	0.112959	0.093859	0.068488	0.0797096	0.11931
