 	le	ballon	rebondit	</S>
a38	0.32927	0.203231	0.177677	0.289822
a43	0.294546	0.264104	0.186086	0.255264
a47	0.54794	0.306318	0.0870811	0.0586606
a21	0.545813	0.341108	0.0729658	0.0401134
a12	0.47607	0.364354	0.103874	0.0557016
a47	0.290107	0.262652	0.207415	0.239825
a88	0.230176	0.203985	0.244513	0.321326
a47	0.0839365	0.0982983	0.208464	0.609302
a83	0.0766638	0.076208	0.178572	0.668556
a75	0.0324253	0.0411102	0.130726	0.795738
a6	0.0247281	0.0220481	0.112229	0.840995
a36	0.0115204	0.0111276	0.079797	0.897555
a57	0.0349057	0.0278001	0.0638778	0.873416
a87	0.162356	0.103965	0.156985	0.576694
a23	0.315422	0.181616	0.186817	0.316145
a99	0.190328	0.121349	0.194326	0.493997
a87	0.130696	0.0847282	0.194624	0.589951
a10	0.116331	0.109439	0.238063	0.536167
</S>	0.211142	0.148984	0.215413	0.424461
