 	les	clefs	sont	accrochées	sur	la	porte	de	la	maison	</S>
a66	0.175183	0.301084	0.278857	0.131138	0.0567553	0.0258127	0.0128652	0.00648579	0.00455419	0.00379369	0.00347094
a87	0.458463	0.195666	0.125244	0.0623187	0.0354643	0.0237985	0.0181409	0.0140439	0.0202153	0.0242222	0.0224228
a23	0.299812	0.17797	0.170317	0.099851	0.0500606	0.0313755	0.0231891	0.0205045	0.0301006	0.0436511	0.0531687
a40	0.167754	0.0869402	0.0811835	0.0851449	0.0910368	0.0989498	0.0713833	0.0579739	0.0719502	0.0861279	0.101555
a36	0.298807	0.20401	0.186441	0.0980356	0.0473747	0.0332547	0.0379291	0.0275678	0.0245062	0.0207612	0.0213128
a0	0.240566	0.278346	0.25382	0.138855	0.0402806	0.0157121	0.00764428	0.00550272	0.0065342	0.00593619	0.00680311
a56	0.288706	0.21084	0.208439	0.13782	0.0562056	0.0330518	0.0188399	0.011809	0.0127297	0.0107049	0.0108538
a75	0.241842	0.175622	0.203051	0.152718	0.0764889	0.0529087	0.0291357	0.0173576	0.0182508	0.0157483	0.0168767
a85	0.189364	0.172261	0.207877	0.151865	0.0923557	0.0650073	0.0412658	0.0247689	0.0203558	0.01667	0.0182106
a6	0.167949	0.168618	0.175958	0.127351	0.0843698	0.0641431	0.0505476	0.039894	0.0360831	0.037029	0.0480576
a5	0.172876	0.141496	0.169007	0.14742	0.110996	0.083431	0.0540097	0.0344311	0.028114	0.0264536	0.0317665
a36	0.162205	0.170797	0.160618	0.146568	0.116158	0.0885901	0.0538916	0.0324249	0.0233045	0.0211861	0.0242566
a26	0.0706204	0.117432	0.136126	0.139302	0.152583	0.125642	0.0822699	0.0531498	0.0405981	0.0370861	0.0451909
a98	0.0275328	0.0503896	0.0662982	0.0707927	0.146476	0.181568	0.127153	0.0818167	0.0707641	0.0773954	0.099814
a85	0.0219218	0.0484198	0.0790636	0.0785728	0.10741	0.115681	0.116711	0.120463	0.10012	0.0967791	0.114857
a5	0.0181543	0.0537589	0.088514	0.0914283	0.130052	0.138773	0.129076	0.113701	0.0829671	0.0745951	0.0789793
a21	0.0255788	0.0640577	0.0762373	0.0711685	0.107132	0.115474	0.11412	0.121831	0.101344	0.0966051	0.106452
a92	0.00826151	0.0234563	0.0297797	0.024965	0.050474	0.0750864	0.107222	0.167988	0.161018	0.169271	0.182478
a37	0.00344013	0.00962727	0.0155191	0.0140188	0.0318744	0.0589122	0.113507	0.19055	0.186677	0.18697	0.188904
a26	0.00240591	0.00581314	0.0114215	0.0120469	0.0256575	0.0504412	0.113984	0.197488	0.189197	0.194113	0.197432
a90	0.000720783	0.00106817	0.00255477	0.00402041	0.00979156	0.0183688	0.0557064	0.12301	0.168981	0.262076	0.353702
a92	0.00075214	0.00186909	0.00368512	0.00373418	0.00798158	0.0164752	0.0490318	0.12638	0.189128	0.26119	0.339772
a37	0.000224481	0.000599391	0.00114289	0.00117177	0.00308656	0.00734797	0.0284619	0.105073	0.178683	0.267307	0.406903
a47	0.000234508	0.000521231	0.00127421	0.00150976	0.00397101	0.00784545	0.0302026	0.094544	0.165116	0.268201	0.42658
a88	0.000243838	0.000612746	0.00150007	0.0017594	0.00478036	0.00992892	0.0353942	0.0978216	0.165019	0.268041	0.414898
a71	0.000178274	0.000430717	0.00119822	0.0016355	0.00419098	0.00836698	0.0292993	0.0891538	0.162582	0.285673	0.417292
a9	0.00209075	0.00241941	0.0040138	0.00430964	0.0139093	0.0306504	0.0855502	0.131315	0.160797	0.209013	0.355931
a97	0.0609315	0.058051	0.0698869	0.0525352	0.0774501	0.0798738	0.111249	0.107091	0.110091	0.117175	0.155665
a87	0.102785	0.0790715	0.094141	0.0716431	0.0900436	0.0747093	0.0786239	0.0844561	0.0983822	0.106617	0.119527
a23	0.0600771	0.0393737	0.047694	0.0394752	0.0599157	0.058928	0.0712803	0.0999203	0.140278	0.177612	0.205445
a99	0.0162717	0.00879998	0.00940831	0.0059421	0.0077131	0.00949831	0.0225253	0.065834	0.157175	0.267934	0.428898
a97	0.00730287	0.00375696	0.00516257	0.00436138	0.00915174	0.0132274	0.028837	0.0725378	0.153292	0.266113	0.436258
</S>	0.00422612	0.00294409	0.00536857	0.00553521	0.0130331	0.0185573	0.0323028	0.0706381	0.148607	0.266909	0.43188
