 	la	houe	de	maman	est	perdue	</S>
a66	0.421317	0.192638	0.114915	0.10404	0.0810753	0.0480947	0.0379202
a87	0.584906	0.211438	0.0817212	0.0383302	0.0292796	0.0244149	0.0299099
a97	0.493241	0.238692	0.111525	0.0443403	0.0324735	0.0361289	0.0435993
a79	0.302543	0.253669	0.182966	0.0825864	0.0566851	0.066663	0.0548872
a53	0.564582	0.204523	0.0925465	0.0411953	0.0252754	0.0326067	0.0392713
a44	0.440486	0.192328	0.144501	0.111721	0.053232	0.0310518	0.0266797
a25	0.342663	0.290728	0.189522	0.100529	0.0372547	0.022609	0.0166942
a79	0.249827	0.260741	0.214987	0.147055	0.0631043	0.0379674	0.0263172
a90	0.155213	0.193558	0.202244	0.198371	0.114746	0.0735888	0.0622784
a15	0.11656	0.20737	0.219372	0.197217	0.119508	0.0769119	0.0630601
a79	0.0822371	0.141667	0.198841	0.223252	0.152789	0.102568	0.0986467
a94	0.057776	0.0943667	0.154187	0.216187	0.186019	0.149409	0.142055
a75	0.0507974	0.0631883	0.14156	0.212306	0.201836	0.174508	0.155804
a5	0.0272477	0.0372202	0.0980456	0.172542	0.200126	0.226124	0.238695
a37	0.0187025	0.0242808	0.0672854	0.138955	0.214128	0.264564	0.272085
a18	0.0133653	0.0151299	0.0450508	0.11688	0.225871	0.300535	0.283167
a12	0.00546681	0.00614851	0.0194642	0.0601204	0.183774	0.371842	0.353183
a96	0.00261713	0.00346606	0.011843	0.037176	0.132667	0.359946	0.452285
a18	0.00183565	0.00236897	0.00707412	0.0220068	0.0998923	0.367965	0.498857
a26	0.00143564	0.00122726	0.00342294	0.0110697	0.0594982	0.312357	0.61099
a57	0.00456317	0.0031847	0.00577528	0.0145843	0.0592094	0.264521	0.648163
a3	0.0433731	0.0286412	0.0338126	0.0431237	0.0794306	0.224228	0.54739
a97	0.162807	0.0957911	0.0799596	0.0677536	0.0969616	0.182342	0.314385
a87	0.194725	0.127792	0.0986268	0.0844863	0.102903	0.167813	0.223654
a97	0.148655	0.114416	0.103755	0.095653	0.120359	0.194584	0.222578
a87	0.0693201	0.067168	0.077207	0.0938121	0.15129	0.235008	0.306194
</S>	0.103792	0.105898	0.103107	0.111807	0.143977	0.185539	0.24588
