 	sa	co-épouse	la	traitait	tout	le	temps	de	stérile	</S>
a87	0.198483	0.124269	0.110981	0.120255	0.160405	0.0902359	0.087005	0.0543689	0.0333097	0.0206869
a10	0.116827	0.0498847	0.0549752	0.0756358	0.106799	0.103115	0.12064	0.118387	0.133006	0.120729
a30	0.242797	0.0914805	0.102907	0.0873273	0.0812161	0.0553252	0.0662471	0.0666242	0.0803061	0.12577
a10	0.174727	0.0888492	0.0923663	0.084159	0.0859959	0.0680694	0.0764484	0.0893691	0.104745	0.135271
a87	0.224794	0.127715	0.106115	0.0668681	0.0664385	0.0576461	0.0691576	0.0816016	0.0925832	0.107081
a23	0.348708	0.165252	0.0834483	0.0392842	0.0430822	0.0412632	0.0544486	0.0635946	0.0741224	0.0867964
a83	0.185374	0.12302	0.0807458	0.0524576	0.0614359	0.0683432	0.100976	0.117673	0.108522	0.101453
a98	0.365188	0.249575	0.139124	0.057343	0.0332261	0.0196087	0.024642	0.0276134	0.0323727	0.0513061
a47	0.376709	0.246252	0.122918	0.0700312	0.053048	0.0272102	0.0304355	0.0246337	0.021388	0.0273732
a41	0.352816	0.29214	0.138585	0.0594557	0.0392326	0.0214801	0.0249698	0.021775	0.0201853	0.0293606
a61	0.257125	0.241572	0.183981	0.111609	0.0753966	0.0357332	0.0340464	0.0225424	0.0172112	0.0207832
a75	0.2427	0.220955	0.221064	0.124245	0.0793692	0.0347433	0.028695	0.0175877	0.0140385	0.0166025
a85	0.190732	0.194942	0.207835	0.144301	0.103778	0.05113	0.0399803	0.023468	0.0194648	0.0243686
a41	0.134299	0.157345	0.213018	0.163865	0.119171	0.062129	0.0498445	0.0320878	0.0286301	0.0396107
a27	0.106597	0.119287	0.206494	0.185031	0.140623	0.0729914	0.0617567	0.0377447	0.0301349	0.0393408
a25	0.0459126	0.0687162	0.17782	0.224299	0.175568	0.0828295	0.0717592	0.0475285	0.0462848	0.0592825
a75	0.0311111	0.0372928	0.0989791	0.167285	0.16354	0.132697	0.103458	0.0789599	0.0755925	0.111085
a5	0.0533928	0.0587246	0.115261	0.166198	0.148648	0.107877	0.0801234	0.0688529	0.0772632	0.123659
a44	0.0901343	0.0927652	0.121254	0.175202	0.15911	0.0894707	0.0764862	0.0601897	0.0582147	0.0771728
a93	0.0392662	0.0451471	0.0724009	0.175126	0.193352	0.119013	0.109493	0.0808434	0.0724555	0.0929034
a13	0.0375591	0.0443093	0.0732747	0.180649	0.207554	0.1321	0.111295	0.0750422	0.0610976	0.0771192
a38	0.0168143	0.0193628	0.037312	0.135822	0.18778	0.172542	0.15136	0.103663	0.0807622	0.0945821
a21	0.0214851	0.0222742	0.0386101	0.11774	0.16389	0.169939	0.143059	0.113359	0.0955	0.114144
a47	0.0713849	0.0726108	0.0749686	0.146607	0.174633	0.120053	0.0988793	0.0767048	0.0766354	0.0875231
a62	0.0331203	0.0346482	0.0595961	0.138787	0.174251	0.139674	0.118651	0.0910913	0.0926723	0.11751
a47	0.0188886	0.0191264	0.0363824	0.0876045	0.124414	0.154193	0.14204	0.135927	0.134992	0.146433
a62	0.0117782	0.0127122	0.0281167	0.0875479	0.128084	0.163845	0.149421	0.139099	0.134648	0.144746
a83	0.0260917	0.0239491	0.0381017	0.0892418	0.121807	0.143907	0.128003	0.130699	0.14673	0.151468
a24	0.00831534	0.00829424	0.0175053	0.0497436	0.0732195	0.119161	0.105055	0.131542	0.206062	0.281102
a31	0.00443094	0.00435964	0.00782014	0.0285662	0.0494848	0.0942418	0.0882606	0.134162	0.248215	0.340459
a24	0.00425237	0.00413564	0.00785241	0.0251823	0.0415454	0.0811966	0.0734392	0.114376	0.239741	0.408279
a0	0.00178546	0.00157242	0.0027347	0.0115631	0.0229831	0.0619609	0.059474	0.111734	0.27014	0.456052
