 	la	femme	balaye	autour	de	la	case	</S>
a23	0.322742	0.111787	0.0957355	0.130877	0.0983559	0.0712514	0.0859395	0.0833124
a4	0.227009	0.140858	0.165991	0.177924	0.0969484	0.0564976	0.0634996	0.0712727
a98	0.283104	0.165287	0.161448	0.184143	0.0899542	0.0378176	0.0384376	0.0398079
a94	0.452529	0.169662	0.129937	0.135876	0.0595055	0.022118	0.015905	0.0144667
a90	0.344067	0.194836	0.168843	0.159426	0.062008	0.0282957	0.0215997	0.0209249
a44	0.23857	0.20819	0.179883	0.152665	0.0686757	0.0508309	0.0479658	0.0532195
a15	0.23701	0.207443	0.175189	0.147329	0.0658009	0.0514882	0.0528062	0.0629344
a73	0.188116	0.173145	0.180291	0.164642	0.0863103	0.0671073	0.0662117	0.0741761
a69	0.166526	0.148517	0.173377	0.172899	0.10203	0.0829387	0.0756239	0.0780881
a76	0.12366	0.122945	0.152059	0.160088	0.10219	0.105685	0.107746	0.125629
a94	0.0960354	0.0798671	0.112718	0.146344	0.143038	0.161402	0.138221	0.122374
a98	0.0946678	0.0768525	0.105215	0.144825	0.14669	0.145598	0.135512	0.15064
a71	0.104457	0.0803746	0.111683	0.138238	0.143877	0.152521	0.130899	0.137951
a9	0.0667335	0.0626994	0.091179	0.122662	0.151153	0.163315	0.15705	0.185208
a38	0.0396828	0.0542865	0.0920027	0.122895	0.14871	0.180475	0.1633	0.198648
a25	0.0400149	0.049014	0.0736051	0.0965428	0.132783	0.184787	0.192117	0.231137
a98	0.0304782	0.0393242	0.063241	0.0795116	0.109844	0.177725	0.224669	0.275207
a73	0.0432696	0.042228	0.0617136	0.072538	0.102901	0.162191	0.221962	0.293197
a94	0.0265327	0.0303895	0.0519079	0.0546599	0.0786339	0.148659	0.238799	0.370419
a62	0.024931	0.0236352	0.033392	0.034814	0.0537956	0.136709	0.259831	0.432892
a56	0.025939	0.0231969	0.0301113	0.0289053	0.0445949	0.116016	0.257176	0.47406
a98	0.0254979	0.0239081	0.0276743	0.0249523	0.0346679	0.0880113	0.238069	0.537219
a25	0.0205927	0.0184393	0.0199277	0.0204851	0.0307873	0.090062	0.259799	0.539907
a87	0.00825477	0.00995271	0.0139608	0.0144243	0.0244856	0.0776051	0.256419	0.594898
</S>	0.00494092	0.00346299	0.0058788	0.00939298	0.0257664	0.0864993	0.260389	0.603669
