 	il	fait	une	boucle	avec	la	corde	</S>
a23	0.453661	0.266573	0.100935	0.0482238	0.0274406	0.0255762	0.033018	0.0445724
a85	0.427672	0.275952	0.133754	0.0411164	0.0310635	0.0257387	0.0254517	0.0392525
a87	0.312217	0.268744	0.157948	0.0588187	0.0320747	0.0301365	0.0407969	0.0992648
a23	0.336001	0.295487	0.192124	0.0578852	0.0246896	0.019403	0.0225855	0.0518247
a13	0.228784	0.141796	0.0900254	0.0362095	0.0257139	0.0363204	0.0968753	0.344276
a20	0.32524	0.239042	0.140381	0.082185	0.0384571	0.0335471	0.0468207	0.0943278
a30	0.310773	0.256664	0.183492	0.112789	0.0489709	0.0349922	0.0253639	0.0269555
a2	0.235686	0.225529	0.219213	0.180244	0.0803545	0.0338929	0.0130868	0.0119943
a40	0.0890386	0.0892021	0.118767	0.20799	0.205034	0.144417	0.0713553	0.0741951
a26	0.151832	0.150717	0.157245	0.195383	0.153136	0.0985342	0.0482092	0.0449434
a27	0.148273	0.15019	0.175752	0.221658	0.153989	0.0855357	0.0345639	0.0300383
a75	0.139639	0.154414	0.177254	0.219341	0.15431	0.0851437	0.0349618	0.0349356
a41	0.137092	0.149563	0.156529	0.195699	0.151843	0.103471	0.0576749	0.0481281
a61	0.129188	0.160562	0.175463	0.201003	0.134983	0.0946228	0.0557144	0.0484643
a26	0.0634172	0.0846503	0.128691	0.20602	0.192925	0.159173	0.087284	0.0778392
a43	0.0453091	0.061232	0.0990053	0.187674	0.198931	0.185705	0.108218	0.113925
a0	0.0429546	0.0557649	0.0850279	0.175317	0.192096	0.193197	0.125919	0.129724
a62	0.0457557	0.0550859	0.0727338	0.136743	0.143977	0.185196	0.18464	0.175867
a12	0.0186802	0.0188269	0.0223767	0.0508073	0.0840665	0.178472	0.285091	0.34168
a98	0.0111139	0.0107053	0.0121426	0.0292885	0.0587818	0.153191	0.311564	0.413213
a75	0.024177	0.0224128	0.0220507	0.0424551	0.071514	0.157124	0.267586	0.39268
a41	0.011377	0.0109319	0.0135655	0.0355606	0.0751505	0.17931	0.307814	0.36629
a26	0.0225338	0.0196184	0.0211547	0.045754	0.0782786	0.153452	0.289144	0.370064
a90	0.00332146	0.00281435	0.00304396	0.00820385	0.0175983	0.0495187	0.202567	0.712932
a76	0.00690148	0.00632014	0.00809241	0.019071	0.0436047	0.115191	0.274247	0.526573
a25	0.0087318	0.00771793	0.0103277	0.0216365	0.0428667	0.103109	0.275134	0.530477
a56	0.00676075	0.00548312	0.00759867	0.0196727	0.0388345	0.0908078	0.264586	0.566257
a90	0.00510614	0.00406635	0.00573147	0.0166357	0.0414975	0.113913	0.268497	0.544554
a13	0.0115703	0.00753825	0.00716408	0.0167409	0.0401444	0.107248	0.27762	0.531974
a9	0.00848977	0.0043137	0.00358888	0.00652646	0.0244028	0.0828952	0.275978	0.593806
a87	0.00675618	0.00356711	0.00268071	0.00538117	0.0227361	0.0828773	0.267473	0.608528
</S>	0.0282559	0.0232579	0.0201885	0.0281495	0.0360308	0.0803609	0.224707	0.559049
