 	les	boules	de	manioc	qu'	on	m'	a	envoyées	ont	moisi	</S>
a23	0.270043	0.194102	0.0882378	0.0794214	0.0736437	0.0736872	0.0627717	0.0429492	0.038648	0.0319098	0.0231013	0.0214844
a87	0.223004	0.127949	0.136926	0.115811	0.105103	0.0772478	0.0513713	0.0257967	0.0267696	0.0335966	0.0313411	0.0450843
a23	0.0862327	0.0480999	0.076186	0.0793919	0.0789542	0.0798873	0.0758452	0.0624052	0.0727759	0.0824964	0.100425	0.157301
a50	0.142159	0.110905	0.114159	0.106312	0.0976109	0.0726277	0.0477685	0.0365737	0.0458078	0.0516775	0.0662621	0.108137
a96	0.230602	0.250891	0.187625	0.108787	0.0748771	0.0513461	0.0416234	0.0221078	0.0136989	0.00870529	0.00433335	0.00540315
a66	0.363348	0.234243	0.127884	0.0848976	0.0640084	0.04474	0.0342269	0.0183725	0.0116191	0.00707018	0.00472487	0.00486473
a75	0.257503	0.185218	0.120372	0.11166	0.0973661	0.0723983	0.0509244	0.0309154	0.0230077	0.0151323	0.0177048	0.0177976
a5	0.169486	0.194277	0.152796	0.133975	0.109906	0.0818566	0.0630949	0.0350794	0.0211612	0.0133661	0.011393	0.0136091
a61	0.13559	0.169566	0.158336	0.164585	0.142739	0.100523	0.0606185	0.0266968	0.0143347	0.00921022	0.00885223	0.00894766
a0	0.112625	0.140048	0.143084	0.162709	0.157711	0.124297	0.082517	0.0333091	0.0158298	0.00988242	0.00948945	0.00849776
a61	0.0647264	0.082232	0.102433	0.149789	0.173735	0.1709	0.130212	0.0578988	0.0255563	0.0154517	0.0145057	0.0125599
a96	0.056688	0.0790121	0.0957702	0.123382	0.136672	0.146377	0.14733	0.102	0.0484775	0.0257294	0.0218436	0.0167182
a44	0.0579634	0.0727975	0.0722875	0.110259	0.132376	0.159939	0.15565	0.109625	0.0496917	0.0297892	0.0266927	0.0229287
a98	0.0550233	0.0685561	0.0620055	0.094296	0.119242	0.156339	0.16139	0.127629	0.0607254	0.0367969	0.0310023	0.0269944
a47	0.0341307	0.0551189	0.0564947	0.0958298	0.104143	0.127466	0.130249	0.12618	0.0801485	0.0640547	0.0687129	0.0574705
a61	0.0243744	0.0361313	0.0355329	0.0710621	0.081931	0.118497	0.125852	0.145043	0.0961196	0.0800616	0.0990762	0.0863196
a31	0.0290372	0.0360668	0.030415	0.0411157	0.0514861	0.078501	0.107704	0.161755	0.165236	0.133465	0.0937788	0.0714395
a61	0.0138041	0.0173125	0.0187874	0.0277751	0.0337295	0.0514959	0.0696607	0.126823	0.170851	0.174221	0.16603	0.12951
a62	0.00836851	0.0119959	0.0118156	0.018176	0.0201432	0.0280162	0.0413619	0.0940393	0.15422	0.210192	0.226209	0.175462
a88	0.00363918	0.00509916	0.00494918	0.00702169	0.00866526	0.0123579	0.0190019	0.0474916	0.1092	0.18525	0.335088	0.262236
a66	0.0044937	0.0068709	0.0065086	0.0106411	0.0109326	0.0142081	0.0182217	0.0330767	0.0833011	0.186738	0.316576	0.308432
a90	0.00126489	0.0022758	0.00285591	0.00441693	0.00420367	0.00518089	0.00700772	0.0149343	0.0510097	0.133635	0.304117	0.469099
a44	0.000581976	0.00108979	0.00179109	0.00313764	0.00367387	0.00491984	0.00704125	0.0150758	0.049258	0.153934	0.304979	0.454518
a94	0.000446226	0.000721704	0.00139474	0.00235388	0.00276677	0.00367189	0.00507722	0.0118034	0.0369824	0.114511	0.313347	0.506923
a58	0.000801616	0.000886411	0.00163934	0.00251277	0.00275842	0.00362143	0.00507171	0.0124751	0.0301404	0.0982206	0.333646	0.508226
a82	0.00892008	0.00445117	0.00984871	0.0149016	0.0117568	0.0110774	0.00947364	0.0174711	0.0239888	0.0848725	0.325173	0.478065
a10	0.0403718	0.0220026	0.0322281	0.0259892	0.0193258	0.0144213	0.0119286	0.0148136	0.0219515	0.0680752	0.272726	0.456166
a87	0.131257	0.0788472	0.0673389	0.0550872	0.0489943	0.0383157	0.0310251	0.0290753	0.0422875	0.0857543	0.173729	0.218288
a23	0.188832	0.0888561	0.0887847	0.0736764	0.0650508	0.0545759	0.0439006	0.0380204	0.0469746	0.0733817	0.10663	0.131317
a87	0.0372785	0.012495	0.00895275	0.00942536	0.0101733	0.0125308	0.0187862	0.0339508	0.0716211	0.155507	0.280984	0.348295
</S>	0.00747173	0.00392048	0.00361885	0.00441878	0.00598032	0.00941697	0.0156334	0.0300671	0.0636638	0.132324	0.270433	0.453052
