 	le	football	que	j'	ai	joué	hier	a	réactivé	ma	maladie	</S>
a66	0.0716275	0.0514664	0.124418	0.150497	0.244874	0.188286	0.0703957	0.0497091	0.0256331	0.00839902	0.00711345	0.00758052
a87	0.258879	0.215336	0.226233	0.13124	0.106895	0.0274825	0.00668207	0.00598567	0.00482382	0.00378312	0.00538171	0.00727763
a23	0.239187	0.224501	0.246013	0.137991	0.0736391	0.0382548	0.0129858	0.00868324	0.00456346	0.0034429	0.00452743	0.00621135
a50	0.213226	0.350844	0.208081	0.110216	0.0418498	0.0146477	0.00907793	0.00737444	0.00562828	0.00563383	0.0111606	0.022261
a83	0.208465	0.303627	0.218769	0.126695	0.0683123	0.0254817	0.00611161	0.00393716	0.00410282	0.00654185	0.0108911	0.0170662
a75	0.248704	0.318517	0.204368	0.0927963	0.0739135	0.0328119	0.00701955	0.00457924	0.00376676	0.0032159	0.00424485	0.00606228
a5	0.219367	0.247929	0.177885	0.113383	0.102422	0.0654245	0.0146609	0.00970828	0.00891362	0.00896846	0.0134114	0.0179264
a12	0.165885	0.271909	0.180989	0.154565	0.113009	0.0681806	0.0149135	0.00819305	0.00623302	0.00390121	0.00481949	0.00740212
a61	0.198862	0.278791	0.127158	0.14294	0.112128	0.0758248	0.022576	0.0134547	0.00929879	0.00536306	0.00566451	0.00793969
a21	0.156066	0.206671	0.118523	0.162789	0.148171	0.111068	0.0370363	0.0225902	0.0141307	0.00764718	0.00703407	0.00827444
a12	0.0986517	0.132403	0.111411	0.166494	0.165899	0.132046	0.0715092	0.0501947	0.0304658	0.0137814	0.012251	0.0148933
a21	0.0548977	0.0662126	0.103287	0.175771	0.181877	0.154028	0.0945679	0.0716901	0.0425362	0.0196251	0.0167562	0.0187506
a85	0.0382489	0.0492716	0.100302	0.163426	0.179473	0.154212	0.113833	0.0933243	0.0522954	0.0204015	0.0165324	0.0186785
a47	0.0152254	0.0274729	0.059473	0.0862481	0.099433	0.112037	0.171697	0.165045	0.115387	0.0553988	0.0442931	0.0482888
a36	0.0144253	0.0148069	0.0559798	0.0823303	0.12281	0.141325	0.165981	0.15279	0.0930543	0.0442416	0.0473514	0.0649053
a2	0.012164	0.0121511	0.047122	0.0813114	0.139153	0.219509	0.185357	0.115162	0.0635589	0.0347996	0.0357443	0.0539679
a53	0.0240382	0.0282355	0.0596536	0.0983522	0.130961	0.201015	0.161095	0.0950544	0.0634609	0.0440464	0.0420703	0.052017
a15	0.020344	0.0153623	0.0317887	0.0526706	0.0756918	0.141507	0.145569	0.111129	0.0777019	0.0648494	0.0947265	0.16866
a47	0.0132651	0.0117733	0.0309843	0.0431737	0.0645241	0.164193	0.212145	0.13138	0.0728754	0.0562156	0.0717201	0.127751
a36	0.0127409	0.00916965	0.0232496	0.0304755	0.0563384	0.15593	0.225858	0.13779	0.0796296	0.0593591	0.077742	0.131717
a7	0.0317125	0.0292951	0.0519515	0.0558074	0.0705107	0.143471	0.203758	0.116048	0.0660076	0.0528413	0.0678166	0.11078
a84	0.0248406	0.0196712	0.0340939	0.0389896	0.0457321	0.0950204	0.160268	0.115534	0.0789737	0.0819168	0.113678	0.191282
a57	0.0348569	0.0400611	0.0657584	0.0703477	0.0807355	0.136543	0.191823	0.134291	0.0799436	0.0455792	0.0487394	0.0713201
a87	0.0545127	0.0584755	0.0915299	0.0725506	0.0703549	0.112135	0.158347	0.126677	0.0828584	0.0450293	0.0504924	0.077037
a23	0.121807	0.114041	0.117655	0.0860281	0.0772972	0.105729	0.0823905	0.0652963	0.0649834	0.0347145	0.047354	0.0827033
a62	0.0310438	0.0308286	0.0466394	0.0418923	0.0401358	0.0608898	0.110031	0.124228	0.142649	0.0907647	0.105942	0.174956
a34	0.00413985	0.00372159	0.0082951	0.0146102	0.0211615	0.0493615	0.0650136	0.0672779	0.0920453	0.103355	0.207436	0.363582
a21	0.00568707	0.00409398	0.00904547	0.0206605	0.0393811	0.0984941	0.116799	0.124873	0.125568	0.0844091	0.136798	0.23419
a5	0.00558689	0.00367183	0.00712821	0.0142301	0.0272634	0.0855425	0.121354	0.111865	0.101	0.0804759	0.148518	0.293363
a18	0.00323049	0.00227075	0.00414467	0.00956258	0.0193701	0.0679638	0.122651	0.116661	0.106835	0.0873383	0.154604	0.305368
a0	0.00432694	0.00260433	0.00600175	0.0104472	0.0163692	0.0435068	0.0694884	0.0661319	0.0842714	0.126516	0.219675	0.350661
a62	0.010418	0.00674095	0.0125817	0.0156212	0.0204229	0.0407125	0.0564179	0.0536441	0.0922801	0.169117	0.245982	0.276062
a34	0.00506176	0.00474116	0.00950838	0.0146563	0.0208007	0.0478447	0.0765658	0.0616898	0.0792624	0.132324	0.227371	0.320174
a75	0.00113352	0.000979411	0.00255019	0.00453776	0.00765878	0.0249204	0.0512222	0.0432218	0.0640263	0.122586	0.255609	0.421555
a92	0.000783439	0.000728213	0.00206392	0.00371101	0.00638403	0.0201487	0.0533879	0.0528215	0.0791935	0.138633	0.242534	0.399611
a37	0.00022204	0.000219835	0.00068752	0.00131671	0.00273691	0.0122435	0.0466801	0.0508588	0.0752033	0.133408	0.248671	0.427752
a93	0.000522906	0.000506977	0.00139683	0.00246998	0.00452572	0.0154601	0.0373243	0.0381607	0.0504799	0.109435	0.25198	0.487738
a13	0.000504369	0.000489521	0.00147659	0.00244916	0.00417092	0.0132189	0.0326612	0.0344949	0.0462269	0.108965	0.246481	0.508861
a93	0.000601029	0.000469781	0.00155588	0.00258946	0.00369975	0.00749257	0.0111159	0.0110448	0.0221534	0.0959925	0.284218	0.559068
a90	0.000245724	0.000178546	0.000806817	0.0015026	0.0023515	0.00534179	0.010355	0.0111251	0.0202563	0.0832522	0.26229	0.602294
a20	0.000107783	7.21881e-05	0.000322394	0.000594552	0.00117043	0.00391984	0.0156935	0.0186048	0.0294625	0.0920281	0.246105	0.591919
a7	0.000171635	0.000102016	0.000422834	0.000688582	0.00128726	0.00351307	0.0112247	0.0123957	0.0211823	0.08475	0.248263	0.615998
a84	0.000505858	0.000364776	0.000830677	0.000807099	0.00111111	0.00268461	0.00685352	0.00635844	0.0135594	0.0758281	0.281922	0.609174
a87	0.00919205	0.00740075	0.0132692	0.00981203	0.0103477	0.0194554	0.0252829	0.01805	0.03172	0.119737	0.31168	0.424053
a23	0.168072	0.0837874	0.116309	0.0521889	0.0329445	0.0319356	0.050403	0.050796	0.0650192	0.0936229	0.117678	0.137244
a87	0.0580617	0.0229597	0.023809	0.0127594	0.00934155	0.0147618	0.0446328	0.0633406	0.106929	0.147311	0.222259	0.273835
</S>	0.0238241	0.0107879	0.0190532	0.0092837	0.00705548	0.0123055	0.0302671	0.0387163	0.0534233	0.10147	0.22706	0.466754
