 	ton	couteau	est	très	tranchant	</S>
a66	0.354044	0.340607	0.199937	0.0808629	0.0170458	0.00750339
a87	0.419339	0.29479	0.185493	0.0628058	0.0200614	0.0175107
a23	0.637968	0.202125	0.0705931	0.0416338	0.0232753	0.0244043
a87	0.739128	0.146249	0.0401355	0.0182233	0.0165234	0.0397407
a99	0.654124	0.189528	0.0698846	0.0294963	0.021012	0.0359549
a38	0.613274	0.16463	0.0621896	0.0367595	0.0409688	0.0821791
a88	0.476426	0.211186	0.107386	0.0616448	0.0612067	0.0821514
a71	0.437566	0.282882	0.142242	0.070601	0.0391879	0.0275207
a54	0.352991	0.25148	0.174544	0.105139	0.0680017	0.0478447
a47	0.19964	0.176336	0.152669	0.167355	0.207392	0.096608
a6	0.128972	0.153159	0.173029	0.186969	0.240059	0.117811
a37	0.145458	0.141412	0.168983	0.193915	0.236659	0.113574
a92	0.220387	0.22552	0.213351	0.137833	0.130685	0.0722249
a37	0.120585	0.179106	0.207865	0.179479	0.207387	0.105577
a61	0.133038	0.209586	0.238712	0.16061	0.153993	0.104061
a18	0.0661094	0.123969	0.18015	0.222408	0.233595	0.173768
a38	0.0390218	0.041629	0.0658136	0.128145	0.310846	0.414545
a98	0.0320015	0.0297691	0.0494483	0.111519	0.288748	0.488514
a15	0.00575994	0.00784679	0.0115674	0.0443842	0.261124	0.669318
a79	0.00308178	0.00446229	0.00659168	0.0347584	0.264165	0.686941
a15	0.0030277	0.00500079	0.00794206	0.0410855	0.266315	0.676629
a79	0.00192749	0.00240848	0.00366822	0.0244372	0.215961	0.751598
a37	0.00452339	0.00595619	0.00841803	0.0419423	0.254009	0.685151
a88	0.00291971	0.00248054	0.00401478	0.0215284	0.159107	0.80995
a71	0.000921132	0.000746771	0.00182403	0.0120294	0.109835	0.874644
a9	0.00578948	0.00486844	0.0104155	0.0329178	0.158398	0.787611
a10	0.184213	0.0964199	0.103192	0.108315	0.171704	0.336156
a87	0.297845	0.200089	0.127673	0.0955565	0.109884	0.168952
a23	0.34803	0.272676	0.172892	0.0902637	0.0547994	0.061338
a87	0.282082	0.172098	0.0915782	0.0660074	0.104679	0.283555
</S>	0.0334739	0.017858	0.0156685	0.0467233	0.211449	0.674828
