 	la	pluie	a	abîmé	mes	chaussures	</S>
a23	0.281259	0.194371	0.154572	0.135125	0.119435	0.0704716	0.0447678
a38	0.362249	0.243068	0.136832	0.122306	0.0584477	0.0353449	0.0417519
a94	0.314878	0.228056	0.17049	0.152137	0.0650643	0.0363361	0.0330384
a76	0.503723	0.250103	0.138869	0.0846899	0.0153994	0.00419495	0.00302117
a30	0.49001	0.240306	0.142362	0.0852077	0.0275068	0.0093122	0.00529643
a35	0.326672	0.283616	0.205551	0.125038	0.0376082	0.0132843	0.00823128
a24	0.329479	0.296971	0.197296	0.116636	0.0370969	0.013184	0.00933672
a25	0.399917	0.290041	0.166115	0.0931567	0.0314886	0.0113106	0.00797137
a75	0.213651	0.248264	0.237744	0.176878	0.0714958	0.0268959	0.0250712
a35	0.197263	0.222006	0.194977	0.166302	0.11695	0.060557	0.0419455
a26	0.193222	0.238934	0.198839	0.172071	0.107287	0.05247	0.0371762
a43	0.141406	0.256833	0.248774	0.178081	0.109973	0.0406298	0.0243031
a75	0.102228	0.206124	0.238211	0.206917	0.146949	0.062073	0.037499
a35	0.0977904	0.150204	0.17074	0.184424	0.179294	0.118064	0.0994831
a14	0.100169	0.148453	0.16991	0.179324	0.193874	0.121984	0.0862851
a2	0.0997963	0.117358	0.133651	0.159191	0.215549	0.153703	0.120752
a38	0.0390305	0.0530947	0.0618631	0.0763335	0.144336	0.287897	0.337445
a14	0.0300597	0.0350223	0.0458726	0.0646839	0.130558	0.293735	0.400068
a2	0.0300996	0.039605	0.051826	0.0867888	0.22173	0.261462	0.308488
a54	0.0116569	0.0158542	0.0221063	0.0345669	0.120341	0.356542	0.438932
a73	0.0200668	0.0226371	0.0270822	0.0485802	0.106339	0.244529	0.530766
a57	0.0100762	0.0122361	0.0151173	0.0278744	0.0854011	0.275592	0.573703
a87	0.0175781	0.0192007	0.0206157	0.0323254	0.0997889	0.271899	0.538592
a23	0.0179849	0.0191976	0.0180114	0.0237065	0.111975	0.264775	0.544349
a87	0.0543667	0.0761136	0.0666013	0.0690246	0.16972	0.260802	0.303373
</S>	0.0161452	0.0286142	0.0299851	0.0326223	0.134147	0.231908	0.526578
