 	il	joue	auprès	de	sa	maman	</S>
a87	0.414451	0.147947	0.124288	0.06271	0.0706348	0.0777359	0.102234
a23	0.268384	0.137301	0.131109	0.126102	0.111027	0.105011	0.121064
a87	0.307186	0.120102	0.108613	0.123554	0.119941	0.108327	0.112277
a23	0.296116	0.137115	0.130233	0.117736	0.106583	0.100272	0.111944
a20	0.170617	0.11228	0.138899	0.190425	0.169674	0.109151	0.108954
a44	0.337581	0.245411	0.178355	0.100921	0.0574469	0.0410607	0.0392237
a20	0.36338	0.281469	0.186335	0.0802869	0.0395868	0.0278307	0.0211122
a73	0.275042	0.226897	0.18557	0.123461	0.0778249	0.0611788	0.0500267
a32	0.302038	0.221209	0.170854	0.105727	0.0748756	0.0655254	0.0597719
a54	0.28028	0.221501	0.144137	0.115178	0.0851365	0.0792482	0.0745188
a73	0.19384	0.135591	0.115568	0.132508	0.139752	0.142587	0.140154
a44	0.205768	0.161856	0.142682	0.14046	0.124704	0.115416	0.109115
a54	0.133061	0.120758	0.125452	0.149299	0.154244	0.158126	0.159062
a73	0.0821051	0.0802279	0.0927746	0.1299	0.171121	0.206001	0.237871
a84	0.0590787	0.0595398	0.0792394	0.133779	0.194299	0.226171	0.247892
a75	0.0156321	0.0187067	0.0232659	0.0628928	0.159231	0.290826	0.429446
a56	0.0229252	0.0292151	0.0404425	0.0786083	0.165093	0.275022	0.388693
a98	0.0184787	0.0225999	0.0316301	0.0679883	0.155613	0.295094	0.408596
a92	0.0171846	0.0220331	0.0319638	0.0594353	0.137349	0.290308	0.441727
a98	0.0161411	0.0202421	0.0295741	0.0632479	0.148768	0.30156	0.420468
a73	0.0128576	0.0169648	0.0257973	0.0530945	0.124978	0.289939	0.476368
a90	0.00990516	0.0147022	0.0208624	0.047692	0.116706	0.276978	0.513155
a53	0.0128317	0.0173585	0.0258037	0.0557289	0.118962	0.259946	0.50937
a4	0.0154695	0.0155279	0.0214413	0.0459205	0.106268	0.249265	0.546107
a57	0.01161	0.0106845	0.0150422	0.038657	0.09407	0.232198	0.597738
a82	0.00913472	0.00720669	0.00987968	0.0268349	0.0753289	0.206663	0.664952
a87	0.0148102	0.0126651	0.0148947	0.0401331	0.0976486	0.23485	0.584998
</S>	0.057154	0.0560796	0.0420179	0.0788864	0.126025	0.21624	0.423598
