 	un	enfant	doit	respecter	les	gens	</S>
a87	0.284739	0.193386	0.151131	0.146154	0.110951	0.0678243	0.0458145
a10	0.339049	0.18098	0.109567	0.0993787	0.102549	0.0821426	0.0863336
a38	0.338457	0.205736	0.155123	0.11354	0.0727353	0.0540994	0.0603099
a98	0.289798	0.199496	0.174317	0.0928921	0.0684	0.0735248	0.101571
a6	0.321993	0.24527	0.204128	0.0789494	0.0510514	0.0445254	0.054082
a85	0.305906	0.265603	0.246825	0.0770477	0.0367457	0.0303056	0.0375668
a27	0.341386	0.257595	0.195223	0.0957449	0.0467299	0.0330022	0.0303191
a75	0.155846	0.179511	0.230285	0.197433	0.104365	0.0687877	0.0637729
a85	0.18368	0.181274	0.193716	0.156247	0.101387	0.090841	0.0928555
a37	0.100784	0.125917	0.157426	0.191826	0.155472	0.141274	0.127301
a34	0.131983	0.165032	0.15295	0.205426	0.153106	0.106573	0.0849305
a75	0.0733303	0.10507	0.116986	0.221334	0.209124	0.157253	0.116902
a85	0.0524087	0.0678305	0.0671486	0.128923	0.200058	0.250519	0.233112
a44	0.0281107	0.0334236	0.0343537	0.0775529	0.163612	0.312041	0.350905
a98	0.0252444	0.0352249	0.0390955	0.0801638	0.151345	0.27959	0.389336
a85	0.0114616	0.0157333	0.017259	0.046853	0.115175	0.294811	0.498707
a61	0.008506	0.010666	0.0120083	0.0304638	0.0892569	0.29362	0.555479
a88	0.00745913	0.00946848	0.0102779	0.0416015	0.128965	0.298443	0.503786
a9	0.0032765	0.00384375	0.00405209	0.018729	0.0915022	0.284516	0.594081
a87	0.0139527	0.0158267	0.0139167	0.0326089	0.100121	0.261499	0.562075
a23	0.110735	0.0848278	0.053047	0.101354	0.186616	0.218179	0.245241
a87	0.0456849	0.0302557	0.0202927	0.0465491	0.123578	0.270694	0.462946
a23	0.01699	0.0147016	0.0113219	0.0458864	0.122505	0.265506	0.523089
a99	0.0230446	0.0204023	0.0139291	0.038321	0.0951309	0.248001	0.561171
a82	0.0965021	0.0642549	0.0321717	0.0502218	0.0874379	0.201843	0.467568
</S>	0.121507	0.075752	0.0382068	0.0510455	0.0879008	0.188873	0.436715
