 	cette	femme	élève	ses	enfants	par	ses	propres	moyens	</S>
a66	0.284503	0.223213	0.142647	0.0995903	0.0676773	0.0542203	0.053296	0.0454	0.0199666	0.00948638
a87	0.24121	0.216712	0.138305	0.103391	0.0691269	0.0636196	0.0692379	0.0624765	0.0269597	0.00896151
a23	0.302487	0.274717	0.181058	0.0941677	0.0523846	0.0397401	0.0286872	0.0193843	0.00476482	0.00260949
a99	0.375651	0.270754	0.125892	0.0665358	0.0479761	0.0386179	0.031215	0.027537	0.00991687	0.00590491
a83	0.299354	0.229998	0.127707	0.08475	0.0710414	0.0639456	0.0554314	0.0379372	0.0170143	0.0128209
a99	0.295226	0.230278	0.132837	0.097974	0.0809901	0.0556006	0.0432782	0.0301374	0.0172351	0.0164427
a30	0.206761	0.180328	0.14258	0.121948	0.107482	0.0799187	0.0697393	0.0506077	0.0231839	0.0174511
a53	0.125486	0.14491	0.145428	0.124875	0.113885	0.100746	0.0966463	0.0729153	0.0426332	0.0324755
a44	0.181991	0.166515	0.153361	0.131332	0.116858	0.0860513	0.0729262	0.0564828	0.0213228	0.0131607
a54	0.1189	0.117894	0.13018	0.132466	0.133876	0.111565	0.099566	0.0856103	0.0419062	0.0280365
a56	0.140016	0.145408	0.156366	0.133015	0.121152	0.0943368	0.0811659	0.0656327	0.0348395	0.0280673
a96	0.0895267	0.0887244	0.105592	0.111168	0.122875	0.116134	0.109395	0.110008	0.0771698	0.0694077
a79	0.0589687	0.0653537	0.0851485	0.101852	0.121194	0.124713	0.121015	0.139752	0.0980642	0.083939
a69	0.0958644	0.101544	0.112715	0.118813	0.135919	0.123307	0.108385	0.105976	0.0592198	0.0382579
a13	0.0744603	0.0864473	0.105411	0.12266	0.136686	0.133214	0.125207	0.116295	0.0653313	0.0342886
a54	0.0374062	0.0428341	0.0607106	0.081283	0.117614	0.128393	0.136481	0.156032	0.131592	0.107654
a7	0.0401757	0.0486791	0.070786	0.0916497	0.127814	0.138942	0.151371	0.153537	0.110752	0.0662926
a44	0.0286653	0.0318189	0.0434789	0.0621267	0.105109	0.125966	0.155349	0.177301	0.148687	0.121498
a4	0.0198628	0.022363	0.0310255	0.0493376	0.0913966	0.120359	0.155514	0.194559	0.185096	0.130487
a57	0.0139853	0.0146109	0.0189213	0.030334	0.0651086	0.0965633	0.141499	0.199195	0.218655	0.201128
a38	0.00922539	0.0102906	0.0137711	0.0215687	0.0511076	0.0807283	0.120217	0.167783	0.235211	0.290098
a26	0.00557504	0.00584978	0.00685363	0.0100616	0.023767	0.0495328	0.104088	0.164274	0.277795	0.352202
a20	0.00330644	0.00408762	0.00542851	0.00740849	0.0147903	0.0364303	0.0987295	0.164514	0.317993	0.347311
a4	0.00935912	0.00978518	0.0115478	0.014599	0.0253244	0.0435732	0.103693	0.131143	0.227653	0.423321
a44	0.003646	0.00366588	0.00381775	0.00503511	0.00910872	0.0211931	0.0679054	0.117464	0.28811	0.480054
a4	0.00260561	0.00275066	0.00312687	0.00452173	0.00929627	0.0220391	0.0691444	0.11866	0.295544	0.472312
a99	0.00192773	0.0022623	0.00280663	0.00441554	0.00936366	0.0216796	0.0643611	0.12247	0.285478	0.485236
a70	0.00130623	0.00151955	0.00185409	0.00280705	0.00608718	0.014247	0.0418469	0.0811536	0.275144	0.574034
a99	0.00109638	0.00127099	0.00143004	0.00175568	0.00313196	0.00718074	0.0214423	0.0486517	0.250325	0.663715
a9	0.00182827	0.00202325	0.00217748	0.00224386	0.00371068	0.00791976	0.0219863	0.0452917	0.268547	0.644272
a99	0.00850499	0.00787242	0.00699257	0.00522671	0.00719565	0.0121486	0.0239722	0.0418816	0.232848	0.653357
a97	0.0631756	0.0444972	0.0278841	0.01688	0.0188812	0.0255616	0.03809	0.0529574	0.177626	0.534447
a87	0.143249	0.094172	0.0570203	0.0335242	0.0325548	0.0414277	0.0553515	0.0729943	0.136686	0.333021
a23	0.180157	0.151719	0.124904	0.0676669	0.0523585	0.061388	0.0769307	0.0806045	0.083121	0.12115
a97	0.203075	0.136054	0.089736	0.0587969	0.0558831	0.0545183	0.0809814	0.092418	0.110105	0.118433
</S>	0.18071	0.130263	0.0876823	0.0542083	0.0614847	0.0683448	0.0919665	0.0883706	0.108581	0.128389
