 	va	chercher	les	allumettes	</S>
a23	0.595958	0.189764	0.0850128	0.068007	0.0612577
a38	0.378918	0.179015	0.131591	0.174407	0.136069
a11	0.467006	0.310689	0.132204	0.0530024	0.037098
a90	0.491184	0.305891	0.134241	0.0453161	0.0233688
a20	0.282436	0.282356	0.230339	0.128941	0.0759276
a41	0.347907	0.280571	0.199375	0.107286	0.0648605
a24	0.408885	0.284251	0.177982	0.0825901	0.0462912
a41	0.323546	0.291202	0.21953	0.106154	0.0595686
a35	0.225406	0.256705	0.267846	0.156339	0.0937045
a14	0.183283	0.24292	0.289673	0.184255	0.0998684
a94	0.131997	0.172643	0.289799	0.223527	0.182034
a4	0.0698418	0.104549	0.204832	0.344342	0.276435
a76	0.0573183	0.0778945	0.143816	0.352875	0.368096
a35	0.0432958	0.0664371	0.137851	0.320393	0.432023
a76	0.0323681	0.0445946	0.0931905	0.304609	0.525238
a94	0.0380307	0.0454701	0.0816672	0.253944	0.580888
a76	0.0301469	0.0362434	0.066402	0.246853	0.620355
a35	0.023368	0.0305493	0.0597778	0.21048	0.675825
a76	0.0388247	0.0430066	0.0725029	0.194604	0.651062
a69	0.0362688	0.0416149	0.0707853	0.210582	0.640749
a84	0.0374204	0.0370486	0.062262	0.219971	0.643298
a87	0.0219969	0.0252288	0.0561891	0.237546	0.659039
</S>	0.0520251	0.0436561	0.0780011	0.219093	0.607225
