 	il	n'	achète	pas	ça	</S>
a23	0.217843	0.168622	0.128033	0.133366	0.168991	0.183145
a87	0.287067	0.199461	0.172354	0.124253	0.110509	0.106356
a23	0.300625	0.218717	0.180779	0.116826	0.0959553	0.0870971
a20	0.234798	0.180131	0.162912	0.130246	0.158172	0.13374
a98	0.380155	0.264728	0.187851	0.0854304	0.0485894	0.0332466
a44	0.392771	0.318252	0.187626	0.0612541	0.0236206	0.0164769
a54	0.371648	0.320765	0.190075	0.0652319	0.0287365	0.0235433
a73	0.292799	0.290388	0.225923	0.0968084	0.0492078	0.0448749
a32	0.28154	0.253522	0.239499	0.116269	0.057031	0.0521387
a75	0.216281	0.227886	0.252571	0.145535	0.0834754	0.074252
a73	0.160325	0.190452	0.263852	0.187002	0.107365	0.091004
a35	0.114295	0.147753	0.256472	0.217724	0.138389	0.125366
a14	0.0810678	0.10648	0.213032	0.229698	0.184378	0.185344
a66	0.0678903	0.0960199	0.197496	0.231863	0.210298	0.196433
a9	0.0179471	0.0261347	0.0621349	0.115741	0.267855	0.510187
a0	0.00725068	0.0105359	0.030694	0.0856284	0.271286	0.594605
a26	0.00489494	0.0066238	0.0176983	0.0591936	0.263938	0.647651
a24	0.0040291	0.00591451	0.0183211	0.0689921	0.281874	0.620869
a41	0.0056548	0.00810016	0.0163217	0.0458972	0.262196	0.661831
a25	0.00446126	0.00714808	0.0158678	0.0518252	0.291404	0.629293
a87	0.00340962	0.0050838	0.0133486	0.0459498	0.241398	0.69081
</S>	0.00714973	0.0107434	0.0269418	0.0857308	0.279315	0.590119
