 	l'	éléphant	barrit	</S>
a23	0.695098	0.173668	0.0667399	0.0644944
a18	0.68105	0.230074	0.0524418	0.0364344
a83	0.427919	0.307188	0.124173	0.14072
a75	0.586067	0.292824	0.0702135	0.050895
a21	0.45152	0.403839	0.0974366	0.0472051
a75	0.496789	0.348491	0.109807	0.0449136
a85	0.329533	0.336931	0.208198	0.125338
a61	0.261492	0.281734	0.245065	0.211708
a62	0.203302	0.258687	0.276766	0.261244
a21	0.0785034	0.131308	0.3667	0.423489
a41	0.0629152	0.087429	0.295819	0.553837
a0	0.034663	0.0520049	0.196533	0.716799
a2	0.0552877	0.0786211	0.214069	0.652022
a57	0.0242007	0.0393871	0.134923	0.801489
a87	0.129935	0.101508	0.18507	0.583487
a23	0.476148	0.217516	0.127411	0.178925
a87	0.166842	0.120477	0.206107	0.506573
</S>	0.0238525	0.048227	0.293454	0.634466
