 	il	brûlait	de	partir	</S>
a85	0.371896	0.352796	0.139916	0.0857098	0.0496822
a87	0.340666	0.23878	0.17876	0.137334	0.10446
a23	0.449059	0.224734	0.134771	0.102643	0.0887924
a79	0.393642	0.316787	0.149433	0.087675	0.0524633
a20	0.577219	0.2541	0.0651611	0.0476206	0.0558993
a30	0.543181	0.270483	0.0971043	0.053982	0.0352492
a35	0.565392	0.347527	0.0538458	0.021653	0.0115819
a30	0.499974	0.342887	0.0915856	0.0420459	0.0235078
a73	0.442842	0.305188	0.12867	0.0714408	0.0518594
a44	0.382096	0.299749	0.148747	0.0957525	0.0736553
a35	0.354853	0.291996	0.158565	0.107208	0.0873788
a94	0.263475	0.259589	0.186165	0.147121	0.14365
a58	0.123989	0.203845	0.236037	0.233845	0.202283
a94	0.0580248	0.135794	0.221555	0.281327	0.3033
a35	0.0457412	0.101532	0.203579	0.294413	0.354735
a32	0.0241925	0.0533923	0.165835	0.300545	0.456035
a75	0.0179417	0.0273219	0.1049	0.2764	0.573436
a35	0.01213	0.0201009	0.0954071	0.262733	0.609629
a94	0.0116983	0.0152362	0.0756856	0.239542	0.657838
a58	0.0164212	0.0170942	0.0684935	0.222552	0.675439
a38	0.0210915	0.0230188	0.0662436	0.188442	0.701204
a54	0.0105305	0.0152762	0.0608872	0.188692	0.724614
a73	0.00365967	0.0088333	0.0601412	0.208897	0.718469
a84	0.00417848	0.0126071	0.0636274	0.214708	0.704879
a57	0.0187922	0.0234452	0.0657081	0.177685	0.71437
a87	0.021334	0.0263938	0.0834023	0.203181	0.665689
</S>	0.0266346	0.03492	0.11796	0.249711	0.570775
