 	comme	il	était	pressé	il	passa	avant	moi	</S>
a10	0.289229	0.14762	0.100081	0.0931488	0.0696215	0.0470116	0.0569728	0.0747533	0.121562
a87	0.244253	0.116986	0.122318	0.12128	0.0640805	0.0489898	0.0623033	0.0866444	0.133146
a40	0.27238	0.15638	0.123358	0.113974	0.0585665	0.0385568	0.0539525	0.0723018	0.110531
a30	0.318641	0.155493	0.100827	0.0677879	0.0588083	0.060013	0.0567874	0.0697863	0.111856
a14	0.50119	0.244254	0.113617	0.0460585	0.0289094	0.0200204	0.0152567	0.013331	0.0173633
a26	0.527001	0.227047	0.106335	0.0497484	0.0249339	0.0190445	0.0152769	0.0140284	0.0165849
a75	0.377398	0.255576	0.149507	0.0792452	0.0351103	0.0283973	0.0242857	0.0232255	0.0272551
a73	0.295389	0.261561	0.187589	0.108895	0.0449798	0.0317475	0.0248932	0.0214707	0.0234744
a76	0.167865	0.204687	0.202865	0.16923	0.0781811	0.057108	0.0447646	0.0370457	0.0382532
a41	0.107642	0.147502	0.17785	0.194023	0.109959	0.0863406	0.0674197	0.0538743	0.0553896
a35	0.105228	0.147434	0.176861	0.197254	0.100078	0.0864683	0.0746204	0.0560195	0.056036
a41	0.0792303	0.107167	0.152654	0.191899	0.113333	0.106462	0.0961923	0.0722104	0.0808511
a27	0.0948463	0.117152	0.154936	0.173679	0.106144	0.0986228	0.0953336	0.0738669	0.0854204
a11	0.0727806	0.0733937	0.0997187	0.167614	0.127553	0.119527	0.108896	0.0956365	0.134881
a90	0.0746572	0.0736859	0.100228	0.155494	0.122616	0.118286	0.120351	0.0998141	0.134868
a57	0.0648729	0.0617638	0.0808416	0.140324	0.131626	0.141637	0.133896	0.107131	0.137909
a9	0.0530025	0.049955	0.0738581	0.122784	0.130112	0.151116	0.155135	0.123062	0.140976
a53	0.0483708	0.041442	0.0520799	0.0816804	0.0983637	0.162216	0.171594	0.151238	0.193016
a90	0.0332998	0.0301151	0.037358	0.0630899	0.0957222	0.147374	0.165582	0.180165	0.247293
a57	0.0193879	0.0214244	0.0332742	0.0613016	0.097147	0.149427	0.176048	0.188903	0.253086
a53	0.0161225	0.0168201	0.0278068	0.0531259	0.0912542	0.164202	0.197031	0.181848	0.251789
a90	0.0209827	0.0194731	0.0261005	0.0390836	0.0620381	0.137737	0.185452	0.214387	0.294745
a94	0.0295884	0.0277418	0.0343375	0.0452171	0.0625823	0.116059	0.160613	0.212373	0.311488
a76	0.0160458	0.0151809	0.0222729	0.0325859	0.0500635	0.129927	0.198881	0.224755	0.310287
a69	0.0291174	0.0307567	0.0439908	0.0600703	0.0689204	0.11032	0.155135	0.197065	0.304623
a58	0.0199864	0.0207269	0.0336918	0.0503662	0.0585298	0.108088	0.175973	0.21584	0.316797
a82	0.0190747	0.0154546	0.0211711	0.0280577	0.044232	0.114242	0.188379	0.230726	0.338663
a87	0.0130314	0.00911633	0.0116799	0.0157317	0.0241689	0.0867032	0.167263	0.260404	0.411902
a23	0.00979622	0.00697405	0.00876713	0.014166	0.0239036	0.0691017	0.168775	0.261129	0.437388
a87	0.0179036	0.0097793	0.0118301	0.0157157	0.0216862	0.0564725	0.153829	0.23836	0.474424
a23	0.0046326	0.0039302	0.00669622	0.0131728	0.0292551	0.0618798	0.170219	0.248976	0.461238
a40	0.0252132	0.0186468	0.0259932	0.0441089	0.0674723	0.0996937	0.197549	0.198497	0.322826
a44	0.0231805	0.0225058	0.0231617	0.0353067	0.0707442	0.0929133	0.133947	0.200419	0.397822
a54	0.0218357	0.0256404	0.0297295	0.0490305	0.074291	0.109116	0.155025	0.193394	0.341938
a14	0.0123556	0.0140912	0.0200974	0.0395644	0.0832924	0.136525	0.140553	0.171773	0.381749
a76	0.010566	0.0153743	0.0247449	0.0558206	0.104104	0.144937	0.144261	0.16363	0.336562
a56	0.00394724	0.00636956	0.012741	0.0291049	0.0629722	0.144702	0.174792	0.196726	0.368645
a61	0.00695721	0.00850689	0.0129261	0.0216904	0.0429416	0.115267	0.159271	0.213189	0.41925
a21	0.00428786	0.00536756	0.00900452	0.0153068	0.025396	0.0738401	0.132462	0.228084	0.506251
a56	0.00978988	0.0121574	0.018225	0.0269722	0.0387628	0.0980875	0.14568	0.218503	0.431822
a90	0.00875773	0.01168	0.0186577	0.0297327	0.0449921	0.112301	0.155102	0.221027	0.39775
a13	0.00443479	0.0057623	0.00977579	0.0171023	0.0281116	0.0733126	0.128696	0.220007	0.512798
a4	0.00445437	0.00503101	0.007973	0.0140269	0.0220151	0.0572949	0.123788	0.250539	0.514878
a93	0.00571401	0.00589792	0.00879222	0.0153824	0.0252299	0.0663198	0.142389	0.266822	0.463452
a98	0.0046739	0.00417428	0.00587077	0.0102453	0.017834	0.0508781	0.121643	0.252374	0.532307
a43	0.00607379	0.00495824	0.00691859	0.0107199	0.0144422	0.0383057	0.101015	0.238432	0.579135
a75	0.0102857	0.00764974	0.0104089	0.0163598	0.0165305	0.0313291	0.0808936	0.210017	0.616526
a41	0.0106273	0.00994424	0.0144434	0.0213195	0.0268109	0.0617988	0.127603	0.231304	0.496149
a56	0.00357837	0.00361654	0.00529943	0.0087594	0.0161002	0.0471474	0.109336	0.247901	0.558261
