 	j'	ai	mal	à	la	dent	</S>
a66	0.353875	0.19086	0.128469	0.126278	0.100898	0.0624257	0.0371943
a87	0.233848	0.201132	0.1628	0.158846	0.115655	0.0771288	0.0505913
a23	0.508531	0.244172	0.0973877	0.0506951	0.0352512	0.0336341	0.0303279
a99	0.491439	0.255115	0.103905	0.0554393	0.0312074	0.0275366	0.035357
a54	0.458389	0.242938	0.109874	0.0611424	0.0391028	0.0397872	0.0487671
a5	0.395038	0.246707	0.14056	0.0833659	0.0546728	0.0463666	0.0332898
a23	0.156222	0.187343	0.198624	0.188076	0.137004	0.0845336	0.048198
a18	0.111234	0.154193	0.19233	0.217823	0.174974	0.09086	0.0585875
a88	0.0928543	0.107391	0.130481	0.178912	0.192239	0.159995	0.138128
a61	0.0699664	0.0817249	0.108413	0.162883	0.18758	0.203266	0.186168
a12	0.0463184	0.0533288	0.0809718	0.148905	0.210762	0.248003	0.211711
a96	0.0236781	0.0263519	0.0436367	0.0984704	0.171657	0.310714	0.325491
a62	0.0155184	0.0173122	0.0265546	0.0643397	0.135094	0.310883	0.430298
a75	0.0158339	0.0171469	0.0288057	0.0655279	0.133212	0.326868	0.412606
a6	0.00874775	0.00953598	0.0170151	0.0370034	0.0814952	0.268488	0.577715
a37	0.00333754	0.00347453	0.0072276	0.0190638	0.0558159	0.234402	0.676678
a27	0.00362809	0.0033647	0.00633245	0.0135008	0.034949	0.150158	0.788067
a30	0.0156739	0.0154936	0.0197498	0.032005	0.0614573	0.18868	0.666941
a87	0.170822	0.0936078	0.0587914	0.0655697	0.0847177	0.159208	0.367284
a23	0.40116	0.196055	0.0981756	0.0666967	0.0577722	0.0692729	0.110868
a87	0.28548	0.14949	0.0820729	0.0570787	0.0542182	0.106318	0.265343
a97	0.0902267	0.0598948	0.0425999	0.0391964	0.0520576	0.158561	0.557464
</S>	0.188471	0.13307	0.0983464	0.0852325	0.0892937	0.134193	0.271394
