 	les	gens	se	sont	rassemblés	autour	du	malade	</S>
a82	0.274076	0.152842	0.120192	0.111365	0.112684	0.0840375	0.0621971	0.0422361	0.0403713
a10	0.220647	0.133717	0.0959043	0.0949548	0.101141	0.11046	0.0946595	0.0680981	0.080418
a38	0.30461	0.200227	0.10981	0.0929978	0.113506	0.0623235	0.0478292	0.0319734	0.0367231
a98	0.386407	0.217288	0.104524	0.0679588	0.080841	0.0399865	0.0382784	0.0297612	0.0349539
a47	0.370945	0.180904	0.0950775	0.0655994	0.050642	0.0368418	0.0475184	0.0578384	0.0946332
a85	0.340963	0.206947	0.144032	0.0875609	0.0505743	0.0358874	0.0356165	0.036902	0.0615173
a37	0.427612	0.215557	0.163966	0.074819	0.0361029	0.0245629	0.0186395	0.0163129	0.0224281
a75	0.262148	0.187145	0.182666	0.124304	0.0715598	0.0531491	0.0400411	0.0351931	0.0437922
a61	0.258389	0.196905	0.18083	0.111913	0.0710334	0.0591242	0.0456363	0.03676	0.0394094
a12	0.128761	0.137432	0.173336	0.162868	0.113883	0.102967	0.0697607	0.0527449	0.0582469
a37	0.110965	0.119403	0.141957	0.152107	0.121369	0.135315	0.0946812	0.0638511	0.060353
a25	0.0561665	0.0755059	0.106371	0.15753	0.14047	0.173292	0.12438	0.0838278	0.0824571
a69	0.0323769	0.0498071	0.0700868	0.130674	0.125577	0.200619	0.1646	0.115274	0.110985
a90	0.0153188	0.0213892	0.0313786	0.0681768	0.0816048	0.169944	0.198075	0.195825	0.218288
a44	0.0171635	0.0216548	0.0281038	0.0602191	0.0745833	0.172712	0.200775	0.199463	0.225326
a70	0.00706201	0.00802998	0.00996116	0.0264062	0.0378898	0.123077	0.181017	0.255574	0.350984
a96	0.00495308	0.00580674	0.00717802	0.017262	0.0270111	0.0901586	0.149907	0.270488	0.427236
a13	0.00146797	0.0016952	0.00226249	0.00659034	0.0125717	0.0548285	0.12682	0.304769	0.488994
a57	0.000636927	0.000607996	0.000755428	0.00201732	0.00463605	0.0343847	0.115272	0.325311	0.516379
a13	0.00309074	0.00238004	0.00250488	0.00523129	0.0110999	0.0494626	0.129464	0.329334	0.467432
a9	0.00837192	0.00634087	0.00588519	0.0114039	0.0228217	0.0689438	0.16417	0.339683	0.37238
a3	0.0387468	0.0265677	0.0194392	0.0276775	0.0467112	0.0977009	0.190661	0.27753	0.274965
a99	0.060218	0.0442359	0.0343164	0.0386952	0.0490083	0.101141	0.171664	0.251113	0.249608
a9	0.0403778	0.0280328	0.0261574	0.0313814	0.0421299	0.0945919	0.160523	0.246234	0.330572
a3	0.0278976	0.0241553	0.0238246	0.0376322	0.0563421	0.104533	0.158416	0.236994	0.330205
a82	0.0302298	0.02972	0.0328579	0.0524602	0.0704239	0.110171	0.148252	0.216093	0.309793
a38	0.0449371	0.0432559	0.0500253	0.0734112	0.0872043	0.1033	0.12919	0.179767	0.28891
a82	0.0547318	0.0487028	0.0553618	0.062014	0.0717889	0.0777445	0.104924	0.171412	0.35332
a30	0.0784922	0.0723423	0.0757633	0.0879511	0.103339	0.0820895	0.103371	0.137082	0.25957
</S>	0.100705	0.086556	0.0899005	0.0898361	0.0906274	0.0660909	0.0835156	0.122751	0.270017
