 	je	n'	aime	pas	porter	des	habits	serrés	</S>
a66	0.217333	0.195679	0.2048	0.157136	0.0931593	0.066515	0.0370839	0.0178573	0.0104363
a87	0.322142	0.142672	0.116777	0.104097	0.0932073	0.070707	0.0510617	0.0437485	0.0555882
a97	0.257866	0.184904	0.144676	0.0956027	0.0818424	0.0692717	0.068521	0.052679	0.0446373
a99	0.335465	0.219475	0.123239	0.0642208	0.0511088	0.0479282	0.0569786	0.0618536	0.0397308
a13	0.362702	0.21917	0.0988772	0.0597159	0.0479691	0.056757	0.0653965	0.0568007	0.0326115
a62	0.444795	0.218362	0.11017	0.0683688	0.0345855	0.0375285	0.0424013	0.0271183	0.0166714
a47	0.471292	0.28403	0.116172	0.0507894	0.0235246	0.020645	0.0188162	0.00929789	0.0054328
a62	0.449389	0.292589	0.129638	0.0516108	0.0267245	0.0184456	0.0163101	0.00837704	0.00691534
a31	0.442077	0.292992	0.145313	0.0547325	0.027875	0.015103	0.011235	0.00622359	0.0044486
a88	0.347677	0.290523	0.192563	0.0790976	0.0418978	0.0208252	0.0147091	0.00777537	0.00493102
a90	0.249032	0.253891	0.216933	0.111936	0.0746184	0.0382261	0.0277306	0.0166732	0.0109595
a56	0.202585	0.254009	0.246499	0.131178	0.0783266	0.0356918	0.0283943	0.0146384	0.00867893
a90	0.188409	0.256418	0.245803	0.130522	0.0831402	0.0404212	0.0283954	0.0160084	0.0108829
a25	0.141044	0.236435	0.229433	0.141398	0.0984656	0.0644313	0.0485633	0.024002	0.0162277
a75	0.0599422	0.128211	0.196633	0.189763	0.149042	0.117127	0.0809524	0.0474316	0.0308982
a21	0.0429294	0.0795152	0.127304	0.173323	0.15624	0.149496	0.115971	0.0844568	0.0707646
a47	0.05171	0.102411	0.130501	0.14664	0.131612	0.133389	0.110957	0.0967781	0.0960021
a61	0.0338842	0.0773944	0.135918	0.163594	0.150875	0.138554	0.105281	0.0985968	0.0959016
a75	0.0237354	0.0486685	0.0973481	0.144545	0.157349	0.154135	0.117963	0.118541	0.137715
a92	0.00841849	0.0218964	0.067564	0.111043	0.127315	0.137377	0.13424	0.172356	0.21979
a37	0.00847812	0.0166312	0.0458635	0.082928	0.0938027	0.110984	0.126972	0.199863	0.314478
a6	0.0118374	0.0176906	0.0444186	0.0984641	0.141074	0.14757	0.126466	0.162153	0.250327
a36	0.0095322	0.0134547	0.0287624	0.0642859	0.089191	0.110125	0.120384	0.219271	0.344994
a21	0.0121239	0.0124087	0.020456	0.0453567	0.0784158	0.103137	0.115368	0.177139	0.435596
a85	0.00530877	0.0089552	0.0233543	0.0632721	0.104265	0.142013	0.163932	0.187078	0.301822
a6	0.0015011	0.00254465	0.00718896	0.0247381	0.0524266	0.0869294	0.111052	0.212508	0.501111
a36	0.00256953	0.00321035	0.00596341	0.0168414	0.0333877	0.0557752	0.0918334	0.208504	0.581915
a6	0.00487838	0.00471364	0.00731717	0.0180948	0.0302753	0.049051	0.0794548	0.190339	0.615876
a36	0.00141407	0.00174665	0.00373287	0.0102228	0.0185191	0.0345732	0.0728388	0.211081	0.645872
a37	0.00101206	0.001223	0.00257256	0.00711994	0.0122336	0.0233514	0.057103	0.196932	0.698452
a26	0.00118409	0.00129063	0.00243643	0.00793408	0.0153888	0.0312014	0.0569755	0.177868	0.705721
a57	0.00225831	0.00170425	0.00303117	0.00733409	0.0141661	0.0242112	0.0459061	0.158405	0.742984
a82	0.0121039	0.00706022	0.0092154	0.0139509	0.0194195	0.0270116	0.0577769	0.202081	0.65138
a97	0.0401596	0.0164611	0.0151918	0.0177988	0.0209567	0.0323069	0.0810263	0.249929	0.52617
a82	0.0512472	0.0198203	0.0172786	0.0210341	0.0258876	0.0449729	0.112911	0.305754	0.401094
a97	0.0200856	0.0080898	0.00707991	0.00910775	0.0159215	0.0318082	0.09287	0.284499	0.530538
</S>	0.0201416	0.0107803	0.0117304	0.0167582	0.0271461	0.048219	0.115346	0.25953	0.490349
