 	la	mère	a	réprimandé	son	enfant	qui	l'	a	trompé	</S>
a23	0.154871	0.107897	0.0831582	0.105722	0.158487	0.164405	0.105553	0.0610571	0.0283194	0.0181723	0.0123584
a10	0.158949	0.070789	0.0449069	0.1103	0.183566	0.110085	0.10534	0.0839933	0.0512774	0.0421133	0.03868
a87	0.162006	0.111472	0.0768069	0.10163	0.110355	0.0734159	0.0617859	0.0543092	0.0541646	0.0737738	0.12028
a23	0.170084	0.117146	0.0991275	0.137266	0.0901925	0.0611276	0.0598068	0.0611074	0.0596421	0.0627342	0.0817651
a87	0.185956	0.144421	0.127343	0.126676	0.0779744	0.0603192	0.0632043	0.0624289	0.0536506	0.047067	0.0509589
a23	0.190967	0.150139	0.140149	0.129807	0.080557	0.0580928	0.058075	0.0573431	0.0511613	0.0424398	0.0412688
a83	0.155706	0.153441	0.157486	0.106636	0.0660571	0.0554753	0.0640867	0.0695653	0.0619257	0.0537881	0.0558327
a70	0.302936	0.273044	0.224475	0.088689	0.028191	0.0181263	0.0151128	0.0143291	0.0131451	0.0115943	0.010358
a90	0.268036	0.263444	0.253294	0.126672	0.0287805	0.0144378	0.0110997	0.00945026	0.0084098	0.00798904	0.00838785
a20	0.139915	0.191807	0.295952	0.147371	0.0449006	0.0322792	0.0259055	0.0242288	0.0263528	0.0319137	0.0393742
a73	0.102441	0.15464	0.244576	0.165912	0.0743164	0.0582081	0.0454379	0.0396004	0.0375247	0.0377319	0.0396117
a44	0.120281	0.180394	0.246947	0.15932	0.0737372	0.0564865	0.0408379	0.0321749	0.0284444	0.0300081	0.0313685
a21	0.0697663	0.117729	0.175671	0.159617	0.103825	0.0864877	0.0660795	0.0555831	0.0505368	0.0528665	0.0618376
a12	0.0915506	0.123644	0.211547	0.222311	0.122101	0.0772599	0.0516993	0.0312236	0.021121	0.0205879	0.0269544
a88	0.0715146	0.0958037	0.174858	0.202277	0.14385	0.099791	0.0675892	0.0431595	0.0312516	0.0306839	0.0392217
a61	0.0369111	0.0415884	0.0594816	0.0921757	0.209823	0.188226	0.127477	0.0838378	0.0563985	0.0495363	0.0545432
a21	0.0486272	0.0522353	0.0664269	0.0908128	0.195959	0.181057	0.121387	0.0814693	0.0565378	0.051542	0.0539467
a85	0.0870035	0.0909105	0.111185	0.105276	0.143437	0.130648	0.0941356	0.0700445	0.0544481	0.0530252	0.0598873
a35	0.0865727	0.0824969	0.0903061	0.0788276	0.106466	0.109158	0.0896541	0.0791126	0.0782632	0.0886963	0.110447
a54	0.0606998	0.0576526	0.0592126	0.0551006	0.0894376	0.130998	0.114024	0.104481	0.0972801	0.10589	0.125224
a85	0.0349363	0.0317746	0.0343864	0.0308014	0.0561649	0.0925122	0.0898438	0.0954467	0.116984	0.157093	0.260057
a61	0.0515101	0.0456485	0.0491428	0.0371358	0.051138	0.0805893	0.0778855	0.0854179	0.116918	0.165385	0.23923
a21	0.0461181	0.0450704	0.0534749	0.0488699	0.0749363	0.12075	0.11129	0.106832	0.098171	0.113209	0.181278
a47	0.0768926	0.0716739	0.0840839	0.0571614	0.0709339	0.10217	0.093444	0.0925438	0.0906693	0.108964	0.151463
a70	0.0377879	0.03275	0.0361397	0.0393869	0.0654521	0.106733	0.113236	0.13696	0.134787	0.132744	0.164024
a93	0.0169418	0.0132742	0.0135525	0.0174348	0.0389226	0.0729154	0.0948183	0.143474	0.185432	0.18745	0.215784
a0	0.00953731	0.00812403	0.00844294	0.010348	0.0286967	0.066782	0.0915834	0.136992	0.186047	0.205288	0.24816
a31	0.00420104	0.00322386	0.00327581	0.00417164	0.0119704	0.029576	0.0491607	0.0883052	0.167165	0.262608	0.376342
a47	0.00351478	0.00265002	0.00292453	0.00388449	0.0114164	0.0243941	0.0395494	0.0703738	0.15146	0.273051	0.416782
a93	0.00210813	0.00166497	0.00152925	0.00221158	0.00655631	0.0137156	0.0255434	0.0513394	0.124545	0.268904	0.501883
a90	0.00104662	0.000891536	0.000956582	0.00156265	0.00626796	0.0162547	0.0321331	0.0594082	0.127063	0.253807	0.500608
a20	0.00160622	0.00138038	0.00168784	0.00200768	0.00729633	0.0166374	0.0316216	0.0645456	0.141016	0.270881	0.46132
a7	0.00167083	0.00144441	0.00177861	0.00234612	0.00820033	0.0154523	0.025197	0.0465488	0.109917	0.258175	0.529269
a84	0.000448433	0.000393596	0.000425349	0.000559552	0.00282504	0.0055202	0.0110443	0.023835	0.0697402	0.229747	0.655461
a57	0.0187744	0.011031	0.00742869	0.00473559	0.0154305	0.0196032	0.0260608	0.0431421	0.101721	0.245766	0.506307
a10	0.0734799	0.0709172	0.050757	0.0322177	0.0768918	0.0837758	0.0889322	0.10135	0.115578	0.145018	0.161082
a87	0.0581654	0.0596512	0.043625	0.0249388	0.0546727	0.0705728	0.0892496	0.113458	0.143233	0.181124	0.161309
a97	0.0572734	0.0688377	0.0588866	0.0344631	0.0860778	0.103369	0.107045	0.102821	0.101719	0.129648	0.149859
a87	0.061492	0.0623919	0.0472403	0.0392005	0.130688	0.118246	0.111484	0.0973377	0.0901587	0.109865	0.131897
a23	0.0545478	0.0594149	0.0494039	0.0392672	0.120043	0.111586	0.105177	0.0962572	0.0930729	0.115585	0.155645
a87	0.0113436	0.0114269	0.00964986	0.00625236	0.0384685	0.0482856	0.0615372	0.0818062	0.115285	0.208219	0.407726
a97	0.0133593	0.0106222	0.00703586	0.00684519	0.0336243	0.0378659	0.0470986	0.0630771	0.0958272	0.200331	0.484313
</S>	0.0463222	0.0382778	0.0307882	0.0305798	0.077911	0.0729212	0.0716824	0.0744227	0.0896616	0.151718	0.315715
