 	ils	vont	attaquer	otsegne	cette	nuit	</S>
a66	0.47425	0.369045	0.111527	0.0233054	0.00959336	0.00576721	0.00651216
a87	0.812699	0.131373	0.0217841	0.00761109	0.00523602	0.00734694	0.0139499
a23	0.704505	0.201673	0.0376745	0.00702648	0.00854896	0.0146059	0.025966
a87	0.442784	0.182036	0.070032	0.0319423	0.0427119	0.0659689	0.164524
a23	0.437404	0.304894	0.0822047	0.02776	0.0314561	0.043721	0.0725607
a54	0.361682	0.2323	0.0736847	0.0406273	0.0584163	0.0861655	0.147124
a15	0.460977	0.370728	0.0815779	0.0267871	0.022349	0.0172028	0.0203786
a7	0.388523	0.369122	0.129315	0.0395387	0.0288354	0.019486	0.025179
a15	0.394185	0.375084	0.143839	0.0257632	0.0181546	0.0163439	0.0266306
a47	0.406111	0.340536	0.129111	0.0426429	0.0288122	0.020632	0.0321543
a6	0.365845	0.325891	0.1707	0.0615953	0.0323892	0.0185783	0.0250012
a36	0.275078	0.268401	0.203377	0.118812	0.05998	0.0298773	0.0444758
a2	0.246054	0.301536	0.253859	0.0848883	0.0491807	0.0274916	0.0369903
a11	0.126732	0.248295	0.347272	0.106671	0.0708503	0.0450693	0.0551112
a96	0.143174	0.248037	0.328015	0.118945	0.0663898	0.0407673	0.0546717
a75	0.0989139	0.171146	0.33835	0.149975	0.104225	0.0590438	0.0783459
a98	0.0499453	0.0964354	0.220371	0.203813	0.188717	0.11086	0.129859
a92	0.0378094	0.0970182	0.286837	0.195009	0.161202	0.099117	0.123008
a79	0.0313248	0.0828978	0.251859	0.214344	0.181218	0.12104	0.117317
a56	0.0232056	0.0646895	0.228537	0.210407	0.192586	0.137117	0.143458
a21	0.0179329	0.0394625	0.178683	0.26312	0.244603	0.130464	0.125736
a12	0.0185701	0.0403798	0.146295	0.246087	0.232662	0.164462	0.151545
a21	0.0122325	0.0307702	0.0876881	0.304628	0.249462	0.164762	0.150458
a92	0.00886998	0.0168976	0.0503883	0.265124	0.258868	0.200153	0.199699
a36	0.00445154	0.013287	0.0546278	0.194239	0.192209	0.233143	0.308042
a7	0.0053501	0.0169052	0.0487003	0.143665	0.172607	0.233556	0.379217
a90	0.00349721	0.00554092	0.0157575	0.0864642	0.13133	0.289234	0.468176
a56	0.0016176	0.00352564	0.0162573	0.11235	0.178874	0.288789	0.398586
a37	0.00191107	0.00355371	0.0110247	0.0840735	0.15246	0.329951	0.417026
a47	0.00125896	0.0029274	0.0097987	0.0545425	0.107742	0.31057	0.513161
a21	0.00149579	0.00322935	0.00910212	0.0430479	0.0824545	0.302661	0.558009
a6	0.000707848	0.00111432	0.00282775	0.0256329	0.0703766	0.290548	0.608792
a98	0.000407299	0.00108555	0.00647416	0.039797	0.0811567	0.271894	0.599186
a15	0.000224654	0.00084091	0.00555452	0.0367423	0.0802644	0.238501	0.637872
a92	0.00117691	0.0020241	0.00554509	0.0291754	0.0603599	0.244444	0.657275
a37	0.000796525	0.00135147	0.00521248	0.0310139	0.0687171	0.273503	0.619406
a18	0.00116717	0.00272431	0.00778555	0.0309795	0.0785071	0.295615	0.583221
a82	0.00168831	0.00261999	0.00727775	0.0321202	0.0812531	0.343742	0.531298
a87	0.0161957	0.0165794	0.0269409	0.069871	0.146579	0.349164	0.374669
a23	0.298786	0.118771	0.0940171	0.0976847	0.107463	0.142411	0.140867
a99	0.0780885	0.0154161	0.0116972	0.0519306	0.136189	0.290291	0.416387
a87	0.038505	0.010793	0.0199491	0.0644662	0.14018	0.271832	0.454275
</S>	0.0207842	0.00661096	0.0129716	0.0488158	0.135529	0.279877	0.495412
