 	reste	auprès	de	la	maison	</S>
a23	0.487264	0.203905	0.117752	0.0761032	0.0586444	0.0563318
a10	0.360132	0.139197	0.142243	0.146711	0.123237	0.0884804
a87	0.539587	0.263729	0.0947045	0.0405041	0.0276078	0.0338681
a23	0.401087	0.283115	0.144986	0.073033	0.0498533	0.0479256
a99	0.379271	0.327759	0.141947	0.0643975	0.0401185	0.0465075
a38	0.505678	0.330261	0.0897679	0.0333799	0.0185892	0.0223236
a75	0.410308	0.397007	0.121009	0.0421523	0.016059	0.0134642
a44	0.333853	0.341336	0.168851	0.0906511	0.0381984	0.0271106
a54	0.298265	0.32412	0.183922	0.106164	0.0500692	0.0374614
a73	0.257494	0.247406	0.203947	0.144903	0.0807423	0.0655081
a44	0.239735	0.225572	0.219938	0.163489	0.0835975	0.0676686
a75	0.128962	0.144101	0.214013	0.245723	0.150044	0.117157
a85	0.134938	0.137034	0.193936	0.222762	0.16455	0.14678
a44	0.0741268	0.0813219	0.138223	0.219218	0.233321	0.253789
a26	0.0441424	0.047765	0.085136	0.191533	0.293033	0.33839
a75	0.0313889	0.0297103	0.0516506	0.12758	0.284704	0.474966
a92	0.0324557	0.0302523	0.0490938	0.118673	0.267063	0.502462
a98	0.0243844	0.0230174	0.0402534	0.100733	0.263544	0.548068
a73	0.0150198	0.0155317	0.0324639	0.0898792	0.268256	0.578849
a44	0.0190759	0.0168611	0.0349563	0.0890428	0.248134	0.591929
a70	0.00730921	0.00513083	0.0138946	0.0585584	0.22663	0.688477
a13	0.0180693	0.013271	0.0293599	0.0737954	0.225114	0.64039
a75	0.00966118	0.00768809	0.0211953	0.0554223	0.237895	0.668138
a56	0.0209864	0.0125885	0.0243128	0.0541337	0.213583	0.674395
a98	0.0131072	0.01168	0.0253445	0.0573146	0.219333	0.673221
a9	0.0155236	0.0129383	0.0244356	0.0563535	0.218107	0.672642
a87	0.00548638	0.00497642	0.0141749	0.0475888	0.235617	0.692157
a23	0.0364852	0.0180461	0.0300827	0.0626352	0.217306	0.635445
a87	0.0530989	0.0342926	0.0557147	0.101811	0.231741	0.523341
</S>	0.0394803	0.0306762	0.0530804	0.107139	0.261081	0.508543
