 	la	manière	dont	coule	de	l'	huile	la	bouteille	s'	est	certainement	cassée	</S>
a66	0.077545	0.108229	0.109937	0.151054	0.142428	0.124878	0.0848287	0.0648074	0.0403097	0.0331337	0.0275217	0.0175853	0.00965803	0.00808598
a87	0.424744	0.236136	0.123554	0.0530808	0.0281357	0.016115	0.0154056	0.0145108	0.0127955	0.0143671	0.0173658	0.0169407	0.0140194	0.01283
a10	0.223998	0.168441	0.136159	0.111937	0.0463824	0.0259387	0.0267477	0.0300885	0.0395359	0.0448965	0.0597252	0.0515492	0.0187571	0.0158444
a97	0.19018	0.214586	0.202048	0.12548	0.0267251	0.0112527	0.0115392	0.016794	0.0293552	0.0395631	0.0520537	0.0467842	0.0202733	0.013365
a3	0.17394	0.209562	0.214911	0.123431	0.0371382	0.0158474	0.0137926	0.0170125	0.0288542	0.0381987	0.0507036	0.0455362	0.019973	0.0111011
a79	0.209602	0.210766	0.193618	0.0970883	0.0420327	0.0178357	0.0147232	0.0164421	0.026391	0.0361522	0.0490265	0.0497394	0.023202	0.0133816
a12	0.20881	0.260636	0.257947	0.0442063	0.0158784	0.00974155	0.0129619	0.0167404	0.0255053	0.0328269	0.0363575	0.0383813	0.024961	0.015047
a96	0.211183	0.293283	0.348285	0.0506455	0.0212213	0.00960778	0.00894548	0.0096341	0.00962097	0.0100918	0.0102858	0.00896494	0.00520716	0.00302435
a88	0.217394	0.265462	0.302814	0.083718	0.0361293	0.0136473	0.011151	0.0109509	0.010795	0.0116761	0.0130602	0.0126145	0.00669879	0.00388854
a18	0.197644	0.221657	0.269242	0.130732	0.0587296	0.018261	0.0123854	0.0114014	0.0108448	0.0120598	0.0146	0.016651	0.0159979	0.00979441
a62	0.16223	0.204448	0.245199	0.126886	0.0609564	0.0197217	0.014545	0.0137118	0.0144692	0.0169161	0.0219432	0.0275031	0.0403855	0.0310853
a47	0.188969	0.197882	0.206517	0.151805	0.092625	0.0313155	0.0187371	0.0159844	0.0141921	0.0151783	0.016834	0.0185272	0.0192399	0.0121942
a62	0.126177	0.153013	0.221644	0.197257	0.0979282	0.0364776	0.0204075	0.017774	0.0176277	0.0185067	0.0189275	0.0201468	0.0302164	0.023896
a21	0.121263	0.124555	0.154536	0.1952	0.151699	0.0722784	0.0347357	0.0250572	0.0205021	0.019851	0.0185296	0.0181496	0.025262	0.0183812
a12	0.0619512	0.0808484	0.117031	0.184043	0.168743	0.110228	0.0546146	0.0393891	0.0306575	0.0291925	0.026004	0.0244698	0.0392375	0.0335912
a18	0.032569	0.0513277	0.0883065	0.217348	0.184263	0.131964	0.0718325	0.0486027	0.0361537	0.0326798	0.026774	0.0226883	0.0292714	0.0262188
a21	0.025881	0.0436893	0.0721667	0.216211	0.215739	0.152819	0.0698294	0.0403397	0.0304812	0.0257887	0.0224818	0.0194887	0.0303766	0.0347077
a85	0.0183995	0.0316754	0.0554358	0.151246	0.1555	0.169741	0.101609	0.0709052	0.0454552	0.0404158	0.036079	0.0321702	0.0459674	0.0454007
a92	0.0104819	0.0185611	0.031754	0.128166	0.113838	0.112244	0.0817549	0.0790397	0.0628322	0.0643071	0.0609683	0.0546011	0.0814937	0.0999582
a79	0.0102631	0.0153359	0.028973	0.135993	0.132643	0.129955	0.0912761	0.080003	0.0650601	0.0633419	0.0550848	0.0484166	0.0669022	0.0767515
a44	0.00644963	0.00963089	0.0171796	0.113716	0.118291	0.132743	0.102493	0.0885265	0.0705177	0.0697749	0.0594191	0.0518095	0.0708673	0.0885811
a56	0.00722065	0.0127296	0.0217513	0.159096	0.178576	0.185449	0.11735	0.0651778	0.0449197	0.0375214	0.0289067	0.0261732	0.0478992	0.0672285
a75	0.0043571	0.00644946	0.0117883	0.088324	0.114664	0.149201	0.119674	0.0919793	0.0733533	0.0641715	0.0503064	0.04619	0.0776738	0.101868
a21	0.00361049	0.00494849	0.00837147	0.061085	0.0901613	0.136619	0.12256	0.101823	0.0837472	0.0724462	0.0565673	0.0522228	0.0880697	0.117769
a47	0.00463875	0.0062248	0.00939326	0.0563666	0.084314	0.153174	0.138753	0.110541	0.0807092	0.0643775	0.0513499	0.0475626	0.0832191	0.109376
a88	0.00640907	0.00955321	0.0165485	0.0941036	0.108175	0.147152	0.119306	0.0906884	0.069144	0.0566404	0.0435534	0.0408541	0.0875068	0.110365
a71	0.00483297	0.00898044	0.0156544	0.0870367	0.0961804	0.128554	0.133984	0.0952095	0.0720851	0.0510321	0.0385521	0.0354468	0.0889815	0.14347
a9	0.00799057	0.0138724	0.0230231	0.0941153	0.0931973	0.124173	0.130309	0.0986858	0.0734843	0.057931	0.0482865	0.0447465	0.0823357	0.107849
a3	0.00846421	0.0113571	0.0171941	0.0657082	0.0703831	0.0987423	0.122116	0.103584	0.0826237	0.0692213	0.0579089	0.0572008	0.110926	0.124569
a97	0.0156118	0.0123048	0.0145367	0.0423031	0.0622599	0.0804723	0.115022	0.119218	0.102531	0.0941968	0.0863308	0.074791	0.0952379	0.0851836
a79	0.0210811	0.00979695	0.00832413	0.0264606	0.0378361	0.0405647	0.0624071	0.0700171	0.0749373	0.0931441	0.125814	0.155898	0.155144	0.118574
a53	0.00337806	0.00252531	0.00253071	0.00688191	0.0195078	0.0233924	0.0374245	0.0469496	0.056017	0.0747913	0.117256	0.179078	0.24606	0.184207
a93	0.00134372	0.00118477	0.00159321	0.00629778	0.0145554	0.0166768	0.0257633	0.0347147	0.0411549	0.0546609	0.0812593	0.116833	0.315759	0.288203
a54	0.00126624	0.00138889	0.00231391	0.00877956	0.0140143	0.0162524	0.0241199	0.0347623	0.0464536	0.0633832	0.0849575	0.117948	0.297574	0.286786
a37	0.000280243	0.000420672	0.00079595	0.00513596	0.0109828	0.0177537	0.0292733	0.0401027	0.049046	0.0579447	0.0756733	0.116207	0.2776	0.318784
a44	0.000271148	0.000369408	0.00078986	0.00440251	0.00772946	0.0110744	0.0184967	0.0266168	0.0410391	0.0584987	0.0844132	0.128138	0.310188	0.307972
a93	0.000217274	0.000242719	0.00047129	0.00264791	0.0046112	0.00714555	0.0136691	0.0214866	0.0366197	0.0538453	0.0802295	0.126379	0.331786	0.320648
a70	0.000264854	0.000256966	0.00050757	0.0029588	0.00523263	0.00823661	0.0143268	0.0214944	0.0343503	0.0493523	0.0700211	0.115791	0.3398	0.337406
a83	0.000102511	0.000103715	0.000202716	0.00153512	0.00268894	0.00489395	0.00996949	0.0169454	0.030658	0.0464466	0.0696743	0.118144	0.342008	0.356628
a30	0.000112714	0.00011196	0.000210686	0.00194275	0.00298311	0.00511021	0.00991912	0.0157827	0.0275745	0.0414238	0.0613307	0.109968	0.329443	0.394087
