 	nous	sommes	tombés	d'	accord	pour	partir	à	la	pêche	</S>
a66	0.432765	0.180021	0.0967201	0.0599385	0.0342181	0.0271381	0.0291715	0.0291206	0.0296435	0.0332128	0.0480508
a87	0.384447	0.227135	0.148104	0.0549426	0.0329312	0.0303783	0.0323487	0.0253938	0.0201889	0.019856	0.0242742
a97	0.396466	0.257395	0.138977	0.0665657	0.0548707	0.0333245	0.0223558	0.01078	0.00639362	0.00598568	0.00688639
a87	0.44419	0.27288	0.0899115	0.0506102	0.0542004	0.0366202	0.0241035	0.0105092	0.00589465	0.00518189	0.00589827
a97	0.416347	0.270363	0.113996	0.0548759	0.0536183	0.0341566	0.0250993	0.0122719	0.00691901	0.00619942	0.00615386
a87	0.496439	0.26876	0.0797487	0.0365243	0.034361	0.0249898	0.021502	0.0132285	0.00834613	0.00790863	0.0081927
a99	0.478423	0.261163	0.0892673	0.0395903	0.0368014	0.0274922	0.0244167	0.0145028	0.00927432	0.00934602	0.00972316
a0	0.389289	0.275823	0.0876661	0.0436394	0.0494585	0.0374729	0.032842	0.0272676	0.0203347	0.0168235	0.0193825
a24	0.264337	0.220925	0.1031	0.0687352	0.0786801	0.0566263	0.0470859	0.0472249	0.0392816	0.0331639	0.0408406
a11	0.171582	0.149716	0.113773	0.102735	0.113	0.0820076	0.069321	0.0627692	0.0494912	0.0407283	0.0448758
a12	0.10562	0.113877	0.11615	0.117803	0.133625	0.0935739	0.0784233	0.0691078	0.0605626	0.0550478	0.0562094
a98	0.0711797	0.0941643	0.172473	0.168307	0.161665	0.104797	0.0804103	0.050127	0.036893	0.0311085	0.0288749
a62	0.0470556	0.069937	0.15558	0.178618	0.183808	0.125897	0.093633	0.0509558	0.0361245	0.0295549	0.0288355
a50	0.0316167	0.051124	0.148319	0.185886	0.18431	0.1439	0.109017	0.0511477	0.0355874	0.0299392	0.0291525
a99	0.0246898	0.0397408	0.124956	0.180716	0.178788	0.15448	0.123132	0.0586375	0.0403744	0.0359561	0.0385295
a50	0.0208746	0.029588	0.0926249	0.16739	0.172229	0.163966	0.13883	0.0731903	0.0491225	0.0428418	0.0493431
a24	0.0179352	0.0224932	0.0878435	0.161148	0.168085	0.166154	0.142857	0.0742443	0.0514754	0.0483933	0.0593714
a50	0.00812222	0.00880594	0.0387678	0.123885	0.144964	0.176574	0.17145	0.104423	0.073262	0.0677683	0.0819772
a83	0.00651362	0.00686927	0.0332223	0.111205	0.134878	0.157739	0.148462	0.105057	0.0920057	0.0886684	0.115379
a50	0.00531841	0.0049776	0.0241103	0.0988648	0.124283	0.145524	0.139812	0.11424	0.112197	0.103076	0.127598
a96	0.00438861	0.00414311	0.0188634	0.0889553	0.113997	0.146508	0.149845	0.125415	0.12757	0.106405	0.11391
a83	0.00404905	0.00349961	0.0149738	0.0780355	0.104469	0.136367	0.143734	0.130327	0.143061	0.117442	0.124042
a71	0.00317836	0.00270649	0.00893636	0.0493189	0.0729848	0.102429	0.114642	0.124866	0.172916	0.162072	0.185949
a38	0.00201382	0.00176707	0.00400671	0.018301	0.0309124	0.0472057	0.0556244	0.0817159	0.180027	0.23942	0.339007
a4	0.00274133	0.00222945	0.0039867	0.013524	0.0209257	0.0345629	0.0423509	0.0733277	0.175089	0.249673	0.381589
a58	0.00240953	0.00188325	0.00374432	0.0168224	0.0284816	0.0475971	0.0590271	0.0903931	0.176995	0.236149	0.336498
a26	0.00100608	0.00090288	0.00177212	0.00455201	0.00606167	0.0125289	0.0171129	0.033791	0.104992	0.25686	0.56042
a82	0.00377116	0.00287353	0.00390347	0.00588561	0.00538077	0.00942412	0.0147132	0.0323173	0.0950138	0.224477	0.60224
a9	0.0708922	0.0679613	0.0429675	0.0302504	0.0238959	0.0343656	0.0462455	0.0681454	0.108772	0.178492	0.328012
a10	0.186401	0.175358	0.0917013	0.0480157	0.0460286	0.0568796	0.0669145	0.0666503	0.069854	0.0801425	0.112054
a97	0.129716	0.146849	0.0993618	0.0647949	0.0784203	0.091141	0.0873993	0.06601	0.0595882	0.0737073	0.103012
a99	0.139016	0.164659	0.107674	0.0692327	0.0739857	0.0828643	0.0801251	0.0638689	0.0574416	0.0724456	0.088686
a97	0.203439	0.169795	0.0704701	0.0452905	0.036669	0.0465775	0.05151	0.0577254	0.0675801	0.0990883	0.151855
a99	0.160992	0.126052	0.0660936	0.054448	0.0429301	0.0498283	0.0508999	0.0515967	0.0664319	0.117933	0.212795
a97	0.19323	0.164507	0.0767343	0.049437	0.0391507	0.0464592	0.0497188	0.051671	0.0635475	0.103224	0.16232
</S>	0.15797	0.129794	0.0706429	0.0624805	0.0577126	0.062257	0.0588828	0.0545892	0.0608221	0.102349	0.182501
