 	a	combien	est	vendu	le	paquet	de	koko	</S>
a66	0.270052	0.255583	0.114796	0.114439	0.105184	0.0696326	0.0373607	0.0231622	0.00979023
a10	0.107063	0.0749905	0.0678905	0.11696	0.150679	0.208693	0.127891	0.0845324	0.0613006
a62	0.394385	0.205623	0.09751	0.101101	0.0899797	0.0531775	0.0256457	0.0180647	0.0145137
a47	0.360852	0.244704	0.107839	0.0982778	0.0828211	0.0522727	0.0194324	0.0214135	0.0123872
a70	0.305472	0.303425	0.139389	0.0914871	0.0660174	0.0409266	0.0182726	0.0204378	0.0145726
a93	0.340648	0.34853	0.121982	0.0703878	0.0469444	0.0280974	0.0169244	0.0140846	0.0124017
a75	0.264694	0.309598	0.161807	0.103033	0.0650529	0.0372976	0.0250792	0.0185595	0.0148787
a98	0.274566	0.307639	0.145056	0.0907984	0.0712659	0.0496903	0.0297451	0.0171516	0.0140883
a44	0.265512	0.236337	0.152609	0.109036	0.0819813	0.0630191	0.0415862	0.02561	0.0243098
a58	0.171516	0.153195	0.17097	0.137139	0.0984623	0.0722911	0.0652374	0.0574118	0.0737759
a94	0.0927406	0.0773844	0.13549	0.134719	0.0937697	0.0779318	0.085812	0.119013	0.18314
a12	0.0955353	0.0718862	0.115335	0.124729	0.115366	0.110302	0.116407	0.119614	0.130824
a35	0.0576449	0.0411357	0.0791095	0.103977	0.099192	0.109933	0.148468	0.167496	0.193045
a98	0.0436813	0.0249135	0.0503446	0.0782298	0.0735369	0.0836997	0.167407	0.212798	0.265389
a41	0.0233033	0.0134177	0.0313476	0.0497111	0.0489451	0.0658643	0.172163	0.250064	0.345183
a27	0.0145675	0.00727573	0.0143634	0.0228437	0.0231668	0.0383539	0.132883	0.2591	0.487446
a61	0.0116441	0.00568366	0.00804141	0.0120932	0.0164475	0.0358754	0.105468	0.216018	0.588729
a75	0.00263922	0.00130969	0.00244446	0.00481865	0.00643064	0.0194893	0.0637587	0.213938	0.685172
a85	0.00220222	0.001111	0.00247398	0.00467452	0.00660774	0.0182948	0.0643585	0.216208	0.684069
a73	0.00804565	0.00398178	0.0074228	0.00937529	0.0112752	0.0218936	0.0808572	0.220204	0.636944
a58	0.00159637	0.000665461	0.00127115	0.00194754	0.00278005	0.0114214	0.0508226	0.170991	0.758505
a75	0.00968295	0.00605257	0.00952784	0.013432	0.0236211	0.0585532	0.134541	0.230917	0.513673
a5	0.00296185	0.00158032	0.00262804	0.00423497	0.00861622	0.0270171	0.0897326	0.207914	0.655315
a12	0.00255568	0.00134272	0.00256605	0.00378679	0.00620121	0.0180859	0.0624141	0.200897	0.702151
a18	0.00330823	0.00169931	0.0028324	0.00358037	0.0055433	0.0156941	0.061424	0.187276	0.718643
a71	0.0163631	0.00940027	0.0140922	0.0160417	0.0215016	0.0481413	0.107091	0.223783	0.543585
a82	0.0390309	0.020237	0.0239579	0.0282337	0.038443	0.0690737	0.124149	0.200154	0.45672
a87	0.204864	0.0901855	0.0752199	0.0839248	0.0981511	0.0851174	0.102302	0.113778	0.146457
a23	0.220161	0.0978863	0.0603807	0.0665517	0.0817748	0.0821802	0.104313	0.118949	0.167804
a87	0.128369	0.0464001	0.0403873	0.0500786	0.0678375	0.0956135	0.150619	0.153845	0.26685
</S>	0.041432	0.019161	0.0178165	0.0240439	0.0366171	0.0820858	0.182949	0.188298	0.407597
