 	notre	maman	marche	lentement	parce	qu'	elle	porte	une	grossesse	</S>
a23	0.25318	0.285965	0.125063	0.0798632	0.0648037	0.0617382	0.0608907	0.0307372	0.0169793	0.0106436	0.0101356
a87	0.345499	0.119025	0.0545452	0.070707	0.079098	0.0887993	0.0810193	0.0592313	0.0390662	0.0326298	0.0303798
a23	0.150215	0.0698761	0.0408913	0.0520722	0.0765922	0.0944096	0.0886244	0.110442	0.104162	0.101758	0.110958
a53	0.10384	0.0477264	0.0525724	0.0761039	0.109106	0.134626	0.106429	0.120341	0.0827349	0.0792479	0.0872721
a20	0.300812	0.237322	0.113044	0.0480603	0.0574018	0.0557165	0.0545699	0.0483857	0.0319772	0.028145	0.0245657
a7	0.381193	0.360524	0.128922	0.0387756	0.0271118	0.0171889	0.01251	0.0104529	0.00906146	0.00764424	0.00661644
a44	0.188931	0.259656	0.260379	0.0916553	0.0569652	0.030574	0.0234486	0.0237519	0.0282411	0.0199758	0.0164209
a11	0.0824522	0.155226	0.221878	0.128898	0.0971899	0.0585182	0.046791	0.0494007	0.0648621	0.048147	0.0466368
a75	0.048862	0.110386	0.17631	0.151557	0.117428	0.0728522	0.0550151	0.0555219	0.0708467	0.0615855	0.0796366
a6	0.0895216	0.163728	0.208689	0.137183	0.104962	0.0618259	0.0440212	0.0362405	0.044385	0.0496532	0.0597903
a36	0.0368547	0.0791496	0.149788	0.170024	0.143589	0.0855746	0.0557692	0.0559952	0.0656251	0.0653533	0.0922769
a37	0.0339204	0.0704964	0.117802	0.169557	0.164033	0.101171	0.0761546	0.0626207	0.0612293	0.056838	0.0861773
a96	0.0210253	0.0490305	0.079381	0.144861	0.154025	0.126337	0.0932265	0.0856413	0.0791389	0.0704938	0.0968404
a70	0.0160857	0.0400009	0.0689446	0.150662	0.138527	0.111326	0.0813658	0.0815865	0.0931548	0.0901985	0.128148
a66	0.0116769	0.0316641	0.0643022	0.194023	0.166955	0.12542	0.0850744	0.0753914	0.0753223	0.0737364	0.0964344
a4	0.00601692	0.0172219	0.0521151	0.201621	0.194765	0.139295	0.0900617	0.0670051	0.0576659	0.0661281	0.108104
a13	0.0052706	0.0137709	0.0412273	0.166835	0.195411	0.162659	0.106517	0.0837589	0.0640931	0.0615413	0.0989159
a11	0.00547983	0.0096238	0.0276679	0.123876	0.16814	0.158103	0.108291	0.0856142	0.0713527	0.090216	0.151636
a24	0.00565402	0.00903157	0.0247422	0.102135	0.165738	0.180199	0.128296	0.112438	0.0752951	0.0747897	0.121681
a9	0.0082524	0.00844929	0.0138276	0.0493466	0.0881979	0.0947013	0.0728503	0.0957562	0.127339	0.165537	0.275743
a24	0.0365566	0.03921	0.0385113	0.0842246	0.12268	0.127916	0.108493	0.108092	0.093496	0.0745819	0.166239
a9	0.0226192	0.0236211	0.0285568	0.0530956	0.0936363	0.104337	0.0958019	0.127623	0.157793	0.106865	0.186052
a87	0.028789	0.0211678	0.0180752	0.037234	0.0595199	0.0802291	0.0794903	0.125929	0.148485	0.118316	0.282765
a23	0.248805	0.159564	0.0366264	0.017196	0.0217481	0.0292913	0.0311156	0.0562816	0.0749628	0.0940891	0.23032
a99	0.108765	0.107601	0.0392865	0.0245387	0.039617	0.0545654	0.0715204	0.120819	0.148082	0.127957	0.157249
a71	0.0454794	0.0773557	0.0712513	0.0298314	0.0489179	0.0570133	0.0693843	0.103402	0.146515	0.158746	0.192104
a18	0.0220859	0.0574268	0.0528903	0.0292576	0.0547844	0.0733628	0.103719	0.149867	0.172081	0.123667	0.160858
a36	0.0107522	0.034591	0.0334608	0.0254565	0.0551108	0.077576	0.116249	0.172532	0.183031	0.114767	0.176474
a27	0.00267909	0.0127583	0.0221718	0.0326846	0.0533598	0.0704357	0.090729	0.135981	0.195175	0.13382	0.250205
a18	0.001198	0.0055545	0.00917223	0.0288779	0.0585899	0.0734277	0.0844271	0.133146	0.186626	0.141355	0.277626
a5	0.000907712	0.0031928	0.00465856	0.0236538	0.0475909	0.0600528	0.0658792	0.117568	0.181069	0.170842	0.324586
a18	0.0111613	0.0175854	0.0221258	0.0536425	0.0756187	0.0731965	0.0720081	0.0927138	0.134065	0.130058	0.317825
a62	0.0043529	0.00727382	0.00938867	0.0331026	0.0612454	0.0683763	0.0693872	0.119537	0.163465	0.156649	0.307222
a88	0.0033092	0.00430559	0.00566236	0.0185436	0.0379271	0.0550641	0.0597098	0.116532	0.163511	0.184903	0.350532
a71	0.00250596	0.00330469	0.0044721	0.017755	0.0358232	0.0479615	0.0499076	0.102491	0.166795	0.211932	0.357052
a9	0.00272583	0.00330919	0.00303654	0.0118307	0.0255085	0.039557	0.0397503	0.0884962	0.143401	0.217286	0.425098
a87	0.00329375	0.00494202	0.00463291	0.0193721	0.0385772	0.054803	0.05401	0.108395	0.156507	0.199218	0.356249
</S>	0.197817	0.143992	0.0788334	0.0285323	0.0288248	0.0297126	0.0378293	0.0697486	0.0988873	0.108102	0.177721
