 	la	beauté	de	son	geste	nous	a	touchés	</S>
a23	0.221401	0.177312	0.168342	0.182621	0.138046	0.0574561	0.0254971	0.0167445	0.0125805
a87	0.319646	0.1342	0.121901	0.130977	0.0966017	0.0509272	0.0436569	0.0438098	0.0582792
a79	0.203102	0.136191	0.126168	0.106434	0.0606837	0.0446692	0.0501096	0.0856892	0.186954
a69	0.355606	0.1892	0.157677	0.0987976	0.060717	0.0370945	0.0279714	0.0283674	0.044569
a58	0.456997	0.263067	0.124545	0.059564	0.0364862	0.021182	0.014231	0.0105345	0.0133936
a57	0.37205	0.299124	0.15594	0.0903473	0.0420441	0.0138817	0.00819624	0.00714133	0.0112751
a9	0.214088	0.209888	0.171175	0.149161	0.0942699	0.0549202	0.0385403	0.0303769	0.0375808
a38	0.151129	0.153012	0.144312	0.128757	0.0878811	0.065793	0.0642632	0.0775527	0.1273
a41	0.116735	0.12845	0.13035	0.114235	0.0774982	0.0618662	0.0681224	0.104295	0.198447
a18	0.13698	0.157603	0.173547	0.162704	0.135724	0.0764354	0.0485475	0.049088	0.0593704
a20	0.152404	0.176677	0.198926	0.188393	0.140814	0.0474649	0.026346	0.0284117	0.0405642
a41	0.102861	0.108794	0.133816	0.123979	0.112595	0.0950447	0.0894851	0.110639	0.122786
a12	0.151316	0.135526	0.133228	0.110149	0.117548	0.0919264	0.0862557	0.0850957	0.0889552
a24	0.131152	0.144875	0.17855	0.1718	0.15604	0.0631207	0.040445	0.0459429	0.0680749
a41	0.0956924	0.100956	0.184508	0.238314	0.191541	0.0807827	0.0342479	0.0300454	0.0439116
a12	0.068967	0.0697457	0.115366	0.138836	0.136028	0.0978665	0.0893171	0.117085	0.166789
a18	0.0775899	0.0779095	0.115468	0.163003	0.144707	0.0975093	0.0746395	0.0967713	0.152403
a25	0.0691735	0.0542918	0.0859165	0.127382	0.115005	0.132673	0.106194	0.132627	0.176737
a38	0.0413921	0.0365631	0.0744389	0.109735	0.123466	0.171596	0.119075	0.146403	0.177332
a41	0.0400487	0.0361112	0.0790441	0.12367	0.131489	0.152542	0.0990148	0.13684	0.20124
a76	0.0179068	0.0212362	0.0407432	0.047978	0.0597199	0.0899333	0.108292	0.230715	0.383475
a73	0.024036	0.0272692	0.0419111	0.0450295	0.0530688	0.0912591	0.120068	0.230288	0.36707
a94	0.0316216	0.0382707	0.0528138	0.0498758	0.0476	0.0934806	0.112091	0.211643	0.362603
a73	0.0258833	0.027311	0.0357015	0.0312452	0.0342673	0.0769965	0.113672	0.226743	0.42818
a94	0.0171902	0.0176751	0.0243218	0.0229615	0.0278636	0.056623	0.0892908	0.246617	0.497457
a75	0.011214	0.00920545	0.0142215	0.0139546	0.0188523	0.0463758	0.100308	0.262001	0.523867
a73	0.0243756	0.0185122	0.0219768	0.0232285	0.0290134	0.0672996	0.130871	0.229904	0.454819
a84	0.0140397	0.0136265	0.0200451	0.0202429	0.0329027	0.0661438	0.131447	0.243093	0.45846
a57	0.00297024	0.00232605	0.00473573	0.00559026	0.00910012	0.0265646	0.0751842	0.285584	0.587945
a87	0.00234471	0.00164798	0.00317984	0.00448006	0.00803705	0.0319433	0.118886	0.279416	0.550065
a23	0.00361878	0.00272002	0.00491537	0.0081564	0.0198186	0.0636033	0.139608	0.238491	0.519069
a79	0.00422142	0.00348605	0.00438248	0.00443301	0.0159193	0.0521006	0.116415	0.24576	0.553282
a69	0.00984957	0.0062027	0.0101176	0.0153216	0.0350719	0.0729448	0.116073	0.206463	0.527956
a58	0.0077723	0.00555427	0.00911939	0.011805	0.0226077	0.0779562	0.16011	0.261509	0.443566
a53	0.00121189	0.000969758	0.00166833	0.00228433	0.00607294	0.0270088	0.0745457	0.277015	0.609223
a76	0.00584878	0.00495522	0.0070472	0.00901119	0.0114942	0.0370259	0.103644	0.310314	0.510659
a94	0.00711597	0.0048453	0.00743729	0.00868719	0.0108582	0.0290795	0.113543	0.269231	0.549203
a98	0.0014453	0.00113769	0.00190191	0.00198973	0.00408299	0.0136329	0.0520996	0.252293	0.671417
a53	0.0055401	0.00431063	0.00573299	0.00560296	0.00832333	0.0237575	0.0863153	0.280751	0.579666
a90	0.00879776	0.00758921	0.0115109	0.0122131	0.0175216	0.0305939	0.0729665	0.244677	0.59413
a13	0.0075528	0.00567319	0.00889748	0.0113081	0.0149933	0.0269567	0.0646254	0.223263	0.63673
a38	0.00311989	0.00191822	0.00366856	0.00503799	0.00981141	0.0230203	0.0674069	0.249894	0.636123
a62	0.00377136	0.00213643	0.00420069	0.0058561	0.0113536	0.0254005	0.0768604	0.250403	0.620018
a24	0.0100374	0.00578302	0.00828117	0.00983135	0.0133609	0.0268353	0.0750579	0.239637	0.611176
a96	0.00812899	0.00464242	0.00589891	0.00659754	0.00988587	0.0267033	0.085435	0.261322	0.591386
a13	0.00830263	0.00550853	0.00737462	0.00780001	0.0112938	0.0268115	0.0784601	0.270015	0.584434
a44	0.00499305	0.00302782	0.00466972	0.00591711	0.0114761	0.0374595	0.120082	0.297517	0.514858
a58	0.00579021	0.0032339	0.00528977	0.00659997	0.0122293	0.031879	0.0975952	0.274262	0.563121
a82	0.00378387	0.00225342	0.00425786	0.00582833	0.014951	0.0362799	0.098075	0.234428	0.600142
a87	0.00161213	0.00120743	0.00253154	0.00366443	0.00915665	0.0314959	0.0947109	0.221294	0.634327
</S>	0.00316481	0.00266431	0.0039786	0.00491396	0.00940039	0.0278331	0.0898867	0.23764	0.620518
